SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'GN300001,คลิปหนีบดำ 2 นิ้ว NO.108 HORSE (1*12)/กล่อง,คลิปหนีบดำ 2 นิ้ว NO.108 HORSE (1*12)/กล่อง,BOX,,,1,,,,A,7,,
'GN300002,คลิปหนีบดำ 1 นิ้ว NO.111 HORSE (1*12)/กล่อง,คลิปหนีบดำ 1 นิ้ว NO.111 HORSE (1*12)/กล่อง,BOX,,,2,,,,A,7,,
'GN300003,BLOCK CHART,ค่าบล็อคโลโก้,SET,,,3,,,,A,7,,
'GN300004,CALCULATOR PAPER ROLL - 2.1/4 '' (1*10)/PACK,"กระดาษเครื่องคิดเลข 2.1/4""(1*10)/แพ็ค",PACK,,,4,,,,A,7,,
'GN300005,CARD PAPER COLORS RED A4 120G.(1*50),กระดาษการ์ดสีแดง A4120G.(1*50),PACK,,,5,,,,A,7,,
'GN300006,CHEMICAL MARKER PEN BLACK (HORSE ),ปากกาเคมี 2 หัว สีดำ ตราม้า,PCS,,,6,,,,A,7,,
'GN300007,CHEMICAL MARKER PEN BLUE (HORSE ),ปากกาเคมี 2 หัว สีน้ำเงิน ตราม้า,PCS,,,7,,,,A,7,,
'GN300008,CHEMICAL MARKER PEN RED (HORSE ),ปากกาเคมี 2 หัว สีแดง ตราม้า,PCS,,,8,,,,A,7,,
'GN300009,CUTTER BIG PLASATIC 18 mm.,คัตเตอร์ใหญ่ด้ามพลาสติกขนาด 18 มม.,PCS,,,9,,,,A,7,,
'GN300010,CUTTER BLADES BIG 18mm. (1*6)/PACK,ใบมีดคัตเตอร์ใหญ่ 18 มม.30 องศา (1*6)/แพ็ค,PACK,,,10,,,,A,7,,
'GN300011,CUTTER BLADES SMALL 9mm (1*10) /PACK,ใบมีดคัตเตอร์เล็ก 9 มม. 30 องศา (1*10)/แพ็ค,PACK,,,11,,,,A,7,,
'GN300012,CUTTER SMALL SILVER 3MM. HORSE,คัตเตอร์เล็ก Silver ขนาด 9 มม.ตราม้า,PCS,,,12,,,,A,7,,
'GN300013,DOCUMENT BOX  SIZE 32 x40 x27 CM. ( 1 x 2 ),กล่องใส่เอกสารขนาดมาตรฐาน 32*40*27 ซม (1*2),SET,,,13,,,,A,7,,
'GN300014,DOUBLE-SIDED FOAM TAPE 21MM.x 5M. 3M,เทปโฟม 2 หน้า 21 มม. X 5 เมตร 3M,ROLL,,,14,,,,A,7,,
'GN300015,ENVELOPE BROWN STRONG A4 (1*50)/PACK,ซองกระดาษสีน้ำตาล ขนาด A4 ( 1*50 ชิ้น ),PACK,,,15,,,,A,7,,
'GN300016,EPSON RIBBON CARTRIDGE ERC-38 B/R TM-U,EPSON RIBBON CARTRIDGE ERC-38 B/R TM-U,PCS,,,16,,,,A,7,,
'GN300017,FILE FASTENER 8 cm.,ลิ้นแฟ้มเหล็กสีเงิน 8 ซม. (ชุด50ชิ้น),BOX,,,17,,,,A,7,,
'GN300018,FINGERTIP MOISTENER CREAM,ขี้ผึ้งนับธนบัตรยี่ห้อ elfen,PCS,,,18,,,,A,7,,
'GN300019,GLUE STIC UHU 21 G.,กาวแท่ง UHU 40 กรัม,PCS,,,19,,,,A,7,,
'GN300020,HANGING FILE ( 1*10 PCS ),แฟ้มแขวน ตราช้าง (1*10/แพ็ค) คละสี,PACK,,,20,,,,A,7,,
'GN300021,HARD COVER BOOK ELFEN 70G 5/100,สมุดปกแข็งมุมมันยี่ห้อเอลเฟ่น 70G 5/100,PCS,,,21,,,,A,7,,
'GN300022,IRON RULER 12 '',ไม้บรรทัดเหล็ก 12 นิ้ว,PCS,,,22,,,,A,7,,
'GN300023,KEY RING BENNON ( 1 x 50 ),พวงกุญแจ BENNON ( 1 x 50 ),BOX,,,23,,,,A,7,,
'GN300024,LAMINATE FILM A-3. ( 1x100 ),พลาสติกเคลือบบัตร A3 ตราช้าง (1*100/PACK),PACK,,,24,,,,A,7,,
'GN300025,LAMINATE FILM SIZE A4  ( 1*100 ),พลาสติกเคลือบบัตร ตราช้าง A4(1*100/PACK),PACK,,,25,,,,A,7,,
'GN300026,LIQUID PAPER 7 ML PENTEL,ปากกาลบคำผิด 7 มล. PENTEL,PCS,,,26,,,,A,7,,
'GN300027,LOG BOOK  BLUE NO.2.,สมุดปกแข็งน้ำเงิน(สันผ้า) NO.02,BOOK,,,27,,,,A,7,,
'GN300028,LUGGAGE TAG,LUGGAGE TAG,PCS,,,28,,,,A,7,,
'GN300029,MARKER PEN HILIHGT STABILO BOSS PINK,ปากกาเน้นข้อความสีชมพู-สตาร์บิโลบอส,PCS,,,29,,,,A,7,,
'GN300030,MARKER PEN HILIHGT STABILO BOSS YELLOW,ปากกาเน้นข้อความสีเหลือง-สตาร์บิโลบอส,PCS,,,30,,,,A,7,,
'GN300031,MARKER PEN HILIHGT STABILOBOSS GREEN,ปากกาเน้นข้อความสีเขียว-สตาร์บิโลบอส,PCS,,,31,,,,A,7,,
'GN300032,MARKER PEN HILIHGT STABILOBOSS ORANG,ปากกาเน้นข้อความสีส้ม-สตาร์บิโลบอส,PCS,,,32,,,,A,7,,
'GN300033,MASKING TAPE  1' 30YARD,กระดาษกาวย่น 1 นิ้ว 30 หลา,ROLL,,,33,,,,A,7,,
'GN300034,MASKING TAPE  2' 30YARD,กระดาษกาวย่น 2 นิ้ว 30 หลา,ROLL,,,34,,,,A,7,,
'GN300035,NOTE BOOK ( SOFT ),สมุดปกอ่อนคละแบบ,BOOK,,,35,,,,A,7,,
'GN300036,PAPER CLIPS NO.01 ( 1*50PCS ),ลวดเสียบกระดาษกลม No.01 (1*50/แพ็ค),BOX,,,36,,,,A,7,,
'GN300037,PAPER COPPY A3- 80G/500S-IDEA WORK,กระดาษถ่ายเอกสารเอ3 80G/500S-ไอเดียเวิร์ค,REAM,,,37,,,,A,7,,
'GN300038,PAPER COPPY A4 80-500S IDEA WORK/RED,กระดาษถ่ายเอกสาร A4 80G/500S ไอเดียเวิร์ค-สีแดง,REAM,,,38,,,,A,7,,
'GN300039,PAPER COPY A4/70G-500S IDEA MAX ORANGE,กระดาษถ่ายเอกสาร A4-70G/500S ไอเดียแม็กซ์-สีส้ม,REAM,,,39,,,,A,7,,
'GN300040,PAPER COPPY A5-80G*500S/ALCOTT,กระดาษถ่ายเอกสาร A5 80G*500S/ALCOTT,REAM,,,40,,,,A,7,,
'GN300041,PAPER PRINTER  POS  75 * 75 (2 COPPY),กระดาษปริ้นเครื่อง POS. 75 * 75 (2 COPPY),ROLL,,,41,,,,A,7,,
'GN300042,PAPERMATE DEYLING GRIP TAPE,เทปลบคำผิดแบบแห้ง ยี่ห้อเปเปอร์เมท,PCS,,,42,,,,A,7,,
'GN300043,PEN BLUE COLOUR 0.5 mm. HORSE,ปากกาน้ำเงิน ตราม้า 0.5 มม.,PCS,,,43,,,,A,7,,
'GN300044,PEN WRITE FABRIC BLACK SAKURA,ปากกาเขียนผ้าสีดำ ยี่ห้อซากุระ,PCS,,,44,,,,A,7,,
'GN300045,PENCIL SHARPENER # A-5 AROMA,เครื่องเหลาดินสอ ยี่ห้อ A-5 AROMA,PCS,,,45,,,,A,7,,
'GN300046,PIN BOARD COLOUR  100 PCS/BOX,หมุดปักบอร์ด กล่อง 100 ตัว,BOX,,,46,,,,A,7,,
'GN300047,PLASTIC ENVELOP A4 ( 1 x 12 ),แฟ้มซองพลาสติกเปิดข้าง ขนาด A4  ( 1 x 12 ),PACK,,,47,,,,A,7,,
'GN300048,PLASTIC NAME TAG + ROPE,ป้ายชื่อพลาสติก + สายคล้องคอ,PCS,,,48,,,,A,7,,
'GN300049,"POST IT NOTE SIZE 3"" x 3"" ( 100 PCS ) GREEN","แผ่นโพสต์อิทโน๊ต ขนาด 3*3""(100แผ่น) เขียว",PCS,,,49,,,,A,7,,
'GN300050,"POST IT NOTE SIZE 3"" x 3"" ( 100 PCS ) YELLOW","แผ่นโพสต์อิทโน๊ต ขนาด 3*3""(100แผ่น) เหลือง",PCS,,,50,,,,A,7,,
'GN300051,RUBBER STAEDTLER PENTEL,ยางลบดินสอแท่งเล็ก ยี่ห้อเพนเทล,PCS,,,51,,,,A,7,,
'GN300052,RUBBER STAEDTLER PENTEL(MEDIUM),ยางลบดินสอไฮโพลิเมอร์(ขนาดกลาง),PCS,,,52,,,,A,7,,
'GN300053,"SCISSORS 8"" HORES",กรรไกร ตราช้าง 8 นิ้ว,PCS,,,53,,,,A,7,,
'GN300054,SCOTCH CLOTH TAP 48MM. 8YAED BLCK 3M,เทปผ้ามันเงาสีดำ 48 มม.8 หลา ยี่ห้อ 3 เอ็ม,ROLL,,,54,,,,A,7,,
'GN300055,SCOTCH CLOTH TAP 48MM. 8YAED GREY 3M,เทปผ้ามันเงาสีเทา 48 มม.8 หลา ยี่ห้อ 3 เอ็ม,ROLL,,,55,,,,A,7,,
'GN300056,STAMP RED COLOUR NO.2,แท่นประทับตราสีแดง( NO.2 ),PCS,,,56,,,,A,7,,
'GN300057,STAPLE MAX NO.10,เครื่องเย็บกระดาษ No.10 MAX,PCS,,,57,,,,A,7,,
'GN300058,STAPLE REMOVER,ที่ถอนลวดแบบก้ามปู,PCS,,,58,,,,A,7,,
