SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'15130004,CHICKEN BROTH  KNORR AROY SURE 800 G 1*10 (844335),ผงปรุงรสไก่ คนอร์อร่อยชัวร์ 800ก.1*10/(844335),BAG,,,79,,,,A,7,,
14010020,THOUSAND ISLAND BEST FOODS 1 KG.(1x9) (184324),น้ำสลัดเทาซันไอแลนด์เบสท์ฟู้ดส์1 กก.(1x9)/(184324),BAG,,,148,,,,A,7,,
'14030001,REAL DAIRY CREAM ANCHOR 400 G. (172778),เรียลแดรี่ครีมวนิลาแองเคอร์ 400ก.(172778),CAN,,,165,,,,A,7,,
'24020002,FRESCO SPARKLING MOSCATO 750 ML.,FRESCO SPARKLING MOSCATO 750 ML.,BTL,,,225,,,,A,7,,
'24020003,FRESCO SPARKLING PEACH 750 ML.,FRESCO SPARKLING PEACH 750 ML.,BTL,,,225,,,,A,7,,
'14010010,BUTTER BLEND ZEST GOLD SALT (35%) 5 KG.,BUTTER BLEND ZEST GOLD SALT (35%) 5KG.,BOX,,,855,,,,A,7,,
'31000015,WHITE SUGAR NO LOGO 7 G.(1x2000)/CASE,น้ำตาลทรายขาวซอง(ไม่มีโลโก้) 7ก.(1x2000)/ลัง,CASE,,,878,,,,A,7,,
31000073,CREAMER NO LOGO 3G. (1x2000)/CASE,ครีมเทียม(ไม่มีโลโก้)3ก.(1x2000)/ลัง,CASE,,,1485,,,,A,7,,
'14010001,BUTTER BLEND ZEST GOLD (37%) 5KG.,BUTTER BLEND ZEST GOLD (37%) 5KG.,BOX,,,855,,,,A,7,,
'14010005,MAYONNAISE BESTFOOD 1KG.(1x9)/(184314),มายองเนสเบสฟู้ดส์ 1 กก.(1x9)/(184314),BAG,,,137,,,,A,7,,
'14010009,BUTTER UNSALTED COMPOUND ALLOWRIE 5KG.(65650),เนยจืดอลาวรี่คอมพาวด์บัตเตอร์ 5กก.(65650),BOX,,,1800,,,,A,7,,
'14010011,BUTTER COOKING ALLOWRIE UN-SALT 5 KG.,เนยจืดอลาวรี่ 5 กก./แท่ง,BOX,,,0,,,,A,7,,
'14020004,CHEES CHEDDAR ORANGE (84 SLICES),CHEES CHEDDAR ORANGE (84 SLICES),PACK,,,315,,,,A,7,,
'14020007,MOZZARELLA CHEESE SHREDDED ANCHOR 2KG. (179715),มอสซาเรลล่าชีสชนิดขูดแองเคอร์ 2 กก.(179715),BAG,,,545,,,,A,7,,
'14020008,CHEESE CHEDDAR 84 SLICE(ANCHOR)(1 PACK=1.04KG),เชดด้าชีส 84 สไลด์ ANCHOR(1PACK=1.04KG),PACK,,,315,,,,A,7,,
'14030006,FILLING BLUEBERRY BESTFOOD 900G.(1x9)/(183452),ฟิลลิ่งบลูเบอรี่เบสท์ฟู๊ดส์ 900ก.(1x9)/(183452),BAG,,,39,,,,A,7,,
'14030007,FILLING ORANGE BESTFOOD 900G. (1*9)/(195761),ฟิลลิ่งส้มเบสท์ฟู๊ดส์ 900ก.(1*9)(195761),BAG,,,39,,,,A,7,,
'14030008,FILLING STRAWBERRY BESTFOOD 900G. (1x9)/(183443),ฟิลลิ่งสตรอเบอร์รี่เบสท์ฟู้ด 900ก.(1x9)(183443),BAG,,,39,,,,A,7,,
'14030011,SALAD CREAM BEST FOODS 1KG.(1x9)/(184315),สลัดครีมเบสท์ฟู้ดส์ 1 กก.(1x9)/(184315),BAG,,,145,,,,A,7,,
'15000015,TEA EARL GREY BLACK TWININGS 2G. (1x25/BOX),ชาเอิร์ลเกรย์ทไวนิงส์ 2ก.(1x25/กล่อง),BOX,,,279,,,,A,7,,
'15000016,TEA EARL GREY BOH 2G.(1x1000),ชาเอิร์ลเกรย์ BOH 2G.(1x1000),CASE,,,279,,,,A,7,,
'15000017,TEA ENGLISH BREAKFAST BOH 2G.(1x1000),TEA ENGLISH BREAKFAST BOH 2G.(1x1000),CASE,,,279,,,,A,7,,
'15000018,TEA ENGLISH BREAKFAST TEA TWININGS 2G.(1x25/BOX.),TEA ENGLISH BREAKFAST TEA TWININGS 2G.(1x25/BOX),BOX,,,279,,,,A,7,,
'15000021,LIPTON TEA SIZE 2G.(1*100PCS )/BOX,ชาลิปตันซอง 2ก.( 1*100)/กล่อง,BOX,,,0,,,,A,7,,
'15010138,MASHED POTATO KNORR 2KG.(827552),มันฝรั่งบดสำเร็จรูปคนอร์ 2 กก.(827552),BOX,,,534,,,,A,7,,
'15030008,PASTA-SPAGHETTI  500G. NO.5,พาสต้า-สปาเก็ตตี้#05 500G.,BAG,,,93,,,,A,7,,
'15050001,FLOUR CORN KNORR 700G.(15002),แป้งข้าวโพด คนอร์ 700ก.(15002),BAG,,,0,,,,A,7,,
'15050008,BATTER MIX KNORR 500G.(121579),แป้งทอดกรอบ คนอร์ 500ก.(121579),BAG,,,48,,,,A,7,,
'15080001,BAKING SODA MCGARRETT 1KG.(830864),เบคกิ้งโซดา แม็กกาแรต 1 กก.(830864),BAG,,,0,,,,A,7,,
'15080002,BAKING SODA MCGARRETT 300G.(184247),เบคกิ้งโซดา แม็กกาแรต 300ก.(184247),BAG,,,0,,,,A,7,,
'15080043,DARK CHOCOLATE CRISPEARLS MONA LISA 800G.,DARK CHOCOLATE CRISPEARLS MONA LISA 800G.,BAG,,,39,,,,A,7,,
'15110003,PLAM OIL FOR COOKING YOK 18L.(114571),น้ำมันปาล์ม หยก 18 ลิตร(114571),TANK,,,740,,,,A,7,,
'15110004,SALAD OIL BEST FOOD 3.3L.(175249),น้ำมันสลัด เบสท์ฟู้ดส์ 3.3 ลิตร(175249),GAL,,,467,,,,A,7,,
