SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'20000008,SODA WATER ONE WAY SINGHA 325 ML.(1x24)/(160629),โซดาวันเวย์ สิงห์ 325มล.(1x24)/(160629),TRAY,,,195,,,,N,0,,
'20000017,SODA WATER ROCK 325 ML.(1x24)/(810465),โซดาร๊อค 325มล. (1x24)/(810465),TRAY,,,175,,,,N,0,,
'21000001,BEER CORONA EXTRA BTL 330 ML. (1x24),เบียร์โคโรน่าเอ็กซ์ตร้า(ขวด) 330มล.(1x24)/ลัง,CASE,,,1550,,,,N,0,,
'21010001,BEER CHANG CLASSIC CAN 320 ML.(1*24)/(250315),เบียร์ช้างคลาสสิค(กระป๋อง)320มล. (1*24)/(250315),TRAY,,,720,,,,N,0,,
'21010003,BEER CHANG LARGE 620 ML.(1x12)/(190814),เบียร์ช้างคลาสสิค(ขวด)620มล.(1x12)/(190814),CASE,,,750,,,,N,0,,
'21010004,BEER CHANG(DRAUGHT) 30L./TANK,เบียร์ช้างสด 30 ลิตร/ถัง,TANK,,,2789.72,,,,N,0,,
'21010005,BEER HEINEKEN CAN 320 ML.(1x24)(805003),เบียร์ไฮเนเก้น 320มล.(1x24)/(805003),TRAY,,,1015,,,,N,0,,
'21010006,BEER SINGHA CAN 320 ML.(1x24)/(223275),เบียร์สิงห์(กระป๋อง) 320มล.(1x24)/(223275),TRAY,,,785,,,,N,0,,
'21010007,BEER CHANG COLD BREW BTL 620ML.(1x12)/(853030),เบียร์ช้างโคลด์บูรว์(ขวด )620มล.(1x12)/(853030),CASE,,,770,,,,N,0,,
'21010008,BEER CHANG CLASSIC SMALL BTL 320ML.(1x24)/(330603),เบียร์ช้างคลาสสิค(ขวด ) 320 ML.(1x24)/(330603),CASE,,,750,,,,N,0,,
'21010011,BEER HEINEKEN SMALL BTL 330ML.(1x24)/(203866),เบียร์ไฮเนเก้น(ขวด )330มล.(1x24)/(203866),CASE,,,1015,,,,N,0,,
'21010013,SAN MIGUEL SMALL BTL 330 ML. (1x24),SAN MIGUEL SMALL BTL 330 ML. (1x24),CASE,,,945,,,,N,0,,
'21010014,BEER SINGHA 620 ML.(1x12)/(800080),เบียร์สิงห์(ขวด) 620มล.(1x12)/(800080),CASE,,,655,,,,N,0,,
'21010015,BEER SINGHA SMALL 320 ML.(1x24)/(190333),เบียร์สิงห์(ขวด) 320มล.(1x24)/(190333),CASE,,,795,,,,N,0,,
'22000001,CAMPARI BITTER 75 CL. (158697),CAMPARI BITTER 75 CL. (158697),BTL,,,1200,,,,N,0,,
'22000002,MARTINI BIANCO 100 CL. (184495),MARTINI BIANCO 100 CL. (184495),BTL,,,960,,,,N,0,,
