SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'40010038,ชุดฝักบัวสายอ่อน ยี่ห้อกะรัต รุ่น D1205QM-50,ชุดฝักบัวสายอ่อน ยี่ห้อกะรัต รุ่น D1205QM-50,SET,,,,,,,A,7,,
'40010002,GLUE HOT BROVO 20G.,กาวร้อนตราโบโว 20G.,PCS,,,22,,,,A,7,,
'40010001,ELECTRIC TAPE(BLACK COLOUR)-3M,เทปพันสายไฟสีดำ ยี่ห้อ 3 เอ็ม,ROLL,,,,,,,A,7,,
'40010090,SEAT AND COVER AMS.NO.48 4800000-WT,ฝาชักโครก AMS. รุ่น 4800000-WT,PCS,,,,,,,A,7,,
'40010102,"STANLESS DRILL 1/8 "" - STEEL",ดอกสว่านสแตนเลส 1/8 นิ้ว-เจาะเหล็ก,PCS,,,65,,,,A,7,,
'40010112,TOILET SPRAY AMS.M/A-4900-ST(NON STOPVALVE),สายฉีดชำระ ยี่ห้อ AMS.รุ่น A-4900-ST,PCS,,,,,,,A,7,,
'40010150,ชุดฝักบัวสายอ่อน3Fพร้อมสายและขอแขวน F46306-CHADY-HS,ชุดฝักบัวสายอ่อน3Fพร้อมสายและขอแขวน F46306-CHADY-HS,SET,,,,,,,A,7,,
'40010151,ชุดหัวฝักบัวสายอ่อน 1F ยี่ห้อAMS.M/F46103-CHADYHS,ชุดหัวฝักบัวสายอ่อน 1F ยี่ห้อAMS.M/F46103-CHADYHS,SET,,,,,,,A,7,,
'40010178,ลูกล้อบานเลื่อน อลูมิเนียมเดี่ยว M.GEI ON PAT300,ลูกล้อบานเลื่อน อลูมิเนียมเดี่ยว M.GEI ON PAT300,PCS,,,,,,,A,7,,
'40010183,สายฉีดชำระสีขาว SS03 ,สายฉีดชำระสีขาว SS03 ,PCS,,,,,,,A,7,,
'40010269,มือจับอลูมิเนียมเรียบสีชา(ด้านในมีรู) ยี่ห้อ CEKON,มือจับอลูมิเนียมเรียบสีชา(ด้านในมีรู) ยี่ห้อ CEKON,EA,,,,,,,A,7,,
'40010270,มือจับอลูมิเนียมเรียบสีชา(ด้านนอกไม่มีรู) ยี่ห้อ CEKON,มือจับอลูมิเนียมเรียบสีชา(ด้านนอกไม่มีรู) ยี่ห้อ CEKON,EA,,,,,,,A,7,,
'40010271,ฝาถังพักน้ำชักโครก(อะไหล่)ใช้กับ รุ่นTF-4789 ยี่ห้อ AMS.,ฝาถังพักน้ำชักโครก(อะไหล่)ใช้กับ รุ่นTF-4789 ยี่ห้อ AMS.,EA,,,,,,,A,7,,
'41010054,"MOTOR 2 WAY VALVE(3/4""-1"")M/VA7010-8503-C JOHNSON","MOTOR 2 WAY VALVE(3/4""-1"")M/VA7010-8503-C JOHNSON",Pcs,,,,,,,A,7,,
'41010085,RELAY CHF-V-112DA2/CHF-S-112DA2 ยี่ห้อ CHUROD,แผงวงจรไฟฟ้ารีเลย์ รุ่น CHF-V-112DA2/CHF-S-112DA2 ยี่ห้อ CHUROD,EA,,,,,,,A,7,,
'41010088,SENSOR TEMPERATURE 42HFE018 (PART ID/15-5809-0000181) CARRIER ,สายซ็นเซอร์แฟนคอยล์ 15-5809-0000181 42HFE018 (PART ID/15-5809-0000181) ยี่ห้อ CARRIER ,EA,,,,,,,A,7,,
'41040019,CAPACITOR 50MFD440V,คาปาซิเตอร์แคปรัน 50MFD440V,PCS,,,,,,,A,7,,
'41040047,PLUG EGLE MALE 3 WAY # CIRCLE LEG,ปลั๊กตัวผู้ EGLE 3 ขา แบบขากลม,PCS,,,53,,,,A,7,,
'41040054,"SPARE PART BOARD TV LG43"" M/EAY63630702","SPARE PART BOARD TV LG43"" M/EAY63630702",SET,,,,,,,A,7,,
'41040064,เต้ารับกราวด์เดี่ยวม่านนิรภัย WEG1181K สีขาว,เต้ารับกราวด์เดี่ยว WEG1181K สีขาว Panasonic,PCS,,,90.28,,,,A,7,,
'41040080,ฝา 2 ช่องกลาง ยี่ห้อพานาโซนิค รุ่น WEG68029WK,ฝา 2 ช่องกลาง ยี่ห้อพานาโซนิค รุ่น WEG68029WK,PCS,,,17.76,,,,A,7,,
'41040132,ใบพัดสีใส 16 นิ้ว ยี่ห้อ HATARI,ใบพัดสีใส 16 นิ้ว ยี่ห้อ HATARI,EA,,,145,,,,A,7,,
'41050089,สต๊อปวาล์ว 2 ทาง HFHOY-912001,สต๊อปวาล์ว 2 ทาง HFHOY-912001,PCS,,,,,,,A,7,,
'41050129,"BALL VALVE BRASS 1/2""M/T400PSI BR.KITZ",บอลวาล์วทองเหลือง(ก้านส้ม) 1/2 นิ้ว รุ่น T400PSI ยี่ห้อ คิทซ์,EA,,,,,,,A,7,,
'41090001,"ROLLER FOR PAINTING 7""","ลูกกลิ้งทาสี ขนาด 7""",PCS,,,,,,,A,7,,
'41090003,"BRUSH 3"" FOR PAINT",แปรงทาสี 3 นิ้ว ยี่ห้ออินดี้,PCS,,,,,,,A,7,,
'41090005,"BRUSH 2""  FOR  PAINT","แปรงทาสี 2"" ยี่ห้ออินดี้",PCS,,,,,,,A,7,,
'43030010,โคมไฟอ่านหนังสือสีดำ LED 3W/WW 40.5CM.M/Z9-647SS,โคมไฟอ่านหนังสือสีดำ LED 3W/WW 40.5CM.M/Z9-647SS,PCS,,,,,,,A,7,,
'43030012,หลอด LED 9W(Warm)70WE27#PHILIPS,หลอด LED 9W(Warm)70WE27#PHILIPS,PCS,,,63,,,,A,7,,
'43030033,LED T8 9W/3000K 60CM.WW,หลอดนีออน T8LEDT8 60ซม.(สั้น)สีวอร์มไวท์,PCS,,,57.6,,,,A,7,,
'31000021,ถ่านแบตเตอร์รี่(AA)-อัลคาไลน์ ยี่ห้อพานาโซนิค 1*8/แพ็ค,ถ่านแบตเตอร์รี่(AA)-อัลคาไลน์ ยี่ห้อพานาโซนิค 1*8/แพ็ค,PCS,,,13.8,,,,A,7,,
'31000023,DRY BATTERY - AAA - ALKALINE Panasonic,ถ่านแบตเตอร์รี่ AAA อัลคาไลน์ ยี่ห้อพานาโซนิค,PCS,,,13.8,,,,A,7,,
'31000028,BATTERY Size D  Panasonic/Green,ถ่านไฟฉายก้อนใหญ่ไซด์ D ยี่ห้อพานาโซนิค(สีเขียว),PCS,,,13.8,,,,A,7,,
'41090027,"Roller For Painting PUMPKIN 4"" Handle 22""#30224","ลูกกลิ้งเคมีแกนยาวขนาด 4 ""ด้ามยาว 22""ยี่ห้อพัมคิน",PCS,,,,,,,A,7,,
'41010026,มอเตอร์ 2 แกนขนาด 1/10 HP รุ่น S2-1/10-B ยี่ห้อ FASCO,มอเตอร์ 2 แกนขนาด 1/10 HP รุ่น S2-1/10-B ยี่ห้อ FASCO,PCS,,,,,,,A,7,,
