SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'22020001,MOOZE BLUE CURACAO 700 ML,MOOZE BLUE CURACAO 700 ML,BTL,,,298,,,,I,7,,
'22020002,MOOZE MINT GREEN 700 ML,MOOZE MINT GREEN 700 ML,BTL,,,298,,,,I,7,,
'22020003,MOOZE TRIPLE SEC 700 ML**ใช้22020033แทน**,MOOZE TRIPLE SEC 700 ML**ใช้22020033แทน**,BTL,,,298,,,,I,7,,
'22020004,MOOZE COCONUT  700 ML,MOOZE COCONUT  700 ML,BTL,,,298,,,,I,7,,
'22020011,MOOZE MELON 700 ML./BOTTLE,MOOZE MELON 700 ML./BOTTLE,BTL,,,298,,,,I,7,,
'22020033,MOOZE TRIPLE SEC 700 ML.,MOOZE TRIPLE SEC 700 ML.,Btl,,,298,,,,I,7,,
'22020034,MOOZE BLUE CURACAO 700 ML.,MOOZE BLUE CURACAO 700 ML.,Btl,,,298,,,,I,7,,
'22020035,MOOZE MINT GREEN 700 ML.,MOOZE MINT GREEN 700 ML.,Btl,,,298,,,,I,7,,
'22020040,MOOZE COCONUT  700 ML.,MOOZE COCONUT  700 ML.,Btl,,,298,,,,I,7,,
'22020047,MOOZE STREWBERRY 700 ML.,MOOZE STREWBERRY 700 ML.,Btl,,,298,,,,I,7,,
'22070001,MOOZE ORANGE CURACAO 700 ML,MOOZE ORANGE CURACAO 700 ML,BTL,,,298,,,,I,7,,
'22070002,MOOZE ORANGE CURACAO 700 ML.,MOOZE ORANGE CURACAO 700 ML.,Btl,,,298,,,,I,7,,
'22080001,MOOZE VODKA 700 ML**ใช้22080006แทน**,MOOZE VODKA 700 ML**ใช้22080006แทน**,BTL,,,298,,,,I,7,,
'22080006,MOOZE VODKA 700 ML.,MOOZE VODKA 700 ML.,Btl,,,298,,,,I,7,,
'22090005,MOOZE TEQUILA 700 ML.,MOOZE TEQUILA 700 ML.,Btl,,,298,,,,I,7,,
'22100007,MOOZE GIN 700 ML.,MOOZE GIN 700 ML.,Btl,,,298,,,,I,7,,
'22130009,MOOZE RUM 700 ML.,MOOZE RUM 700 ML.,Btl,,,298,,,,I,7,,
