SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'31000021,BATTERY(AA)-ALKALINE1.5V Panasonic,ถ่านแบตเตอร์รี่(AA)-อัลคาไลน์ ยี่ห้อพานาโซนิค,PCS,,,20.91,,,,A,7,,
'31000023,DRY BATTERY - AAA - ALKALINE Panasonic,ถ่านแบตเตอร์รี่ AAA อัลคาไลน์ ยี่ห้อพานาโซนิค,PCS,,,20.91,,,,A,7,,
'31000028,BATTERY Size D  Panasonic/Green,ถ่านไฟฉายก้อนใหญ่ไซด์ D ยี่ห้อพานาโซนิค(สีเขียว),PCS,,,30.84,,,,A,7,,
'40010001,ELECTRIC TAPE(BLACK COLOUR)-3M,เทปพันสายไฟสีดำ ยี่ห้อ 3 เอ็ม,ROLL,,,18.69,,,,A,7,,
'40010004,PLASTIC TAPE SCREW PVC -WHITE,เทปพันเกลียวพีวีซี-สีขาว,ROLL,,,,,,,A,7,,
'40010006,กาวร้อน,กาวร้อน,PCS,,,18.69,,,,A,7,,
'40010015,BLACK SILICONE L 6301 ( SONY ),ซิลิโคนดำรุ่น L6301 ยี่ห้อ SONY,PCS,,,,,,,A,7,,
'40010016,CLEAR SILICONE SONIE 330 ML.,ซิลิโคนใส ยี่ห้อโซนี่ 330 ML.,PCS,,,,,,,A,7,,
'40010025,PLASTIC PLUG WITH WING (1*100)/BOX,พุกปีกผีเสื้อ(1*100)/กล่อง,BOX,,,,,,,A,7,,
'40010076,GLUE HOT 20G.,กาวร้อน 20 กรัม,PCS,,,18.69,,,,A,7,,
'40010084,"SCREW #06/1""",สกรูเกลียวปล่อยสีดำเบอร์ 06 ขนาด 1 นิ้ว,BOX,,,196.26,,,,A,7,,
'40010086,"SCREW NAIL - BLACK 1""","สกรูเกลียวปล่อยสีดำ ขนาด 1""(ยิงฝ้า)",BOX,,,,,,,A,7,,
'40010087,"SCREW NAIL BLACK COLOR SIZE 1.5""",ตะปูเกลียวปล่อยสีดำ ขนาด 1.5 นิ้ว(ตาปูยิงซ่า),BOX,,,,,,,A,7,,
'40010088,"SCREW NAIL NO 7 - 1""",ตะปูเกลียวปล่อยปลายสว่าน NO 7 - 1 นิ้ว,BOX,,,,,,,A,7,,
'40010118,WHITE SILICON SONIE 330 ML.,ซิลิโคนขาว ยี่ห้อโซนี่ 330 มล.,PCS,,,,,,,A,7,,
'40010196,ลูกตุ้มสกรู(ลูกถ้วยหางหนูใหญ่)สำหรับเดินระบบสายไฟ,ลูกตุ้มสกรู(ลูกถ้วยหางหนูใหญ่)สำหรับเดินระบบสายไฟ,Pcs,,,10.28,,,,A,7,,
'41010011,AERO TAPE,เทปหุ้มท่อแอร์ AEROTAPE,ROLL,,,,,,,A,7,,
'41040047,PLUG EGLE MALE 3 WAY # CIRCLE LEG,ปลั๊กตัวผู้ EGLE 3 ขา แบบขากลม,PCS,,,,,,,A,7,,
'41040071,ชุดราง LED T8 PHILIPS รุ่น BN015C 20W DAYLIGH,ชุดราง LED T8 PHILIPS รุ่น BN015C 20W DAYLIGH,SET,,,,,,,A,7,,
'41040088,PLUG - FEMALE(แบบแบน),ปลั๊กตัวเมียแบบธรรมดา(แบบแบน),Pcs,,,13.08,,,,A,7,,
'41040089,PLUG - IN 2 LEG (แบบแบน),ปลั๊กตัวผู้  2 ขา(แบบแบน),Pcs,,,11.21,,,,A,7,,
'43030012,หลอด LED 9W(Warm)70WE27#PHILIPS,หลอด LED 9W(Warm)70WE27#PHILIPS,PCS,,,,,,,A,7,,
'43030021,HIGH POWER LED 1W WW,HIGH POWER LED 1W/WW,PCS,,,,,,,A,7,,
'43030022,HOLP LED LIGHT WHITE,ไฟหยดน้ำ LED สีขาว(ไม่กระพริบ),SET,,,73.83,,,,A,7,,
'43030026,LED 3W3000KE27-WW,หลอดไฟแอลอีดี 3W3000KE27-แสงวอร์มไวท์,PCS,,,,,,,A,7,,
'43030051,หลอด TL5-14W/WW./830 LAMPTAN 220V,หลอด TL5-14W/WW/830 LAMPTAN 220V,PCS,,,,,,,A,7,,
'43030055,หลอดฮาโลเจน LED-MR16/WW(12V/3W)#PHILIPS,หลอดฮาโลเจน LED-MR16/WW(12V/3W)#PHILIPS,PCS,,,136.45,,,,A,7,,
'43030062,LED BEC MR16 5W 220V3000K/WW,LED BEC MR16 5W 220V3000K/WW,Pcs,,,84.11,,,,A,7,,
'43030065,ไฟหยดน้ำแอลอีดี แสงสีน้ำเงิน(แบบไม่กระพริบ) สายสีขาวยาว 9-10 เมตร,ไฟหยดน้ำแอลอีดี แสงสีน้ำเงิน(แบบไม่กระพริบ) สายสีขาวยาว 9-10 เมตร,Set,,,73.83,,,,A,7,,
'43030069,ไฟหยดน้ำLEDแบบไม่กระพริบแสงสีเขียว(สายสีขาว)/ยาว8-10 เมตร,ไฟหยดน้ำLEDแบบไม่กระพริบแสงสีเขียว(สายสีขาว)/ยาว8-10 เมตร,Set,,,73.83,,,,A,7,,
'43030070,ไฟหยดน้ำLEDแบบไม่กระพริบแสงสีแดง(สายสีขาว)/ยาว8-10 เมตร,ไฟหยดน้ำLEDแบบไม่กระพริบแสงสีแดง(สายสีขาว)/ยาว8-10 เมตร,Set,,,73.83,,,,A,7,,
'45010013,ถุงมือผ้าทอ 9837320000028,ถุงมือผ้าทอ,PAIR,,,100.93,,,,A,7,,
