SKU#,Description,Local Description,Unit,Qty From,QtyTo, Quote Price ,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,,,,,
'10050003,BALLS FISH SHEET 500G.,ลูกชิ้นปลาแผ่น 500 กรัม,PACK,,, 48.00 ,,,,N,0,,,,,,,
'11040005,OYSTER LOCAL,หอยนางรมไทยใหญ่,PCS,,, 50.00 ,,,,N,0,,,,,,,
'10020002,CHICKEN BLOOD,เลือดไก่,KG,,, 60.00 ,,,,N,0,,,,,,,
'11040006,SWEET CLAM ( LOCAL ),หอยหวานไทย,KG,,, 63.00 ,,,,N,0,,,,,,,
'11000022,SABA FISH (108009),ปลาซาบะ(108009),KG,,, 72.00 ,,,,N,0,,,,,,,
'10050041,LOUK CHIN PLA,ลูกชิ้นปลากลม,PACK,,, 74.00 ,,,,N,0,,,,,,,
'10050006,CHICKEN MEAT BALL,ลูกชิ้นไก่,KG,,, 75.00 ,,,,N,0,,,,,,,
'10020001,CHICKEN  CUTED,ไก่สับชิ้น(แกง),KG,,, 78.00 ,,,,N,0,,,,,,,
'11040003,MUSSEL,หอยแมลงภู่,KG,,, 80.00 ,,,,N,0,,,,,,,
'10020013,MIXED OFFAL CHICKEN,เครื่องในไก่,KG,,, 83.00 ,,,,N,0,,,,,,,
'10020008,CHICKEN MEAT GROUND,ไก่บด,KG,,, 85.00 ,,,,N,0,,,,,,,
'10050030,CHICKEN 'S TENDON BALLS,ลูกชิ้นเอ็นไก่,KG,,, 85.00 ,,,,N,0,,,,,,,
'10020006,CHICKEN FILLET,สันในไก่,KG,,, 85.00 ,,,,N,0,,,,,,,
'11000020,KIM SURE FISH FILLET,เนื้อปลากิมซั่วแล่,KG,,, 90.00 ,,,,N,0,,,,,,,
'10050023,KANIKAMAOKO 500G./PACK,ปูอัด 500G./แพ็ค,PACK,,, 90.00 ,,,,N,0,,,,,,,
'10020016,CHICKEN BREAST WITH SKIN 2KG.,อกไก่ติดหนัง 2 กก.,KG,,, 90.00 ,,,,N,0,,,,,,,
'11000025,TAMA FISH,ปลาตะมะ(สับรวมหัว),KG,,, 95.00 ,,,,N,0,,,,,,,
'10020007,CHICKEN LRG,ตีนไก่(ตีนไก่ตัดเล็บ),KG,,, 100.00 ,,,,N,0,,,,,,,
'11000009,TAJONG FISH(HEAD CUT),ปลาตาจง(ตัดหัว),KG,,, 100.00 ,,,,N,0,,,,,,,
'10020012,CHICKEN WINGS,ปีกไก่เต็ม,KG,,, 102.00 ,,,,N,0,,,,,,,
'11000002,CAT FISH FRESH,ปลาดุกตัว,KG,,, 105.00 ,,,,N,0,,,,,,,
'11000006,PLA TU (HEAD CUT),ปลาทูลัง(ตัดหัว),KG,,, 110.00 ,,,,N,0,,,,,,,
'11000027,TUNA FISH ( THAI ) ( HEAD CUT ),ปลาลัง(ตัดหัว),KG,,, 110.00 ,,,,N,0,,,,,,,
'11000026,Tama Fish Cut  No Head,ปลาตะมะ(หั่นไม่หัว),KG,,, 115.00 ,,,,N,0,,,,,,,
17080002,FROZEN SQUID SLICE(PINEAPPLE) ,หมึกกล้วยหั่นบั้งสับปะรด แช่แข็ง,KG,,, 125.00 ,,,,N,0,,,,,,,
'11000003,CAT FISH FRESH SLICED,ปลาดุกหั่นเนื้อล้วน,KG,,, 130.00 ,,,,N,0,,,,,,,
'11020004,JELLY FISH 1KG.(237450),แมงกะพรุน 1 กก.(237450),KG,,, 133.00 ,,,,N,0,,,,,,,
'11020005,FROZEN SQUID ( NOODLE ),หมึกกรอบแช่(สำหรับทำเย็นตาโฟ),KG,,, 133.00 ,,,,N,0,,,,,,,
'11000015,BARACUDA FISH MEAT GROUND,เนื้อปลาสากบด,KG,,, 135.00 ,,,,N,0,,,,,,,
'11000012,SEA BASS 700-800G.,ปลากระพงขาว 700-800 ก.,KG,,, 135.00 ,,,,N,0,,,,,,,
'11040007,UNDULATED SURF CLAM MEAT,เนื้อหอยลาย,KG,,, 145.00 ,,,,N,0,,,,,,,
11040012,หอยลายไทย(สด)ไซด์ 80-90 ตัว/กก.,หอยลายไทย(สด)ไซด์ 80-90 ตัว/กก.,Kg,,, 145.00 ,,,,N,0,,,,,,,
11000039,ปลากระพงขาวใหญ่ 2-3 กก./ตัว,ปลากระพงขาวใหญ่ 2-3 กก./ตัว,Kg,,, 150.00 ,,,,N,0,,,,,,,
'10010008,PORK MINCED A,หมูบดเกรด A,KG,,, 150.00 ,,,,N,0,,,,,,,
11040009,หอยลายไทยไซด์ 60-70 ตัว/กก.,หอยลายไทยไซด์ 60-70 ตัว/กก.,KG,,, 155.00 ,,,,,,,,,,,,
'11000024,SEA BASS SIZE 700-800G.(803572),ปลากระพงขาวแบบทำ 700-800ก.(803572),KG,,, 160.00 ,,,,N,0,,,,,,,
'11000023,SAND FISH 15-18 PCS/KG.,ปลายทราย 15-18 ตัว/กก.,KG,,, 160.00 ,,,,N,0,,,,,,,
'11000007,ROASTED FISH,ปลาย่าง,KG,,, 175.00 ,,,,N,0,,,,,,,
'10010019,PORK LOIN,หมูสันนอก,KG,,, 175.00 ,,,,N,0,,,,,,,
'10050026,BALL FISH,ลูกชิ้นปลากล้วย,KG,,, 178.00 ,,,,N,0,,,,,,,
'10010002,PORK BONE ( SPRIA ) SLICED,ซี่โครงหมูสับ,KG,,, 180.00 ,,,,N,0,,,,,,,
'11040004,MUSSEL MEAT WITH STEAM,เนื้อหอยแมลงภู่ลวก,KG,,, 190.00 ,,,,N,0,,,,,,,
'11000008,SEA BASS CUT,ปลากระพงขาว(หั่นรวมหัว),KG,,, 200.00 ,,,,N,0,,,,,,,
'11000033,ปลาตาเดียวไซส์ใหญ่ (2-3 กก./ตัว)/(38571),ปลาตาเดียวไซส์ใหญ่(2-3 กก./ตัว)/(38571),KG,,, 200.00 ,,,,N,0,,,,,,,
'11020009,SQUID SMALL 21 ตัวขึ้นไป,ปลาหมึกกล้วยเล็กไม่ลอก 21 ตัวขึ้นไป,KG,,, 200.00 ,,,,N,0,,,,,,,
'10010001,PORK BELLY,หมูสามชั้น,KG,,, 200.00 ,,,,N,0,,,,,,,
'11040008,เนื้อหอยแครงลวก,เนื้อหอยแครงลวก,KG,,, 215.00 ,,,,N,0,,,,,,,
'11010016,PRAWN WHITE  SMALL,กุ้งขาวเล็ก,KG,,, 215.00 ,,,,N,0,,,,,,,
'11010006,PRAWN WHITE  MEDIUM 60-65 PCS/KG.,กุ้งขาวกลาง 60-65 ตัว/กก.,KG,,, 215.00 ,,,,N,0,,,,,,,
11010019,กุ้งขาวเลี้ยง(สด) 41-50ตัว/กก.แกะไว้หาง(น้ำหนักก่อนแกะ),กุ้งขาวเลี้ยง(สด) 41-50ตัว/กก.แกะไว้หาง(น้ำหนักก่อนแกะ),KG,,, 220.00 ,,,,N,0,,,,,,,
'11000011,ปลามงตัวสับ(เฉพาะเนื้อ),ปลามงตัวสับ(เฉพาะเนื้อ),KG,,, 220.00 ,,,,N,0,,,,,,,
'11020008,SQUID SLICED,หมึกกล้วยหั่น,KG,,, 220.00 ,,,,N,0,,,,,,,
'11000010,เนื้อปลาสากแล่,เนื้อปลาสากแล่,KG,,, 235.00 ,,,,N,0,,,,,,,
