SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,
'10000001,BEEF BONE CUT,กระดูกวัวตัด,KG,,,50,,,,N,0,,,
'10000002,BEEF TENDERLOIN LOCAL,เนื้อสันในวัวไทย,KG,,,300,,,,N,0,,,
'10000003,BEEF TOP ROUND,เนื้อสะโพกวัวไทย,KG,,,210,,,,N,0,,,
'10000006,BEEF MEAT GROUND,เนื้อไทยบด,KG,,,210,,,,N,0,,,
'10000007,BEEF TENDERLOIN LOCAL (AAA),เนื้อสันในวัวโคขุนแต่ง,KG,,,300,,,,N,0,,,
'10000008,BEEF BONE LOCAL,กระดูกวัว,KG,,,50,,,,N,0,,,
'10000009,BEEF STRIPLON LOCAL,เนื้อสันนอกวัวไทย,KG,,,320,,,,N,0,,,
'10010001,PORK BELLY,หมูสามชั้น,KG,,,170,,,,N,0,,,
'10010002,PORK BONE ( SPRIA ) SLICED,ซี่โครงหมูสับ,KG,,,130,,,,N,0,,,
'10010003,PORK CHOP S-PURE,หมูสันนอกติดกระดูก(ทั้งเส้น),KG,,,200,,,,N,0,,,
'10010004,PORK FAT,มันหมูแข็ง,KG,,,78,,,,N,0,,,
'10010005,PORK HIP SLICED,หมูเนื้อแดงหั่น,KG,,,110,,,,N,0,,,
'10010006,PORK LIVER,ตับหมู,KG,,,120,,,,N,0,,,
'10010007,PORK MEAT GROUND B,หมูบดเกรด B ปนมัน 20%,KG,,,95,,,,N,0,,,
'10010008,PORK MINCED A,หมูบดเกรด A,KG,,,110,,,,N,0,,,
'10010009,PORK NECK,คอหมู,KG,,,265,,,,N,0,,,
'10010010,PORK TENDERLOIN,สันในหมู,KG,,,120,,,,N,0,,,
'10010011,PORK TOP ROUND,สะโพกหมู,KG,,,105,,,,N,0,,,
'10010012,ซี่โครงหมูแผ่น 5 นิ้ว,ซี่โครงหมูแผ่น 5 นิ้ว,KG,,,158,,,,N,0,,,
'10010013,PORK RIB FROZEN SIZE 600-700G. (6-7KG./BOX),ซี่โครงหมูแผ่นขนาด 5 นิ้ว 600-700 (6-7กก./กล่อง),KG,,,158,,,,N,0,,,
'10010014,PORK CHOP,หมูสันนอกติดกระดูก,KG,,,200,,,,N,0,,,
'10010015,HOG'S MAW,กระเพาะหมู,KG,,,110,,,,N,0,,,
'10010016,PORK BELLY SLICED,หมูสามชั้น(หั่น),KG,,,170,,,,N,0,,,
'10010017,PORK CARILANG SLICED,ซี่โครงหมูอ่อนสับ,KG,,,155,,,,N,0,,,
'10010018,PORK LEG,ขาหมู (ขาหลัง),KG,,,88,,,,N,0,,,
'10010019,PORK LOIN,หมูสันนอก,KG,,,115,,,,N,0,,,
'10010020,ไส้อ่อนหมู,ไส้อ่อนหมู,KG,,,135,,,,N,0,,,
'10010021,กระดูกเล้งหมู สับ,กระดูกเล้งหมู(สับ),KG,,,70,,,,N,0,,,
'10010022,ขั้วตับหมู,ขั้วตับหมู,KG,,,155,,,,N,0,,,
'10010023,ขาหมู (ขาหน้า),ขาหมู (ขาหน้า),KG,,,78,,,,N,0,,,
'10010024,หมูสามชั้นแผ่นมันบางๆ,หมูสามชั้นแผ่นมันบางๆ,KG,,,170,,,,N,0,,,
'10010025,หมูสามชั่นหั่นเต๋า,หมูสามชั่นหั่นเต๋า,KG,,,170,,,,N,0,,,
'10010026,หมูสามชั้นหั่นเส้นยาว,หมูสามชั้นหั่นเส้นยาว,KG,,,170,,,,N,0,,,
