รหัสสินค้า,รายละเอียด (อังกฤษ),รายละเอียด,หน่วย,จากจำนวน,เป็นจำนวน,ราคาเสนอ,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'12010040,LEMONGRASS,ตะไคร้,PCS,,,1.03,,,,N,0,,
'14060007,QUAIL EGG 50 PCS(132312),ไข่นกกระทาดิบ 50 ฟอง(132312),PCS,,,3,,,,N,0,,
'14060008,QUAIL EGG PEEL(1x50),ไข่นกกระทาปอกเปลือก(1x50),PACK,,,150,,,,N,0,,
'16020009,KANOM THONG YIB,ขนมทองหยิบ,PCS,,,4,,,,N,0,,
'16020010,KANOM THONG YOD,ขนมทองหยอด,PCS,,,4,,,,N,0,,
'16020013,MED KANUN,ขนมเม็ดขนุน,PCS,,,4,,,,N,0,,
'12010100,KAFFIRLIME,ลูกมะกรูด,PCS,,,7,,,,N,0,,
'16020017,ขนมสอดไส้,ขนมสอดไส้,PCS,,,9,,,,N,0,,
'14060003,BOILED EGG SALTED,ไข่เค็มสุก,PCS,,,10,,,,N,0,,
'14060006,EGG SALTED,ไข่เค็มดิบ,PCS,,,10,,,,N,0,,
'15150002,BEAN CURD WHITE,เต้าหู้ขาวแผ่น,PCS,,,10,,,,N,0,,
'15150007,BEAN CURE YELLOW,เต้าหู้เหลืองแผ่น,PCS,,,10,,,,N,0,,
'15150001,BEAN CURD TUBE  EGG,เต้าหู้หลอดไข่,PCS,,,12,,,,N,0,,
'12010002,BANANA FLOWER,หัวปลี,EA,,,13,,,,N,0,,
'12010053,MUSHROOM SHIMEJI BLACK,เห็ดชิเมจิดำ,PACK,,,13,,,,N,0,,
'12010054,MUSHROOM SHIMEJI WHITE,เห็ดชิเมจิขาว,PACK,,,13,,,,N,0,,
'14060004,CENTURY EGG,ไข่เยี่ยวม้า,PCS,,,14,,,,N,0,,
'12010047,MARROW VAGETABLE,ฟักเขียว,KG,,,15,,,,N,0,,
'16020008,KANOM FOUY THONG,ขนมฝอยทอง,PCS,,,15,,,,N,0,,
'12000025,PAPAYA RAW,มะละกอดิบ,KG,,,16,,,,N,0,,
'12010062,PUMPKIN LARGE,ฟักทองใหญ่,KG,,,18,,,,N,0,,
'15010076,DRY SEA WEED (1PACK/50G.),สาหร่ายแบบกลมสำหรับแกงจืด(1 แพ็คเท่ากับ 50ก.),PACK,,,19,,,,N,0,,
'12010023,CUCUMBER LARGE,แตงกวาใหญ่,KG,,,21,,,,N,0,,
'12010129,CORN ON THE NO COB,ข้าวโพดฝัก(ไม่ปอกเปลือก),KG,,,22,,,,N,0,,
'15010175,ไตปลายาคูล,ไตปลายาคูล,BTL,,,22,,,,N,0,,
'12010005,BEANSPROUTS CLEANED,ถั่วงอก,KG,,,23,,,,N,0,,
'12010010,CARROT,แครอท,KG,,,23,,,,N,0,,
'12010061,POTATO SWEET,มันเทศ,KG,,,23,,,,N,0,,
'15040007,THAI VERMICELLI,ขนมจีน,KG,,,23,,,,N,0,,
'12010159,YAM BEAN WHOLE,มันแกวหัว,KG,,,24,,,,N,0,,
'12010145,OKRA,กระเจี๊ยบเขียว,KG,,,25,,,,N,0,,
'12000001,APPLE GREEN,แอปเปิ้ลเขียว(6 ลูก/กก.),PCS,,,26,,,,N,0,,
'12010022,CORN ON THE COB,ข้าวโพดฝัก(ปอกเปลือก),KG,,,26,,,,N,0,,
'12010045,LUFFA,บวบเหลี่ยม,KG,,,26,,,,N,0,,
'12010049,MORNING GLORY,ผักบุ้งไทย,KG,,,26,,,,N,0,,
'12010089,มันม่วง,มันม่วง,KG,,,27,,,,N,0,,
'12010026,EGG PLANT GREEN LONG,มะเขือยาวเขียว,KG,,,28,,,,N,0,,
'12000019,MANGO,มะม่วงดิบ,KG,,,29,,,,N,0,,
'12010019,CHINESE MORNING GLORY,ผักบุ้งจีน,KG,,,29,,,,N,0,,
'12010057,ONION LARGE,หอมใหญ่,KG,,,29,,,,N,0,,
'12010135,INDIAN ONION 10 KG.,หอมแดงอินเดีย 10 กก./กส.,SACK,,,29,,,,N,0,,
'15040004,NOODLE BIG,ก๋วยเตี๋ยวเส้นใหญ่,KG,,,29,,,,N,0,,
'12000073,มะพร้าวทึนทึก,มะพร้าวทึนทึก,PCS,,,30,,,,N,0,,
'12010024,CUCUMBER SMALL,แตงกวาเล็ก,KG,,,30,,,,N,0,,
'12010038,KWANG TUNG,กวางตุ้ง,KG,,,30,,,,N,0,,
'12010081,TURNIP WHITE,หัวไชเท้า,KG,,,30,,,,N,0,,
'12010082,WHITE LETTUCE,กาดขาว,KG,,,30,,,,N,0,,
'12010114,CABBAGE  WHITE,กะหล่ำปลีขาว,KG,,,30,,,,N,0,,
'16020002,KANOM LOD CHONG PANDANUS,ขนมลอดช่องใบเตย,KG,,,30,,,,N,0,,
'12000002,APPLE RED,แอปเปิ้ลแดง(6 ลูก/กก.),PCS,,,31,,,,N,0,,
'12010021,CHOA PRAYA EGGPLANT,มะเขือเปราะ,KG,,,31,,,,N,0,,
'12010140,KEELEK LEAVES,ใบขี้เหล็กต้ม,KG,,,31,,,,N,0,,
'16020005,JELATINE  BLACK,เฉาก๊วย(วุ้นดำ),KG,,,31,,,,N,0,,
'12020001,BANANA LEAVE,ใบตอง,Kg,,,32,,,,N,0,,
'15150008,BEAN CURD DRIED(1*10),ฟองเต้าหู้แผ่น(1*10),PACK,,,32,,,,N,0,,
'12010036,KALE,คะน้า,KG,,,33,,,,N,0,,
'15010102,CHINESE HERB,เครื่องตุ๋นยาจีน,PACK,,,33,,,,N,0,,
'12010034,HOT BASIL,กระเพรา,KG,,,34,,,,N,0,,
'12010123,BITTER CUCUMBER,มะระ,KG,,,34,,,,N,0,,
'12000026,PINEAPPLE LARGE,สับปะรดใหญ่,PCS,,,36,,,,N,0,,
'12010070,STRING BEANS,ถั่วฝักยาว,KG,,,36,,,,N,0,,
'12010074,TARO ROOT,เผือก,KG,,,36,,,,N,0,,
'15010049,RAJMAH RED 500 G. (106384),ถั่วแดง 500ก.(106384),BAG,,,36.5,,,,N,0,,
'15130061,RED PORK POWDER,ผงหมูแดง,PACK,,,37,,,,N,0,,
