SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'31000008,"PAPER NAPKIN WHITE-NOLOGO 13""*13""1P (1*500S*8)","กระดาษเช็ดปากสีขาวไม่มีโลโก้ 13*13"" 1P(1*500S*8)",CASE,,,725,,,,A,7,,
'31000014,TISSUE INTERFOLD HAND L-FOLD 1P(1*300S*24),กระดาษเช็ดมือหนา 1 ชั้น(1*300ผ*24),CASE,,,1046.25,,,,A,7,,
'31000022,TISSUE PAPER ROLL 2P 17M.1*144(ROOM),ทิชชูม้วนเล็ก 2 ชั้นยาว 17ม.( 1*144 /ลัง)-ห้องพัก,CASE,,,745,,,,A,7,,
'31000116,TISSUE FACIAL REFILL 2P( 1*200S*50),กระดาษเช็ดหน้าแบบเติมหนา 2 ชั้น(1*200*50),CASE,,,1170,,,,A,7,,
'31000118,TISSUES FACIAL SCOTT(CUBIC) 2P(1*60S*48),กระดาษทิชชู่ยี่ห้อสก๊อตเช็ดหน้าหนา 2 ชั้น(1*60*48),CASE,,,744.68,,,,A,7,,
'32000007,"GARBAGE BAG BLACK 30*40""(1*30KG)/SACK","ถุงขยะสีดำขนาด 30*40""(1*30กก)/กส",KG,,,36,,,,A,7,,
'32000008,"GARBAGE BAG BLACK 36 x 45""(1*30KG)/SACK","ถุงขยะสีดำขนาด 36x 45""(1*30กก)/กส",KG,,,36,,,,A,7,,
'32000009,"GARBAGE BAG WHITE 18X20""(165-170P)/KG",ถุงขยะสีขาวขนาด 18*20 นิ้ว(165-170ใบ)/กก.,KG,,,,,,,A,7,,
'32000015,RUBBER GLOVE WHITE POWDERD SIZE M(100P/BOX),ถุงมือยางอนามัยสีขาวแบบมีแป้งไซด์M (100ชิ้น/กล่อง),BOX,,,150,,,,A,7,,
'32000025,TISSUE PAPER POP-UP 1P(1x200S*60),กระดาษเช็ดปากป๊อบอัพหนา 1 ชั้น(1x200*60),CASE,,,420,,,,A,7,,
'32000026,TISSUE PAPER ROLL 2P 300M.(1*12),กระดาษทิชชู่ม้วนใหญ่ 2ชั้น 300ม.(1*12),CASE,,,700,,,,A,7,,
'32000037,TISSUE PAPER 1P 600M. (1*12),กระดาษทิชชู่ม้วนใหญ่ 1ชั้น 600ม.(1*12),CASE,,,700,,,,A,7,,
'32000038,"GARBAGE BAG(BLACK) 22*30""",ถุงขยะสีดำขนาด 22*30 นิ้ว,KG,,,36,,,,A,7,,
'32000072,"GARBAGE BAG BLACK 18*20""(1*30KG)/SACK","ถุงขยะสีดำขนาด 18*20""(1*30กก)/กส",KG,,,36,,,,A,7,,
'32000073,"GARBAGE BAG BLACK 24*28""","ถุงขยะสีดำขนาด 24*28""",KG,,,36,,,,A,7,,
