SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,
'14020002,CHESS GOUDA BLOCK 3KG.(6UH004),CHESS GOUDA BLOCK 3KG.(6UH004),KG,,,310,,,,A,7,,,
'14010014,MUSTARD DIJON 1KG.(PC001),MUSTARD DIJON 1KG.(PC001),KG,,,499,,,,A,7,,,
'15120011,PEELED TOMATOES TERRA MARIS 2.5KG.(44C23),PEELED TOMATOES TERRA MARIS 2.5KG.(44C23),CAN,,,300,,,,A,7,,,
'10050036,DRIED SALAMI 0.7-1 KG.,ดรายซาลามี่ 0.7-1 กก.,KG,,,899,,,,A,7,,,
'15010003,BAKED BEANS IN TOMOTO 425G.(1x24)/(230091),ถั่วขาวในน้ำมะเขือเทศ 425ก.(1x24)/(230091),CASE,,,950,,,,A,7,,,
'15120012,RED WINE VINEGAR AGED  1 L. (12602),น้ำส้มสายชูไวน์แดง 1 ลิตร(12602),BTL,,,190,,,,A,7,,,
'15120013,RED WINE VINEGAR VIANDER 1 L. (840154),น้ำส้มสายชูหมักจากไวน์แดง เวียนเดอร์ 1ลิตร(840154),BTL,,,190,,,,A,7,,,
'15010122,JUMBO LUMP CARB MEAT 454G.(6SC003),เนื้อปูก้อนจัมโบ้กระป๋อง 454ก. (6SC003),CAN,,,1299,,,,A,7,,,
'15050021,FLOUR SEMOLINA SUJI 500 G .,แป้งเซโมลิน่าซูจี 500ก.,BAG,,,55,,,,A,7,,,
'14020005,CHEESE PARMESAN BLOCK 2.3KG.,พาร์มีซานชีส(แท่ง) 2.3 กก.,KG,,,750,,,,A,7,,,
'14020027,CHEESE PARMESAN ITALIAN BLOCK 2 กก.,พาร์มีซานชีสอิตาลีแท่ง 2 กก.,KG,,,750,,,,A,7,,,
'14020006,CHEESE PARMESAN ITALIAN(58050),พาร์มีซานชีสอิตาเลี่ยน(58050),KG,,,750,,,,A,7,,,
'15010047,PITTED GREEN OLIVE 4KG.(58023A),มะกอกเขียวไม่มีเมล็ด 4 กก.(58023A),CAN,,,670,,,,A,7,,,
'15010048,PITTED GREEN OLIVES CRESPO 4.3KG.(142439),มะกอกเขียวไม่มีเมล็ดในน้ำเกลือคริสโป 4.3กก(142439),CAN,,,670,,,,A,7,,,
'15010151,PITTED BLACK OLIVES 4KG.(58023B),มะกอกดองดำในเกลือ 4กก.(58023B),CAN,,,670,,,,A,7,,,
'15010039,OLIVES BLACK PITTED 4 KG.(58023B),มะกอกดำไม่มีเมล็ดขนาด 4 กก.(58023B),CAN,,,670,,,,A,7,,,
'15010057,WHOLE PEELED TOMATO SIS 2.8KG.(140649),มะเขือเทศปอกผิวตราซีส 2.8 กก.(140649),CAN,,,300,,,,A,7,,,
'15010163,TOMATO PEELED WHOLE SIS 3.2 KG.,มะเขือเทศลูกในน้ำมะเขือเทศตราซีส 3.2 กก.,CAN,,,300,,,,A,7,,,
'14010006,MUSTARD ARO 1 KG. (140500),มัสตาร์ดเอโร่ 1 กก.(140500),BAG,,,499,,,,A,7,,,
'10050011,"POKR FRESH  SAUSAGE 3.5""",ไส้กรอกหมูสด 3.5 นิ้ว,KG,,,230,,,,A,7,,,
'10050044,PARIS HAM 2 KG,แฮมปารีส 2 KG.,KG,,,499,,,,A,7,,,
