SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'31000013,STIRRER COFFEE-WOODEN 14 CM(PAPER WRAP) 1*500/PACK,ไม้คนกาแฟขนาด 14 ซม.(ซองกระดาษ) 1*500/แพ็ค,PACK,,,70.1,,,,A,7,,
'34030004,ถุงกระดาษพับข้างน้ำตาล 9.5*6*16.5ซม.(1*100)/แพ็ค,ถุงกระดาษพับข้างน้ำตาล 9.5*6*16.5ซม.(1*100)/แพ็ค,PACK,,,98.13,,,,A,7,,
'34030012,ถุงกระดาษหูเกลียวคราฟท์  23*15*23 cm.(1*25)/197638,ถุงกระดาษหูเกลียวคราฟท์  23*15*23 cm.(1*25)/197638,PACK,,,158.88,,,,A,7,,
'34030035,BOX FOOD 1000 ML.(1*50)/PACK 849517//8859384501175,กล่องใส่อาหาร 1 ช่อง 1000 มล.(1*50)  8859384501175,PACK,,,308.42,,,,A,7,,
'34030067,PAPER FOOD GRADE 15*15 CM.(1*100-1200S),กระดาษห่อแซนวิสลายหนังสือพิมพ์ 15*15 ซม.(100-120ผ),PACK,,,116.82,,,,A,7,,
'34030113,กล่องอาหาร 2 ช่องพร้อมฝาปิด 1200 มล.(1*50)/แพ็ค,กล่องอาหาร 2 ช่องพร้อมฝาปิด 1200 มล.(1*50)/แพ็ค,PACK,,,70.09,,,,A,7,,
'34030193,กล่องพลาสติกE-44 4ช่องพร้อมฝา(ฐานทอง)1*50ชุด/แพ็ค,กล่องพลาสติกE-44 4ช่องพร้อมฝา(ฐานทอง)1*50ชุด/แพ็ค,Pack,,,182.24,,,,A,7,,
'34030194,กล่องพลาสติกE-82 6ช่องพร้อมฝา(ฐานทอง)1*50ชุด/แพ็ค,กล่องพลาสติกE-82 6ช่องพร้อมฝา(ฐานทอง)1*50ชุด/แพ็ค,Pack,,,257.01,,,,A,7,,
'34030195,กล่องพลาสติกE-81 8ช่องพร้อมฝา(ฐานทอง)1*50ชุด/แพ็ค,กล่องพลาสติกE-81 8ช่องพร้อมฝา(ฐานทอง)1*50ชุด/แพ็ค,Pack,,,294.39,,,,A,7,,
'34030196,กล่องพลาสติกE-80 10ช่องพร้อมฝา(ฐานทอง)1*50ชุด/แพ็ค,กล่องพลาสติกE-80 10ช่องพร้อมฝา(ฐานทอง)1*50ชุด/แพ็ค,Pack,,,,,,,A,7,,
'34030197,ถุงกระดาษหูเกลียวคราฟท์ 19*13*21cm.(1*25)/แพ็ค,ถุงกระดาษหูเกลียวคราฟท์ 19*13*21cm.(1*25)/แพ็ค,Pack,,,,,,,A,7,,
'34030198,ถุงกระดาษหูเกลียวคราฟท์ 32*11*24cm.(1*25)/แพ็ค,ถุงกระดาษหูเกลียวคราฟท์ 32*11*24cm.(1*25)/แพ็ค,Pack,,,,,,,A,7,,
