SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'10050005,CHICKEN CHILL BOLOGNA 1.5 KG.,โบโลญญ่าไก่พริก 1.5 กก.,KG,,,165,,,,N,0,,
'10050020,CHICKEN HAM,ไก่แฮม,KG,,,170,,,,N,0,,
'10050019,CHICKEN BOLOGNA 1.5 KG.,โบโลญญาไก่ 1.5KG.,KG,,,175,,,,N,0,,
'10050047,PORK VIENNA SAUSAGE,ไส้กรอกเวียนนา,KG,,,290,,,,N,0,,
'10020015,อกไก่รมควัน,อกไก่รมควัน,KG,,,315,,,,N,0,,
'10050040,KOCHSCHINKEN 3.5-4 KG.,คุ๊กชิงเก้นแท่ง 3.5-4 กก.,KG,,,390,,,,N,0,,
'10050042,MORTADELLA 3-3.2 KG.,มอลตาเดล่าแท่ง 3-3.2 กก.,KG,,,390,,,,N,0,,
'10050044,PARIS HAM 2 KG,แฮมปารีส 2 KG.,KG,,,415,,,,N,0,,
'10050015,PEPPERONI,เปปเปอร์โรนี่,KG,,,620,,,,N,0,,
'10050036,DRIED SALAMI 0.7-1 KG.,ดรายซาลามี่ 0.7-1 กก.,KG,,,650,,,,N,0,,
'17000001,RIBEYE AUS EBONY CHOICE 5-8 KG.,เนื้อริบอายออสสเตรเลีย 5-8 กก.,KG,,,750,,,,N,0,,
