SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22140008,YEOW NGERN 70 CL.(206675),‡À¬’Ë¬«‡ß‘π 70 CL.(206675),Btl,,,140,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22020049,PEACH PLOY 70 CL.,PEACH PLOY 70 CL.,Btl,,,275,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22020052,PEACH SCHNAPP 70 CL.,PEACH SCHNAPP 70 CL.,Btl,,,275,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22020049,PEACH PLOY 70 CL. : ,PEACH PLOY 70 CL.,Btl,,,275,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22140007,SANG SOM 70 CL. (192995),SANG SOM 70 CL. (192995),Btl,,,298,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22140012,SANG SOM 100 CL.,· ß‚ ¡ 100 CL.,Btl,,,298,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22120005,PALM LEAF COCONUT 70 CL.,PALM LEAF COCONUT 70 CL.,Btl,,,395,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22140009,MEKHONG 70 CL.(818024),MEKHONG 70 CL.(818024),Btl,,,398,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22130013,PHOENIX PEACH 70 CL.(228344),PHOENIX PEACH 70 CL.(228344),Btl,,,420,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22130011,PHOENIX COCONUT RUM 70 CL. (132304),PHOENIX COCONUT RUM 70 CL. (132304),Btl,,,430,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22120006,PAMPERO WHITE RUM 75 CL.,PAMPERO WHITE RUM 75 CL.,Btl,,,547,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22020044,H.W. CREAM DE BANANA 75 CL.,H.W. CREAM DE BANANA 75 CL.,Btl,,,550,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22020042,H.W. CREAM DE CACAO WHITE 75 CL.,H.W. CREAM DE CACAO WHITE 75 CL.,Btl,,,550,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22020050,H.W.BLUE CURACAO 75 CL.,H.W.BLUE CURACAO 75 CL.,Btl,,,550,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22020028,H.W.CREME DE BANANA 75 CL.,H.W.CREME DE BANANA 75 CL.,Btl,,,550,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22020029,H.W.CREME DE CACAO WHITE  75 CL.,H.W.CREME DE CACAO WHITE  75 CL.,Btl,,,550,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22020031,H.W.CREME DE MENTHE GREEN 75 CL.,H.W.CREME DE MENTHE GREEN 75 CL.,Btl,,,550,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22020046,H.W.ORANGE CURACAO 75 CL.,H.W.ORANGE CURACAO 75 CL.,Btl,,,550,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22020048,H.W.PEACH SCHNAPPS 75 CL.,H.W.PEACH SCHNAPPS 75 CL.,Btl,,,550,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22020041,DE KUYPER PEACH TREE 70 CL.,DE KUYPER PEACH TREE 70 CL.,Btl,,,560,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22080005,SMIRNOFF VODKA 70 CL. (107967),SMIRNOFF VODKA 70 CL. (107967),Btl,,,566,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22010014,H.W.APRICOT BRANDY 75 CL.,H.W.APRICOT BRANDY 75 CL.,Btl,,,595,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22010015,H.W.PEACH BRANDY 75 CL.,H.W.PEACH BRANDY 75 CL.,Btl,,,595,,,,A,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
