SKU#	Description	Local Description	Unit	Qty From	QtyTo	Quote Price	Foc	Discount Percent	Discount Amount	TaxType	TaxRate	Vendor SKU#	Comment
'15010003	BAKED BEANS IN TOMOTO 425G.(1x24)/(230091)	ถั่วขาวในน้ำมะเขือเทศ 425ก.(1x24)/(230091)	CASE			1150				A	7		
'16010001	BUN WITH CHICKEN(1*20PCS)	ซาลาเปาไส้ไก่ (1*20ชิ้น)	PACK			120				A	7		
'16010005	HA KAO SHRIMP(1x40)	ฮะเก๋ากุ้ง(1x40)	PACK			150				A	7		
'16010006	MIX VEGETABLE SPRING ROLL 25G.(1x40)/(118202)	ปอเปี๊ยะผัก ลิตเติ้ลเชฟ 25ก.(1x40)/(118202)	PACK			220				A	7		
'16010010	VEGERTABLE SAMOZA (1x24 PCS)	ซาโมซ่าผัก(1x24 ชิ้น)	PACK			200				A	7		
'16010014	SWEET CREAM BUN(20 PCS/PACK)	ซาลาเปาไส้ครีม(1*20 PCS/PACK)	PACK			110				A	7		
'16010015	ขนมจีบไก่ (1*20)	ขนมจีบไก่(1*20PACK)	PACK			140				A	7		
'16010016	BLACK BEAN BUN (1x20 )	ซาลาเปาไส้ถั่วดำ(1x20 )	PACK			110				A	7		
'16010024	RED PORK BUN(1x20)	ซาลาเปาไส้หมูแดง(1x20)	PACK			110				A	7		
'10020015	อกไก่รมควัน	อกไก่รมควัน	KG			260				A	7		
'10050007	"CHICKEN SAUSAGE FRESH 3.5"" 1KG."	ไส้กรอกไก่สด 3.5 นิ้ว 1 กก.	KG			150				A	7		
'10050011	"POKR FRESH  SAUSAGE 3.5"""	ไส้กรอกหมูสด 3.5 นิ้ว	KG			220				A	7		
'10050016	PORK CHILL BOLOGNA 1.5KG.	โบโลญญ่าหมูพริก 1.5 กก.	KG			190				A	7		
'10050021	PORK BOLOGNA 1.5KG.	โบโลญญ่าหมู 1.5KG.	KG			160				A	7		
'10050022	HAM(PORK)	หมูแฮม	KG			155				A	7		
'10050033	"CHICKEN SAUSAGE 3.5"" BATAGRO"	ไส้กรอกไก่ 3.5นิ้ว(เบทาโกร)	KG			150				A	7		
'10050051	SALAMI MILANO(C003)	ซาลามี่มิลาโน่(C003)	KG			690				A	7		
'14020001	BURRTA COW 100G.(54110)	บลูราต้าชีสมอสน้ำ 100ก.(54110)	PACK			120				A	7		
'14020004	CHEES CHEDDAR ORANGE (84 SLICES)	CHEES CHEDDAR ORANGE (84 SLICES)	PACK			320				A	7		
'14020021	EMMENTAL VALMARTIM 3KG.(44ENT)	EMMENTAL VALMARTIM 3KG.(44ENT)	KG			650				A	7		
'16010018	CHICKEN NUGGET 1KG.	นัตเก็ตไก่ 1กก.	KG			185				A	7		
