SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'13000001,JUICE APPLE MALEE 1L.(1x3)/(757822),น้ำผลไม้-แอปเปิ้ลมาลี 1 ลิตร(1x3)/(757822),BOX,,,85,,,,A,7,,
'13000002,JUICE APPLE TIPCO 1L.(1x3)/(438113),น้ำผลไม้-แอปเปิ้ลทิปโก้ 1 ลิตร(1x3)/(438113),BOX,,,83,,,,A,7,,
'13000010,JUICE MANGO DOI-KHAM 1L.(830205),น้ำมะม่วงดอยคำ 1 ลิตร(830205),BOX,,,85,,,,A,7,,
'13000011,JUICE MANGO MALEE 1L.,น้ำผลไม้-มะม่วงผสมผลไม้รวมมาลี 1 ลิตร,BOX,,,85,,,,A,7,,
'13000013,JUICE PINEAPPLE MALEE 1L.(757848),น้ำผลไม้-สับประรดมาลี 1 ลิตร(757848),BOX,,,85,,,,A,7,,
'13000014,JUICE  PINEAPPLE TIPCO 970ML.(1x3)/(438100),น้ำผลไม้-น้ำสับปะรดทิปโก้ 970 มล.(1x3)/(438100),BOX,,,83,,,,A,7,,
'13000015,JUICE LIME 100% 1L.,น้ำมะนาว100% 1 ลิตร,BTL,,,30,,,,A,7,,
'13000030,JUICE CONCENTRATE ORANGE SUNGUICK 1L.(112790),น้ำผลไม้เข้มข้น-ส้มซันควิก 1ล.(112790),BTL,,,270,,,,A,7,,
'13000032,JUICE PINEAPPLE MALEE 1L,น้ำผลไม้-สับปะรดมาลี 1 ลิตร,BTL,,,85,,,,A,7,,
'15000003,NESCAFE CASE 2G.(1*108/ถุง)/(899867),เนสกาแฟซอง 2ก.(1*108/ถุง)/(899867),BAG,,,250,,,,A,7,,
'15000006,COFFEE MATE SIZE 3G.(1*100)/(899868),คอฟฟี่เมต 3ก.1*100/ถุง,BAG,,,110,,,,A,7,,
'15000009,DAJEERING BLACK TEA(2G.x25),DAJEERING BLACK TEA(2G*25 ),BOX,,,340,,,,A,7,,
'15000010,TEA CAMOMILE FLOWER DILMAH 1.5G(1x20/BOX),ชาคาโมมายด์ดิลมา 1.5ก(1x20/กล่อง),BOX,,,340,,,,A,7,,
'15000011,TEA EARL GREY TEA DILMAH 2G.(1X25/BOX),ชาเอิร์ลเกรย์ดิลมา 2ก.(1x25/กล่อง),BOX,,,340,,,,A,7,,
'15000012,TEA ENGLISH BREAKFAST DILMAH 2G.(1x25/BOX),ชาอิงลิชเบรกฟาสต์ดิลมา 2ก.(1x25/กล่อง),BOX,,,340,,,,A,7,,
'15000013,TEA JASMINE GREEN TEA DILMAH 2G.(1*25/BOX),ชาจัสมินกรีนทีดิลมา 2ก.(1*25/กล่อง),BOX,,,340,,,,A,7,,
'15000014,TEA PURE PEPPERMINT DILMAH 1.5G (1x20/BOX),ชาเปปเปอร์มิ้นต์ดิลมา1.5ก.(1x20/กล่อง),BOX,,,340,,,,A,7,,
'15000015,TEA EARL GREY BLACK TWININGS 2G. (1x25/BOX),ชาเอิร์ลเกรย์ทไวนิงส์ 2ก.(1x25/กล่อง),BOX,,,265,,,,A,7,,
'15000018,TEA ENGLISH BREAKFAST TEA TWININGS 2G.(1x25/BOX.),TEA ENGLISH BREAKFAST TEA TWININGS 2G.(1x25/BOX),BOX,,,285,,,,A,7,,
'15000020,GREEN TEA NUMBER ONE 200G.(155848),ชาเขียวนมสีเขียวตรามือ 200ก.(155848),BAG,,,85,,,,A,7,,
'15000021,LIPTON TEA YELLOW SIZE 2G.( 1*100/BOX )/(210390),ชาลิปตันเหลืองซอง 2ก.( 1*100)/(210390),BOX,,,240,,,,A,7,,
'15000025,NESCAFE 600G.(199123),เนสกาแฟ 600G.(199123),BAG,,,425,,,,A,7,,
'15000028,TEA POWDER LOCAL 400 G. (155655),ชาตรามือฉลากแดง 400ก.(155655),BAG,,,80,,,,A,7,,
'15010003,BAKED BEANS IN TOMOTO 425G.(1x24)/(230091),ถั่วขาวในน้ำมะเขือเทศ 425ก.(1x24)/(230091),Pack,,,1200,,,,A,7,,
'15010007,BLANCHED SLICED ALMONDS HERITAGE 454 G. (184565),อัลมอนด์ดิบสไลซ์เฮอริเทจ 454ก.(184565),BAG,,,430,,,,A,7,,
'15010008,BREAD CRUMBS LOBO 350G.(1x3)/(163223),เกล็ดขนมปังป่นปรุงรสโลโบ 350ก.(1x3)/(163223),BAG,,,53,,,,A,7,,
'15010014,CASHEWNUT HALF,เม็ดมะม่วงหิมพานต์อบซีก,BAG,,,395,,,,A,7,,
'15010016,CHAMPIGNON MUSHROOM UFC 425G. (1x3)/(142057),เห็ดแชมปิญองน้ำตาลยูเอฟซี 425ก.(1x3)/(142057),CAN,,,85,,,,A,7,,
'15010019,CHERRY IN SYRUP S&W 750G.(184150),เชอร์รี่แดงมีก้านในน้ำเชื่อม S&W 750ก.(184150),BTL,,,240,,,,A,7,,
'15010028,GREEN BEAN,ถั่วเขียว,KG,,,72,,,,A,7,,
'15010032,KIDNEY BEANS 500G.(830331),ถั่วแดงหลวง 500ก.(830331),BAG,,,45,,,,A,7,,
'15010039,OLIVES BLACK PITTED 4 KG.(58023B),มะกอกดำไม่มีเมล็ดขนาด 4 กก.(58023B),CAN,,,785,,,,A,7,,
'15010042,PEA NUT BEAN ROW,ถั่วลิสงดิบเม็ด,KG,,,98,,,,A,7,,
'15010043,PEANUT GROUND RAITIP 500G.(829924),ถั่วลิสงป่นไร่ทิพย์ 500ก.(829924),BAG,,,70,,,,A,7,,
'15010044,PEELED PEANUTS RAITIP 500G.(1x6)/(185825),ถั่วลิสงเลาะเปลือกไร่ทิพย์ 500ก.(1x6)/(185825),Pack,,,55,,,,A,7,,
'15010046,PISTACHIO NUT HERITAGE 250G.(201747),ถั่วพิสตาชิโอดิบเฮอริเทจ 250ก.(201747),BAG,,,410,,,,A,7,,
'15010048,PITTED GREEN OLIVES CRESPO 4.3KG.(142439),มะกอกเขียวไม่มีเมล็ดในน้ำเกลือคริสโป 4.3กก(142439),CAN,,,820,,,,A,7,,
'15010049,RAJMAH RED 500 G. (106384),ถั่วแดง 500ก.(106384),BAG,,,45,,,,A,7,,
'15010050,RICE ROASTED RAITIP 500G. (221067),ข้าวคั่วไร่ทิพย์ 500ก.(221067),BAG,,,40,,,,A,7,,
'15010052,SEOSONING OIL MAEPRANOM 750ML.,น้ำมันน้ำพริกเผาตราแม่ประนอม 750 มล.,BTL,,,105,,,,A,7,,
'15010053,SHRIMP SANCK MANOHRA 1KG.(119144),ข้าวเกรียบกุ้งดิบมโนห์รา 1 กก.(119144),BAG,,,200,,,,A,7,,
'15010057,WHOLE PEELED TOMATO SIS 2.8KG.(140649),มะเขือเทศปอกผิวตราซีส 2.8 กก.(140649),CAN,,,230,,,,A,7,,
'15010068,SEEDS PUMPKIN HERITAGE 454G.(184221),เมล็ดฟักทองอบเฮอริเทจ 454ก.(184221),BAG,,,290,,,,A,7,,
