SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'FD120233,LEMON FRUIT BIG ( NO SEED ),มะนาวใหญ่ไร้เม็ด,KG,55,,,,,,N,N,,
'FD120260,PAPAYA RAW,มะละกอดิบ,KG,20,,,,,,N,N,,
'FD120330,LEMON YELLOW BIG,มะนาวเหลือง,KG,68,,,,,,N,N,,
'FD120333,AVOCADO(EACH),อโวคาโด(ลูก),PCS,65,,,,,,N,N,,
'FD120179,BABY CORN,ข้าวโพดอ่อน,KG,38,,,,,,N,N,,
'FD120181,BANANA FLOWER,หัวปลี,EA,15,,,,,,N,N,,
'FD120182,BANANA LEAVE,ใบตอง,KG,25,,,,,,N,N,,
'FD120184,BEANS WING,ถั่วพลู,KG,85,,,,,,N,N,,
'FD120185,BEANSPROUTS CLEANED,ถั่วงอก,KG,15,,,,,,N,N,,
'FD120186,BELL PEPPER GREEN,พริกยักษ์เขียว,KG,80,,,,,,N,N,,
'FD120187,BELL PEPPER RED,พริกยักษ์แดง,KG,90,,,,,,N,N,,
'FD120188,BELL PEPPER YELLOW,พริกยักษ์เหลือง,KG,100,,,,,,N,N,,
'FD120189,BIRD CHILI (233298),พริกขี้หนูสวนไม่เด็ด(233298),KG,220,,,,,,N,N,,
'FD120191,CARROT,แครอท,KG,20,,,,,,N,N,,
'FD120192,CELERY IMPORT,คื่นช่ายฝรั่ง,SET,58,,,,,,N,N,,
'FD120193,CHAPOO LEAVES,ใบชะพลู,KG,60,,,,,,N,N,,
'FD120194,CHILI BRID RED,พริกขี้หนูแดง,KG,45,,,,,,N,N,,
'FD120195,CHILI BRID RED (CUT),พริกขี้หนูแดงเด็ด,KG,70,,,,,,N,N,,
'FD120196,CHILI DRY LARGE,พริกแห้งใหญ่,KG,150,,,,,,N,N,,
'FD120197,CHILI DRY SMALL,พริกแห้งเล็ก,KG,200,,,,,,N,N,,
'FD120198,CHILLI FINGER ( GREEN ),พริกชี้ฟ้าเขียว,KG,60,,,,,,N,N,,
'FD120199,CHILLI FINGER ( RED ),พริกชี้ฟ้าแดง,KG,60,,,,,,N,N,,
'FD120202,CHINESES CHIVES,กุ้ยฉ่ายเขียว(ต้น),KG,60,,,,,,N,N,,
'FD120203,CHOA PRAYA EGGPLANT,มะเขือเปราะ,KG,25,,,,,,N,N,,
'FD120205,CORN ON THE COB,ข้าวโพดฝัก(ปอกเปลือก),KG,28,,,,,,N,N,,
'FD120206,CUCUMBER LARGE,แตงกวาใหญ่,KG,20,,,,,,N,N,,
'FD120207,CUCUMBER SMALL,แตงกวาเล็ก,KG,30,,,,,,N,N,,
'FD120208,DILL LEAVES,ผักชีลาว,KG,55,,,,,,N,N,,
'FD120210,EGG PLANT GREEN LONG,มะเขือยาวเขียว,KG,35,,,,,,N,N,,
'FD120211,FRENCH BEAN,ถั่วแขก,KG,38,,,,,,N,N,,
'FD120212,PEPPER CORN,พริกไทยอ่อน,KG,130,,,,,,N,N,,
'FD120214,GALANGA WHOLE YOUNG(323648),ข่าอ่อน(323648),KG,40,,,,,,N,N,,
'FD120215,GINGER OLD,ขิงแก่,KG,60,,,,,,N,N,,
