StoreId,ProductCode,ProductDesc1,ProductDesc2,InventoryUnit,Qty
1AG01,30000028,LUGGAGE TAG,LUGGAGE TAG,PCS,1050
1AG01,30000072,KEY CARD HOLDER,ซองสำหรับใส่คีย์การ์ด,PCS,0
1AG01,30000139,LETTER HEAD COMMERCIAL - A4 - 80G,กระดาษหัวจดหมาย มีที่อยู่,PCS,7665
1AG01,30000140,DIRECTORY INDEX 6 STYLE 1*50/แพ็ค,DIRECTORY INDEX 6 STYLE 1*50/แพ็ค,PCS,0
1AG01,30000141,PAY SLIP ,PAY SLIP,CASE,0
1AG01,31000001,BOUQUET,ช่อดอกไม้,SET,0
1AG01,31000002,EDIBLE FLOWERS M/50-60 กรัม (MIX),ดอกไม้ทานได้ M/50-60 กรัม(คละสี),PACK,0
1AG01,31000003,HAND SOAP LIQUID 3.8L( สีขาวมุก/ชมพูมุก ),สบู่เหลวล้างมือ 3.8 L ( สีขาวมุก/ชมพูมุก ),GAL,0
1AG01,31000004,HAND WASH 3800 ML./OCEAN BREEZE,สบู่เหลวล้างมือ 3800 ML./กลิ่นโอเชี่ยนบรีช,GAL,0
1AG01,31000005,"LAUNDRY BAG PLASTIC 18*25"" (55-60ใบ)/KG.","ถุงซักรีด 18*25"" (55-60ใบ)/กก.ขั้นต่ำ 5กก.",KG,0
1AG01,31000006,MASCA COLOGNE 170 ML,มาสก้าโคญโลญ 170 ML,BTL,0
1AG01,31000007,MOM FLOWER YELLOW,ดอกมัมสีเหลือง,BUNDLE,0
1AG01,31000009,SANITARY BAG NO LOGO,ถุงใส่ผ้าอนามัยไม่มีโลโก้,PCS,0
1AG01,31000010,SHAMPOO&CONDITIONER 5000 ML./OCEAN BREEZE,แชมพูผสมครีมนวด 5000 มล.(กลิ่นโอเชี่ยนบรีช),GAL,0
1AG01,31000011,SHOWER GEL 3800 ML./OCEAN BREEZE,ครีมอาบน้ำ 3800 มล.(กลิ่นโอเชี่ยนบรีช),GAL,0
1AG01,31000012,SPAY ROSE ABOUT 90-100P/BAG,ดอกกุหลาบมอญประมาณ 90-100 ดอก/ถุง,BAG,0
1AG01,31000013,STIRRER COFFEE-WOODEN 14 CM(PAPER WRAP) 1*500/PACK,ไม้คนกาแฟขนาด 14 ซม.(ซองกระดาษ) 1*500/แพ็ค,PACK,0
1AG01,31000014,TISSUE INTERFOLD HAND L-FOLD 1P(1*300S*24),กระดาษเช็ดมือหนา 1 ชั้น(1*300ผ*24),PACK,0
1AG01,31000016,กลีบดอกกุหลาบ,กลีบดอกกุหลาบ,BAG,0
1AG01,31000017,ดอกไม้กำห่อใบเตย (ไม่เอาดาวเรือง) (DPP),ดอกไม้กำห่อใบเตย(ไม่เอาดาวเรือง)(DPP),BUNDLE,0
1AG01,31000018,ESSENTIAL OIL LAVENDOR 1000 ML,น้ำมันหอมระเหยลาเวนเดอร์ 1000 มล.,BTL,0
1AG01,31000019,STIRRER COFFEE-WOODEN 14 CM(NO WRAP) 1*500/PACK,ไม้คนกาแฟ 14 ซม.(ไม่ห่อกระดาษ)1*500/แพ็ค,PCS,0
1AG01,31000020,BOM  ORCHID 900-1000G./BUNDLE,กล้วยไม้บอม 900-1000ก./มัด,BUNDLE,0
1AG01,31000021,ถ่านแบตเตอร์รี่(AA)-อัลคาไลน์ ยี่ห้อพานาโซนิค 1*8/แพ็ค,ถ่านแบตเตอร์รี่(AA)-อัลคาไลน์ ยี่ห้อพานาโซนิค 1*8/แพ็ค,PCS,0
1AG01,31000022,TISSUE PAPER ROLL 2P 17M.1*144(ROOM),ทิชชูม้วนเล็ก 2 ชั้นยาว 17ม.( 1*144 /ลัง)-ห้องพัก,ROLL,0
1AG01,31000023,DRY BATTERY - AAA - ALKALINE Panasonic,ถ่านแบตเตอร์รี่ AAA อัลคาไลน์ ยี่ห้อพานาโซนิค,PCS,0
1AG01,31000024,KEY CARD HOLDER 6*9CM.(New),KEY CARD HOLDER 6*9CM.(NEW),PCS,400
1AG01,31000025,CANDLE LIGTH WITH HOLDER (1 X 100 PCS )900492,เทียนถ้วยตั้งโต๊ะ(1*100)/แพ็ค900492,PCS,0
1AG01,31000026,OASIS - FOR FLOWER SET UP 1*20,โอเอซิส - สำหรับจัดดอกไม้ (1*20)/ลัง,PCS,0
1AG01,31000027,WHITE ORCHID,ดอกกล้วยไม้หวายขาว,BUNDLE,0
1AG01,31000028,BATTERY Size D  Panasonic/Green,ถ่านไฟฉายก้อนใหญ่ไซด์ D ยี่ห้อพานาโซนิค(สีเขียว),PCS,0
1AG01,31000029,SHAVING KIT,มีดโกนหนวด,PCS,0
1AG01,31000030,SHAVING KIT+CREAM 10G.(COVER PAPER)LOGO,ชุด(มีดโกนหนวด+ครีม 10ก.) ซองกระดาษมีโลโก้,SET,1250
1AG01,31000031,BIO-SANITARY BAG 1/500 PCS,ถุงใส่ผ้าอนามัย 1/500 PCS,PCS,0
1AG01,31000032,SANITARY BAG LOGO,ถุงใส่ผ้าอนามัยมีโลโก้,PCS,0
