StoreId,ProductCode,ProductDesc1,ProductDesc2,InventoryUnit,Qty
1FB07,14050001,ICE CREAM COCONUT MILK ETE 100G.(1x12PCS),ICE CREAM COCONUT MILK ETE 100G. (1x12 PCS),PCS,25
1FB07,14050002,ICE CREAM COOKIE AND CREAM ETE 100G.(1x12PCS),ICE CREAM COOKIE AND CREAM ETE 100G.(1x12PCS),PCS,22
1FB07,14050003,ICE CREAM MANGO ETE 100G.(1x12PCS),ICE CREAM MANGO ETE 100G.(1x12PCS),PCS,19
1FB07,14050004,ICE CREAM RASPBERRY SORBET ETE 100G.(1x12PCS),ICE CREAM RASPBERRY SORBET ETE 100G.(1x12PCS),PCS,18
1FB07,14050005,ICE CREAM RUM RAISIN ETE 100G.(1x12PCS),ICE CREAM RUM RAISIN ETE 100G.(1x12PCS),PCS,3
1FB07,14050006,ICE CREAM SWISS CHOCOLATE ETE 100G.(1x12PCS),ICE CREAM SWISS CHOCOLATE ETE 100G.(1x12PCS),PCS,10
1FB07,14050007,ICE CREAM TRULY STRAWBERRY ETE 100G.(1x12PCS),ICE CREAM TRULY STRAWBERRY ETE 100G.(1x12PCS),PCS,0
1FB07,14050008,ICE CREAM VANILLA BEAN ETE 100G.(1x12PCS),ICE CREAM VANILLA BEAN ETE 100G.(1x12PCS),PCS,4
1FB07,14050009,ICE CREAM POPSICLE DOUBLE CHOC THE ONE ETE(1x20PCS),ICE CREAM POPSICLE DOUBLE CHOC THE ONE ETE(1x20PCS),PCS,0
1FB07,14050010,ICE CREAM POPSICLE EARL GREY HONEY THE ONE ETE(1x20PCS),ICE CREAM POPSICLE EARL GREY HONEY THE ONE ETE(1x20PCS),PCS,7
1FB07,14050011,ICE CREAM POPSICLE LYCHEE THAI FRUIT ETE(1x30PCS),ICE CREAM POPSICLE LYCHEE THAI FRUIT ETE(1x30PCS),PCS,0
1FB07,14050012,ICE CREAM POPSICLE PASSION FRUIT THAI FRUIT ETE(1x30PCS),ICE CREAM POPSICLE PASSION FRUIT THAI FRUIT ETE(1x30PCS),PCS,7
1FB07,14050013,ICE CREAM POPSICLE PISTACHIO THE ONE ETE(1x20PCS),ICE CREAM POPSICLE PISTACHIO THE ONE ETE(1x20PCS),PCS,39
1FB07,14050014,ICE CREAM POPSICLE TRIPLE STRAWBERRY THE ONE ETE(1x20PCS),ICE CREAM POPSICLE TRIPLE STRAWBERRY THE ONE ETE(1x20PCS),PCS,6
1FB07,14050015,ICE CREAM POPSICLE YOUNG COCONUT THAI FRUIT ETE(1x30PCS),ICE CREAM POPSICLE YOUNG COCONUT THAI FRUIT ETE(1x30PCS),PCS,0
1FB07,14050016,ICE CREAM PASSIONFRUIT SORBET ETE 100G.(1x12 PCS),ICE CREAM PASSIONFRUIT SORBET ETE 100G.(1x12 PCS),PCS,0
1FB07,14050017,ICE CREAM POPSICLE DURIAN THAI FRUIT ETE(1x30 PCS),ICE CREAM POPSICLE DURIAN THAI FRUIT ETE(1x30 PCS),PCS,0
1FB07,14050018,ICE CREAM POPSICLE MANGO THAI FRUIT ETE(1x30 PCS),ICE CREAM POPSICLE MANGO THAI FRUIT ETE(1x30 PCS),PCS,0
1FB07,14050021,ICE CREAM CUP04-SENGA STRAWBERRY ETE 100G.(1*12),ICE CREAM CUP04-SENGA STRAWBERRY ETE 100G.(1*12),PCS,0
1FB07,14050025,ICE CREAM BELGIAN CHOCOLATE(HGD )CUP 100ML.(1*24)/CASE,ICE CREAM BELGIAN CHOCOLATE(HGD )CUP 100ML.(1*24)/CASE,CUP,7
1FB07,14050026,ICE CREAM BELGIAN CHOCOLATE(HGD )CUP 100ML.(1*12)/CASE,ICE CREAM BELGIAN CHOCOLATE(HGD )CUP 100ML.(1*12)/CASE,CUP,0
1FB07,14050027,ICE CREAM MACADAMIA NUT (HGD )CUP 100ML.(1*24)/CASE,ICE CREAM MACADAMIA NUT (HGD )CUP 100ML.(1*24)/CASE,CUP,17
1FB07,14050028,ICE CREAM MACADAMIA NUT (HGD )CUP 100ML.(1*12)/CASE,ICE CREAM MACADAMIA NUT (HGD )CUP 100ML.(1*12)/CASE,CUP,0
1FB07,14050029,ICE CREAM VANILLA(HGD )CUP 100ML.(1*24)/CASE,ICE CREAM VANILLA(HGD )CUP 100ML.(1*24)/CASE,CUP,11
1FB07,14050030,ICE CREAM VANILLA(HGD )CUP 100ML.(1*12)/CASE,ICE CREAM VANILLA(HGD )CUP 100ML.(1*12)/CASE,CUP,0
1FB07,14050031,ICE CREAM STRAWBERRY(HGD )CUP 100ML.(1*24)/CASE,ICE CREAM STRAWBERRY(HGD )CUP 100ML.(1*24)/CASE,CUP,6
