StoreId,ProductCode,ProductDesc1,ProductDesc2,InventoryUnit,Qty
1FD01,BV150003,SNACK PEANUT SALTED TONG GARDEN 18/20 G.(1x12)(213330),ถั่วลิสงอบเกลือ ทองการ์เด้น 18/20ก.(1x12)/(213330),PCS,5.0000
1FD01,BV150004,SNACK-CHOC COIN GOLD SMALL (1x60) (8850305320264),ขนมตกแต่ง-ช็อคคอยน์เหรียญทองเล็ก (1x60)(8850305320264),PCS,0.0000
1FD01,BV150005,SNACK-CHOC COIN GOLDEN BALL 120G. (8850305320400),ขนมตกแต่ง-ช็อคโกแลตช็อคคอยน์บอลทอง 120ก.(8850305320400),BOX,2.0000
1FD01,BV150006,SNACK-CHOCOLATE MILK BON O BON 14G.(1x24) (821468),ขนมตกแต่ง-ช็อกโกแลตสอดไส้นมบอนโอบอน 14ก.(1x24) (821468),PCS,3.0000
1FD01,BV150007,SNACK-CHOCOLATE MILK IN WAFER KITKAT 17 G.(1x24)(42289),ขนมตกแต่ง-ช็อกโกแลตนมสอดไส้เวเฟอร์คิทแคท17ก.(1x24)(42289),PCS,0.0000
1FD01,BV150008,SNACK-COOKIES SANWICH OREO 28.5/27.6ก. (1x12)(197584),ขนมตกแต่ง-คุกกี้ช็อกวนิลาโอริโอ 28.5/27.6ก. (1x12)(197584),PCS,1.0000
1FD01,BV150009,SNACK-SALLED BEANS TONGGARDEN 20/25 G.(1x12)(835183),ถั่วปากอ้าอบเกลือ ทองการ์เด้น 20/25ก.(1x12)/(835183),PCS,0.0000
1FD01,BV150010,SNACK-WHITE WAFER BENG BENG  22/25G.(1x12)(808303),ขนมขบเคี้ยว-ไวท์ช็อกโกแลตเวเฟอร์เบงเบง 22/25ก.(1x12)(808303),PCS,0.0000
1FD01,BV200011,COKE CAN 325 ML.(1x24)/(358579),โค้ก(กระป๋อง) 325มล.(1x24)/(358579),CAN,0.0000
1FD01,BV200012,COKE LIGHT CAN 325 ML.(1x24)/(100512),โค้กไลท์(กระป๋อง) 325มล.(1x24)/(100512),CAN,0.0000
1FD01,BV200013,COKE PLASTIC BTL 1.25 L. (1x12)/(358891),โค้ก(ขวด) 1.25ล.(1x12)/(358891),BTL,0.0000
1FD01,BV200014,WATER DRINKING CHANG 1500 ML.(1x6)/PACK,น้ำดื่มช้าง 1500 มล.(1x6)/แพ็ค,BTL,0.0000
1FD01,BV200015,WATER DRINKING  CHANG 600 ML.(1x12)/(110140),น้ำดื่มช้าง 600 มล.(1x12)/แพ็ค(110140),BTL,0.0000
1FD01,BV200016,WATER DRINKING TANK 18.90L.,น้ำดื่มถัง 18.90 ลิตร,TANK,0.0000
1FD01,BV200017,ORANGE FANTA CAN 325 ML.(1x24)/(358657),น้ำส้มแฟนต้า(กระป๋อง) 325มล.(1x24)/(358657),CAN,0.0000
