StoreId,ProductCode,ProductDesc1,ProductDesc2,InventoryUnit,Qty
1SP01,20000009,SPRITE CAN 325 ML.1x24/(358839),SPRITE CAN 325 ML.1x24/(358839),CAN,0
1SP01,26000012,JUICE SAI NAM PHUENG 100% MALEE 200 ML.(1x6)/(142520),น้ำผลไม้-น้ำส้มสายน้ำผึ้ง 100%มาลี 200 มล.(1x6)/(142520),Box,0
1SP01,31000129,ค่าแรงตัดเย็บ,ค่าแรงตัดเย็บ,JOB,0
1SP01,32000132,ไม้กวาดดอกอ้อ-กาบห่อ(9033819700282),ไม้กวาดดอกอ้อ-กาบห่อ(9033819700282),Pcs,0
1SP01,33030008,FEE-SERVICE WEBSITE MONTHLY,FEE-SERVICE WEBSITE MONTHLY,JOB,0
1SP01,34010017,SIGNAGE(ระบุขนาด),ป้ายต่าง ๆ (ระบุขนาด),PCS,0
1SP01,34010026,ค่าปัก,ค่าปัก,Set,0
1SP01,36000001,BODY CREAM VITAMIN E MILKY(ALOE VERA) 500 ML.,ครีมบำรุงผิวยี่ห้อแคร์บิวสูตรว่านหางจระเข้ 500 มล.,CAN,0
1SP01,36000003,"กางเกงในสปาไซด์ XL(36""46"")","กางเกงในสปาไซด์ XL(36""46"")",PCS,0
1SP01,36000005,FOOT MASSAGE CREAM 4000 ML.,ครีมนวดเท้า ยี่ห้อนิวสกาย 4000มล.,GAL,0
1SP01,36000007,BODY SCRUB ORGANIC COCONUT 1000ML.,BODY SCRUB ORGANIC COCONUT 1000ML.,BTL,10
1SP01,36000008,BODY SCRUB REFRESH 1000ML.,BODY SCRUB REFRESH 1000ML.,BTL,3
1SP01,36000009,BODY SCRUB RELAXING 1000ML.,BODY SCRUB RELAXING 1000ML.,BTL,7
1SP01,36000012,CLEANSING MILK T49/100G.,CLEANSING MILK T49/100G.,PCS,10
1SP01,36000014,MASK PERFECT WHITENING T49/100G.,MASK PERFECT WHITENING T49/100G.,PCS,11
1SP01,36000015,MASSAGE CREAM FACIAL MILK T49/100G.,MASSAGE CREAM FACIAL MILK T49/100G.,PCS,12
1SP01,36000016,MASSAGE OIL ORGANIC COCONUT BODY 1000ML.,MASSAGE OIL ORGANIC COCONUT BODY 1000ML.,BTL,19
1SP01,36000017,MASSAGE OIL REFRESHING BODY 1000ML.,MASSAGE OIL REFRESHING BODY 1000ML.,BTL,30
1SP01,36000018,MASSAGE OIL RELAXING BODY 1000ML.,MASSAGE OIL RELAXING BODY 1000ML.,BTL,34
1SP01,36000019,REVITAL CREAM PERFECTION T05/50G.,REVITAL CREAM PERFECTION T05/50G.,PCS,0
1SP01,36000020,SCRUB FACIAL MILK T49/100G.,SCRUB FACIAL MILK T49/100G.,PCS,6
1SP01,36000021,SUN MILK SPF50 T05/50G.,SUN MILK SPF50 T05/50G.,PCS,6
1SP01,36000022,TONER FIRMING MINERAL B36/100G.,TONER FIRMING MINERAL B36/100G.,PCS,12
1SP01,36000024,MASSAGE OIL SAKURA #01(KALASAI),MASSAGE OIL SAKURA #01(KALASAI),Kg,0
1SP01,36000032,BODY SCRUB ORGANIC SAKURA#01(KALASAI),BODY SCRUB ORGANIC SAKURA#01(KALASAI),Kg,3
1SP01,36000033,MASSAGE OIL RELAXING (KALASAI),MASSAGE OIL RELAXING (KALASAI),Kg,0
1SP01,36000034,MASSAGE OIL VIRGIN COCONUT(KALASAI),MASSAGE OIL VIRGIN COCONUT(KALASAI),Kg,0
1SP01,36000035,BODY SCRUB CREAMY COCONUT (KALASAI),BODY SCRUB CREAMY COCONUT (KALASAI),Kg,5
1SP01,41080009,งานปรับปรุงป้ายต่างๆ(ระบุขนาด),งานปรับปรุงป้ายต่างๆ(ระบุขนาด),JOB,0
1SP01,41100022,ลูกบิดทั่วไป SOLO C531 หัวกลม SS,ลูกบิดทั่วไป SOLO C531 หัวกลม SS,PCS,0
1SP01,45010004,TRANSPORTATION FEE(NONE-VAT),ค่าขนส่ง(ไม่มีภาษี),JOB,0
1SP01,45010005,TRANSPORTATION FEE(VAT),ค่าขนส่ง(มีภาษี),JOB,0
1SP01,45010007,ค่าติดตั้ง,ค่าติดตั้ง,SET,0
1SP01,45010010,LABOUR COST,ค่าแรง,JOB,0
1SP01,45010011,SERVICE & INSTALLED,ค่าแรงติดตั้ง,JOB,0
1SP01,45010015,ACCESSORIES,ACCESSORIES,JOB,0
1SP01,45010026,KEY LOCK  50MM.,กุญแจทองเหลือง 50มม.(คอยาว),PCS,0
