SKU#,Description,Local Description,Unit,Qty From,QtyTo, Quote Price ,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
15070004,CEREAL KOKO KRUNCH NESTLE 1.5KG.(180842),ซีเรียล-โกโก้ครั้นซ์เนสท์เล่ 1.5 กก.(180842),BAG,,, 389.99 ,,,,I,7,,
15070013,CORNFLAKES CEREAL NESTLE 1.5KG.(180864),ซีเรียล-คอร์นเฟลกส์เนสท์เล่ 1.5 กก.(180864),BAG,,, 302.61 ,,,,I,7,,
15000003,NESCAFE CASE 2G.(1*108/ถุง)/(899867),เนสกาแฟซอง 2ก.(1*108/ถุง)/(899867),BAG,,, 208.95 ,,,,I,7,,
15000006,COFFEE MATE SIZE 3G.(1*100)/(899868),คอฟฟี่เมต 3ก.1*100/ถุง,BAG,,, 93.25 ,,,,I,7,,
15070003,CEREAL HONEY STARS NESTLE 300G.(175854),ซีเรียล-ฮันนี่สตาร์เนสท์เล่ 300ก.(175854),BOX,,, 119.13 ,,,,I,7,,
15000034,SBUX-DARK ESPRESSO ROASTWB 1KG.(1*6)/CASE(12444854),สตาร์บัค-เมล็ดกาแฟคั่วเข้ม 1กก.(1*6)/ลัง(12444854),Case,,," 9,886.80 ",,,,I,7,,
15000040,สตาร์บัค-มิลาโน่ช็อกโกแลต 750ก.(1*12)/ลัง เนสท์เล่(12511898),สตาร์บัค-มิลาโน่ช็อกโกแลต 750ก.(1*12)/ลัง เนสท์เล่(12511898),Case,,," 5,778.00 ",,,,I,7,,
15000047,กาแฟคั่วบดสูตร เอเลอเกรีย 200ก.เนสท์เล่ 1*12/ลัง(08850125097605),กาแฟคั่วบดสูตร เอเลอเกรีย 200ก.เนสท์เล่ 1*12/ลัง(08850125097605),Case,,," 2,520.00 ",,,,I,7,,
15000048,ครีมเมอร์ 450ก.เนสท์เล่ 1*24/ลัง(08850124080769),ครีมเมอร์ 450ก.เนสท์เล่ 1*24/ลัง(08850124080769),Case,,," 3,225.60 ",,,,I,7,,
15000049,ช็อกโกแลต 1000/900ก.เนสท์เล่ 1*12/ลัง(28850125404049),ช็อกโกแลต 1000/900ก.เนสท์เล่ 1*12/ลัง(28850125404049),Case,,," 2,003.40 ",,,,I,7,,
15000050,ชาพร้อมชง รอยัล ไทย ที 600ก.เนสท์เล่ 1*18/ลัง(0885001068238),ชาพร้อมชง รอยัล ไทย ที 600ก.เนสท์เล่ 1*18/ลัง(0885001068238),Case,,," 2,343.60 ",,,,I,7,,
