SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'40010011,SAW BLADE 18  # ECLIPSE,ใบเลื่อยตัดเหล็ก 18 ฟัน # ECLIPSE,PCS,,,35,,,,A,7,,
'40010055,CEMENT GULE (WEBER TAI FIX)25 KG.,ปูนซีเมนต์กาวตราตุ๊กแกเวเบอร์ไทท์ฟิกซ์ 25 กก.,SACK,,,,,,,A,7,,
'40010064,"CUTTING STEEL(BLACK) 1MM.4"" MAKITA#B12201","ใบตัดเหล็กสีดำ 4"" (หนา 1 มม.) ยี่ห้อมากีต้า#B12201",PCS,,,28,,,,A,7,,
'40010068,DOOR STOP STANLESS 304 HAFELE (937.12.100),กันชนประตูสแตนเลส 304 ยี่ห้อเฮเฟเล่ รุ่น937.12.100,PCS,,,,,,,A,7,,
'40010103,"STANLESS DRILL 3/16"" # SMIE",ดอกสว่านสแตนเลส ขนาด 3/16 นิ้ว # SMIE,PCS,,,35,,,,A,7,,
'40010105,"เหล็กฉาก 2""x2""หนา 6 มม.","เหล็กฉาก 2""x2""หนา 6 มม.",PCS,,,990,,,,A,7,,
'40010112,TOILET SPRAY AMS.M/A-4900-ST(NON STOPVALVE),สายฉีดชำระ ยี่ห้อ AMS.รุ่น A-4900-ST,PCS,,,590,,,,A,7,,
'40010115,WELD WIRE STANDLESS 2.6 MM.,ลวดเชื่อมสแตนเลส 2.6 มม.,PCS,,,,,,,A,7,,
'40010146,จุกอุดสำหรับชุดสะดืออ่างแบบกดA952022-N,จุกอุดสำหรับชุดสะดืออ่างแบบกดA952022-N,PCS,,,,,,,A,7,,
'40010151,ชุดหัวฝักบัวสายอ่อน 1F ยี่ห้อAMS.M/F46103-CHADYHS,ชุดหัวฝักบัวสายอ่อน 1F ยี่ห้อAMS.M/F46103-CHADYHS,SET,,,,,,,A,7,,
'40010154,ดอกสว่านเจาะสแตนเลส 15/64,ดอกสว่านเจาะสแตนเลส 15/64,PCS,,,45,,,,A,7,,
'40010199,ตะแกรงกันกลิ่นเหลี่ยม 2 นิ้วสีสแตนเลส ยี่ห้อ DUSS รุ่น FD01,ตะแกรงกันกลิ่นเหลี่ยม 2 นิ้วสีสแตนเลส ยี่ห้อ DUSS รุ่น FD01,Pcs,,,,,,,A,7,,
'40010220,เหล็กกล่องซุบซิ้งค์ขนาด 1.1/4”x  1.1/4” ยาว 6 เมตร,เหล็กกล่องซุบซิ้งค์ขนาด 1.1/4”x  1.1/4” ยาว 6 เมตร,Pcs,,,,,,,A,7,,
'41010001,"2 WAY VALVE 3/4""JOHNSON/ON-OFF 220V-VA7010-8503","2 WAY VALVE 3/4""JOHNSON/ON-OFF 220V-VA7010-8503",SET,,,,,,,A,7,,
'41010015,AIR SOLUTION 404A 10.896 KG.,น้ำยาแอร์ 404A 10.896KG.,TANK,,,,,,,A,7,,
'41010016,AIR SOLUTION R-22 13.6 KG.,น้ำยาแอร์ R-22  13.6KG.,TANK,,,,,,,A,7,,
'41010017,AIR SOLUTION R-32,น้ำยาแอร์ R-32,TANK,,,,,,,A,7,,
'41010046,มอเตอร์แอร์คอยล์เย็น รุ่น T024-0446 (S2-1/20-2S 1/20HP) ยี่ห้อเทรน,มอเตอร์แอร์คอยล์เย็น รุ่น T024-0446 (S2-1/20-2S 1/20HP) ยี่ห้อเทรน,Pcs,,,,,,,A,7,,
'41020011,MORTOR COIL# ELCO VNT18-25/084 230/240V-50/60HZ 45,มอเตอร์พัดลมคอยล์ร้อนELCO 16/65 W 1300/1550RPM,SET,,,,,,,A,7,,
'41020041,คอมเพรสเซอร์ ยี่ห้อ กุลธร รุ่น AE2413ZK220V/R-404A,คอมเพรสเซอร์ ยี่ห้อ กุลธร รุ่น AE2413ZK220V/R-404A,Set,,,,,,,A,7,,
'41040048,PLUG SOCKET CLIPSAL # 3426 UESTM,ปลั๊กเดี่ยว 3 สาย CLIPSAL # 3426 UESTM,PCS,,,,,,,A,7,,
'41040084,สวิทซ์โยก ON-OFF 2 ขา MTS-1/6A 125VAC/2A 250VAC,สวิทซ์โยก ON-OFF 2 ขา MTS-1/6A 125VAC/2A 250VAC,PCS,,,,,,,A,7,,
'41040091,ELECTRIC LINE VFF 2 X 1.5,สายไฟอ่อน VFF 2 X 1.5,Roll,,,,,,,A,7,,
'41040092,PLUG 3 WAY#CLIPSAL 16A 350V(IEC60884-1:3426UEST2M),ปลั๊ก3 ทาง#CLIPSAL 16A 350V(IEC60884-1:3426UEST2M),Pcs,,,145,,,,A,7,,
'41040100,ชุดเต้ารับคู่มีกราวน์มีม่านนิรภัย(สีขาว)+USB 3.1A/5V 2ช่อง รุ่น CP55U-W ยี่ห้อนาโน,ชุดเต้ารับคู่มีกราวน์มีม่านนิรภัย(สีขาว)+USB 3.1A/5V 2ช่อง รุ่น CP55U-W ยี่ห้อนาโน,Set,,,,,,,A,7,,
'41050014,"PIPE PVC SIZE 2""","ท่อ-พีวีซี  2""",PCS,,,184,,,,A,7,,
'41050016,"ADAPTER 1"" PVC 13.5 mm.",ข้อต่อตรง-พีวีซี(13.5มม.) 1 นิ้ว,PCS,,,6.25,,,,A,7,,
'41050029,"ELBOW 90' PVC 1"" 13.5 mm.",ข้องอ  90 องศา-พีวีซี(13.5มม.) 1 นิ้ว,PCS,,,28.25,,,,A,7,,
'41050067,กาวทาท่อพีวีซี 500ก.,กาวทาท่อพีวีซี 500ก.,CAN,,,340,,,,A,7,,
'41050085,ลูกลอยก้านทองเหลือง ยี่ห้อ SANWA 1/2 นิ้ว,ลูกลอยก้านทองเหลือง ยี่ห้อ SANWA 1/2 นิ้ว,PCS,,,230,,,,A,7,,
'41050087,ลูกลอยทองเหลือง ยี่ห้อ SANWA 1 นิ้ว,ลูกลอยทองเหลือง ยี่ห้อ SANWA 1 นิ้ว,PCS,,,570,,,,A,7,,
'41050097,"EIBOW PVC 90 SIZE 2""","ข้องอ PVC-หนา 90 ขนาด 2""",Pcs,,,28.25,,,,A,7,,
'41050101,"COMPRESSION FITTING HDPE PIPE PE 1 1/2""50MM",ข้อต่อตรงแบบสวมอัด(พีอี) 1 1/2 นิ้ว 50 มม.,Pcs,,,160,,,,A,7,,
'41080047,กรวยจราจรมีแถบสะท้อนแสงพีวีซี(สีส้ม) ความสูง 70 ซม.ยี่ห้อ RIGHT,กรวยจราจรมีแถบสะท้อนแสงพีวีซี(สีส้ม) ความสูง 70 ซม.ยี่ห้อ RIGHT,Pcs,,,,,,,A,7,,
'41090002,THINNER TANK SIK0 10.47 LTR.,ทินเนอร์ ตราSIK0 ถัง 10.47 ลิตร,TANK,,,695,,,,A,7,,
'41090005,"BRUSH 2""  FOR  PAINT","แปรงทาสี 2"" ยี่ห้ออินดี้",PCS,,,44,,,,A,7,,
'41090044,WALL PUTTY # BOSNY  5 KG.,เคมีโป้วผนัง ยี่ห้อ BOSNY  5 กก.,GAL,,,225,,,,A,7,,
'41090067,TOA SUPERSHIELD TIMBERSHIELD#T013/3.785L.,สีน้ำอะคลิลิคซุปเปอร์ชิลด์ทิมเบอร์ชิลด์(เนียน)ทาไม้#T013/3.785 ลิตร ยี่ห้อทีโอเอ,Gal,,,,,,,A,7,,
'41130001,สายโทรศัพท์ 1.8 M,สายโทรศัพท์ยาว 1.8M,PCS,,,,,,,A,7,,
'43030011,PAR38 LED 15W -E27 วอร์มไวท์ นูไล,หลอด PAR38 LED 15W/WW-E27,PCS,,,270,,,,A,7,,
'43030012,หลอด LED 9W(Warm)70WE27#PHILIPS,หลอด LED 9W(Warm)70WE27#PHILIPS,PCS,,,,,,,A,7,,
'43030027,LED BULB E27 11W/WW,LED BULB E27 11W/WW,PCS,,,,,,,A,7,,
'43030032,LED PAR38 13-15W DIMMABLE,หลอดแอลอีดี PAR38 13-15W(หรี่แสงได้),PCS,,,92,,,,A,7,,
'43030040,PHILIPS ESSENTIAL LED E27A60 BULB5W(WARMWHITE),หลอดไฟ PHILIPS ESSENTIAL LED E27A605W(วอร์มไวท์),PCS,,,,,,,A,7,,
'43030054,หลอดไฟ T8 LED TUB18W6500K DAYLIGHT(ต่อ2ข้าง),หลอดไฟ T8 LED TUB18W6500K DAYLIGHT(ต่อ2ข้าง),PCS,,,120,,,,A,7,,
'45010064,"ฝาครอบท่อเดน แบบกลม ขนาด 1 1/2""","ฝาครอบท่อเดนแบบกลม ขนาด 1 1/2""",PCS,,,,,,,A,7,,
'40010058,ซิลิโคนใสกันเชื้อรา ยี่ห้อดาวคอนนิ่ง 300 มล.,ซิลิโคนใสกันเชื้อรา ยี่ห้อดาวคอนนิ่ง 300 มล.,PCS,,,128,,,,N,0,,
