รหัสสินค้า,รายละเอียด (อังกฤษ),รายละเอียด,หน่วย,จากจำนวน,เป็นจำนวน,ราคาเสนอ,แถม,ส่วนลด %,ส่วนลด,ประเภทภาษี,อัตราภาษี,รหัสสินค้าผู้ขาย,หมายเหตุ,หมายเหตุ
'15010029,GREEN MOONG DAL ALPINE 500 G. (106344),ถั่วเขียวอัลไพน์ 500ก.(106344),BAG,,,45,,,,N,0,,,
'15010049,RAJMAH RED 500 G. (106384),ถั่วแดง 500ก.(106384),BAG,,,50,,,,N,0,,,
'15010035,RICE FLATENED POHA MOTA  RAJDHANI 500 G. (145815),ข้าวเม่าอินเดียราชดรานี 500ก.(145815),BAG,,,55,,,,N,0,,,
'15130033,AMCHUR POWDER MDH 100G.,AMCHUR POWDER MDH 100G.,BOX,,,60,,,,N,0,,,
'15130045,GINGER POWDER 100 G.,GINGER POWDER 100G.,BOX,,,60,,,,N,0,,,
'15080018,BUSH COLOR ORANGE RED # IH7802 (852350),ผงสีผสมอาหารสีส้มแดงบุช 100ก.(852350),PCS,,,70,,,,N,0,,,
'15120047,ROSE WATER / BOTTLE,ROSE WATER /BOTTLE,BTL,,,70,,,,N,0,,,
'15010067,SEEDS CUMIN  250 G. (175488),เมล็ดยี่หร่า 250 กรัม.(175488),BAG,,,80,,,,N,0,,,
'15010167,VADA MIX MTR 500 G.,VADA MIX MTR 500 G.,BAG,,,80,,,,N,0,,,
'15130066,TURMERIC POWDER SAHIBA 500 G. (102550),ผงขมิ้น-SAHIBA 500G. (102550),BAG,,,125,,,,N,0,,,
'15010148,PENUTS RAW,PENUTS RAW,KG,,,140,,,,N,0,,,
'15000005,TEA INDIAN TATA 500G.,ชาอินเดียยี่ห้อทาทา 500ก./ถุง,BAG,,,170,,,,N,0,,,
'15130021,RED CHILLI POWDER EVEREST 500 G. (102556),พริกป่นแดงอินเดีย ยี่ห้อเอเวอร์เรสต์ 500ก.(102556),BAG,,,185,,,,N,0,,,
'15130044,GARAM MASALA 500 G.,เครื่องเทศรวม 500 ก.,BAG,,,190,,,,N,0,,,
'12010135,INDIAN ONION 10 KG.,หอมแดงอินเดีย 10 กก./กส.,SACK,,,280,,,,N,0,,,
'15010002,AMUL GHEE 1 L. (852349),เนยใสอมูลกี 1 ลิตร (852349),BTL,,,420,,,,N,0,,,
'15130048,GREEN ELICHI CARDAMON (165862),GREEN ELICHI CARDAMON (165862),KG,,,1600,,,,N,0,,,
