SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'30000001,คลิปหนีบดำ 2 นิ้ว NO.108 HORSE (1*12)/กล่อง,คลิปหนีบดำ 2 นิ้ว NO.108 HORSE (1*12)/กล่อง,BOX,,,62.32,,,,I,7,,
'30000002,คลิปหนีบดำ 1 นิ้ว NO.111 HORSE (1*12)/กล่อง,คลิปหนีบดำ 1 นิ้ว NO.111 HORSE (1*12)/กล่อง,BOX,,,18.24,,,,I,7,,
'30000004,"กระดาษเครื่องคิดเลข 2.1/4""(1*10)/แพ็ค","กระดาษเครื่องคิดเลข 2.1/4""(1*10)/แพ็ค",PACK,,,106.4,,,,I,7,,
'30000005,กระดาษการ์ดสีแดง A4120G.(1*50),กระดาษการ์ดสีแดง A4120G.(1*50),PACK,,,65.36,,,,I,7,,
'30000006,ปากกาเคมี 2 หัว สีดำ ตราม้า,ปากกาเคมี 2 หัว สีดำ ตราม้า,PCS,,,12.16,,,,I,7,,
'30000007,ปากกาเคมี 2 หัว สีน้ำเงิน ตราม้า,ปากกาเคมี 2 หัว สีน้ำเงิน ตราม้า,PCS,,,12.16,,,,I,7,,
'30000008,ปากกาเคมี 2 หัว สีแดง ตราม้า,ปากกาเคมี 2 หัว สีแดง ตราม้า,PCS,,,12.16,,,,I,7,,
'30000009,คัตเตอร์ใหญ่ด้ามพลาสติกขนาด 18 มม.,คัตเตอร์ใหญ่ด้ามพลาสติกขนาด 18 มม.,PCS,,,41.6,,,,I,7,,
'30000010,ใบมีดคัตเตอร์ใหญ่ 18 มม.30 องศา (1*6)/แพ็ค,ใบมีดคัตเตอร์ใหญ่ 18 มม.30 องศา (1*6)/แพ็ค,PACK,,,41.6,,,,I,7,,
'30000011,ใบมีดคัตเตอร์เล็ก 9 มม. 30 องศา (1*10)/แพ็ค,ใบมีดคัตเตอร์เล็ก 9 มม. 30 องศา (1*10)/แพ็ค,PACK,,,34.2,,,,I,7,,
'30000012,คัตเตอร์เล็ก Silver ขนาด 9 มม.ตราม้า,คัตเตอร์เล็ก Silver ขนาด 9 มม.ตราม้า,PCS,,,29.64,,,,I,7,,
