SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'32000015,RUBBER GLOVE WHITE POWDERD SIZE M(100P/BOX),ถุงมือยางอนามัยสีขาวแบบมีแป้งไซด์M (100ชิ้น/กล่อง),BOX,,,,,,,A,7,,
'32000115,หมวกคลุมผมแบบพับตัวหนอน 100/แพ็ค,หมวกคลุมผมแบบพับตัวหนอน 100/แพ็ค,PACK,,,,,,,A,7,,
'31000046,Alcohol 70%   3800 CC,แอลกอฮอล์ 70%  3800 CC,GAL,,,,,,,A,7,,
'32000052,GEL ALCOHOL HAND WASHING(Al.71%) 4.2KG. ,แอลกอฮอล์เจลล้างมือ(71%) 4.2 กก.,GAL,,,,,,,A,7,,
'32000053,GEL ALCOHOL HAND WASHING 5KG.,แอลกอฮอล์เจลล้างมือขนาด 5 กก.,GAL,,,,,,,A,7,,
'32000054,ALCOHOL SIRIBANCHA 450ML.( 8851124104592 ),แอลกอออล์ ศิริบัญชา 450มล.,GAL,,,,,,,A,7,,
'34040009,PARACETAMAL SMALL (1*100)/8852978001150,ยาพาราแซนตามอล(1*100เม็ด)/8852978001150,BTL,,,,,,,A,7,,
'34040010,"FIRST AID TAPE 0.5"" ( 8850304002604 )",เทปใสแต่งแผล  1/2 นิ้ว,PCS,,,,,,,A,7,,
'34040011,TENSOPLAST (1*100)/(8850672210014),พลาสเตอร์ยา(1*100)/(8850672210014),BOX,,,,,,,A,7,,
'34040012,PONSTAN PFIZER 500MG.(1*10TAB)/8850339110527,ยาแก้ปวดประจำเดือน(1*10TAB)/8850339110527,PACK,,,,,,,A,7,,
'34040015,เกลือแร่บำรุงร่างกาย(แก้ท้องร่วง)ยี่ห้อออรีด้า(1*100)/กล่อง,เกลือแร่บำรุงร่างกาย(แก้ท้องร่วง)ยี่ห้อออรีด้า(1*100)/กล่อง,BOX,,,,,,,A,7,,
'34040016,ชุดทำแผลปลอดเชื้อ ยี่ห้อลองเมท(8859095901257),ชุดทำแผลปลอดเชื้อ ยี่ห้อลองเมท(8859095901257),SET,,,,,,,A,7,,
'34040017,น้ำยาล้างตายี่ห้อออฟซ่าร์ 450ก.(8853965002983),น้ำยาล้างตายี่ห้อออฟซ่าร์ 450ก.(8853965002983),BTL,,,,,,,A,7,,
'34040018,หน้ากากอนามัย 3 ชั้น( 1*50)/8859095901363,หน้ากากอนามัย 3 ชั้น( 1*50)/8859095901363,BOX,,,,,,,A,7,,
'34040020,NORMAL SALINE (ANB) 200ML.(8854060609046),น้ำเกลือหัวแหลม 200 มล.(8854060609046),BTL,,,,,,,A,7,,
'34040021,SALINE SOLUTION 100ML.(8854060615016),น้ำเกลือล้างแผล 100 มล.(8854060615016),BTL,,,,,,,A,7,,
'34040022,AMMONIA 30CC.(8850075012901),แอมโมเนีย 30 มล.,BTL,,,,,,,A,7,,
'34040023,AMMONIA 450CC.(8850075013007),แอมโมเนีย 450 มล.,BTL,,,,,,,A,7,,
'34040024,BEPANTHEN FIRST AID 30G.,ครีมฆ่าเชื้อและสมานผิวขนาด 30 กรัม,PCS,,,,,,,A,7,,
'34040025,BETADIN 30 ML.(8850336100149),เบตาดีน 30 มล.(8850336100149),BTL,,,,,,,A,7,,
'34040026,CALAMINE 60ML.(8857122426926),ยาคาลาไมน์ 60 มล.(8857122426926),BTL,,,,,,,A,7,,
'34040027,ผ้าปิดจมูกกันฝุ่น(1x 12)/(8856959000156),ผ้าปิดจมูกกันฝุ่น(1x 12)/(8856959000156),BOX,,,,,,,A,7,,
'34040028,"CONFORM THAI GAUZE 2*2""(9122905360032)","ผ้าพันแผล 2*2""( 9122905360032)",BOX,,,,,,,A,7,,
'34040029,COTTON FABRIC 40G.(1*100)/850185002571,สำลีก้อน ตรารถพยาบาล 40ก.(1*100)/850185002571,PACK,,,,,,,A,7,,
'34040030,COUNTERPARIN 30G.(8995201800257 ),เคาเตอร์เพน  30G.(8995201800257 ),PCS,,,,,,,A,7,,
'34040057,สำลีก้อนรถพยาบาล 100 กรัม,สำลีก้อนรถพยาบาล 100 กรัม,PCS,,,,,,,A,7,,
'34040058,สำลีก้าน ตรารถพยาบาล 100 ก้าน(8850185000188),สำลีก้าน ตรารถพยาบาล 100 ก้าน(8850185000188),PCS,,,,,,,A,7,,
'34040060,สำลีม้วน 200ก. ยี่ห้อรถพยาบาล ,สำลีม้วน 200ก. ยี่ห้อรถพยาบาล ,BAG,,,,,,,A,7,,
