SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'31000005,"LAUNDRY BAG PLASTIC 18*25"" (55-60ใบ)/KG.","ถุงซักรีด 18*25"" (55-60ใบ)/กก.",KG,,,120,,,,A,7,,
'31000008,"PAPER NAPKIN WHITE-NOLOGO 13""*13""1P (1*500S*8)","กระดาษเช็ดปากสีขาวไม่มีโลโก้ 13*13"" 1P(1*500S*8)",CASE,,,1100,,,,A,7,,
'31000014,TISSUE INTERFOLD HAND L-FOLD 1P(1*300S*24),กระดาษเช็ดมือหนา 1 ชั้น(1*300ผ*24),CASE,,,950,,,,A,7,,
'31000022,TISSUE PAPER ROLL 2P 17M.1*144(ROOM),ทิชชูม้วนเล็ก 2 ชั้นยาว 17ม.( 1*144 /ลัง)-ห้องพัก,CASE,,,570,,,,A,7,,
'31000095,"PAPER NAPKIN NO LOGO WHITE 2P-16""*16""(1*250*8P)","กระดาษเนปกิ้น(ไม่มีโลโก้) 2 ชั้น 16*16""(1*250*8)",CASE,,,,,,,A,7,,
'31000096,"PAPER NAPKIN NOLOGO  9*9""1P(1*500S*16)","กระดาษทิชชู่เช็ดปาก1ชั้น 9*9""(1*500*16)",CASE,,,,,,,A,7,,
'31000117,TISSUE PAPER HAND TOWEL 300 PCS (1*24 PCS),กระดาษทิชชู่เช็ดมือ (1*300*24),CASE,,,,,,,A,7,,
'31000118,TISSUES FACIAL SCOTT(CUBIC) 2P(1*60S*48),กระดาษทิชชู่ยี่ห้อสก๊อตเช็ดหน้าหนา 2 ชั้น(1*60*48),CASE,,,,,,,A,7,,
'32000007,"GARBAGE BAG BLACK 30*40""(1*30KG)/SACK","ถุงขยะสีดำขนาด 30*40""(1*30กก)/กส",KG,,,35,,,,A,7,,
'32000008,"GARBAGE BAG BLACK 36 x 45""(1*30KG)/SACK","ถุงขยะสีดำขนาด 36x 45""(1*30กก)/กส",KG,,,35,,,,A,7,,
'32000038,"GARBAGE BAG(BLACK) 22*30""",ถุงขยะสีดำขนาด 22*30 นิ้ว,KG,,,35,,,,A,7,,
'32000072,"GARBAGE BAG BLACK 18*20""(1*30KG)/SACK","ถุงขยะสีดำขนาด 18*20""(1*30กก)/กส",KG,,,35,,,,A,7,,
'32000073,"GARBAGE BAG BLACK 24*28""","ถุงขยะสีดำขนาด 24*28""",KG,,,35,,,,A,7,,
32000025,,,CASE,,,385,,,,A,7,,
31000116,,,CASE,,,900,,,,A,7,,
31000009,,,KG,,,150,,,,A,7,,
32000026,,,CASE,,,720,,,,A,7,,
32000037,,,CASE,,,720,,,,A,7,,
