SKU#,Description,Local Description,Unit,Qty From,QtyTo, Quote Price ,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'15010004,BALSAMIC VINEGAR 5L.(12501),BALSAMIC VINEGAR 5L.(12501),GAL,,,635,,,,A,7,,
'15010095,BROWN LENTILS 1KG.,BROWN LENTILS 1KG.,BAG,,,150,,,,A,7,,
'15010011,CAPERS IN VINEGAR 1KG.(7EU004),CAPERS IN VINEGAR 1KG.(7EU004),BTL,,,365,,,,A,7,,
'14020004,CHEES CHEDDAR ORANGE (84 SLICES),CHEES CHEDDAR ORANGE (84 SLICES),PACK,,,335,,,,A,7,,
'14020011,CHEESE ASUTRALIAN MOZZARELLA 2.5KG(44655),CHEESE ASUTRALIAN MOZZARELLA 2.5KG(44655),KG,,,305,,,,A,7,,
'14020026,CHEESE CHEDDAR ORANGE 3KG.(37123),CHEESE CHEDDAR ORANGE 3KG.(37123),KG,,,445,,,,A,7,,
'14020014,CHEESE COMTE RIVOIRE 12M 1KG.(59017),CHEESE COMTE RIVOIRE 12M 1KG.(59017),KG,,,"1,095.00",,,,A,7,,
'14020022,CHEESE GOUDA WHEEL 4-5 KG.(9040801),CHEESE GOUDA WHEEL 4-5 KG.(9040801),KG,,,395,,,,A,7,,
'14020002,CHESS GOUDA BLOCK 3KG.(6UH004),CHESS GOUDA BLOCK 3KG.(6UH004),KG,,,325,,,,A,7,,
'15130039,CORRIANDER POWDER 500G./PACK,CORRIANDER POWDER 500G./PACK,PACK,,,120,,,,N,0,,
'15080039,DARK CHOCOLATE 70% KG.,DARK CHOCOLATE 70%  1KG.,BAG,,,325,,,,A,7,,
'15080005,DUCK LIVER TERRINE (6WA29),DUCK LIVER TERRINE (6WA29),KG,,,"3,990.00",,,,A,7,,
'14020021,EMMENTAL VALMARTIM 3KG.(44ENT),EMMENTAL VALMARTIM 3KG.(44ENT),KG,,,625,,,,A,7,,
'15110006,EXTRA VIRGIN OLIVE OIL FROM SPAIN 5L.(6VR002),EXTRA VIRGIN OLIVE OIL FROM SPAIN 5L.(6VR002),GAL,,,"1,795.00",,,,A,7,,
'15010026,GHERKINS IN VINEGAR FRENCH STYLE 4 KG.(44VE33),GHERKINS IN VINEGAR FRENCH STYLE 4 KG.(44VE33),CAN,,,695,,,,A,7,,
'15080053,LADY FINGER  400G.,LADY FINGER  400G.,BAG,,,145,,,,A,7,,
'14020024,CHEESE MOZZARELLA FOR PIZZA HAPPY VALLEY 2.5KG.(44655),MOZZARELLA FOR PIZZA HAPPY VALLEY 2.5KG.(44655),KG,,,305,,,,A,7,,
'14010014,MUSTARD DIJON 1KG.(PC001),MUSTARD DIJON 1KG.(PC001),KG,,,235,,,,A,7,,
'14030010,NORMANDY ALL PURPOSE CREAM 35% 1L.(32005),NORMANDY ALL PURPOSE CREAM 35% 1L.(32005),BOX,,,260,,,,A,7,,
'15010152,PITTED GREEN OLIVES 3.15 KG.,PITTED GREEN OLIVES 3.15 KG.,CAN,,,395,,,,A,7,,
