SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'15000018,TEA ENGLISH BREAKFAST TEA TWININGS 2G.(1x25/BOX.),TEA ENGLISH BREAKFAST TEA TWININGS 2G.(1x25/BOX),BOX,,,303.22,,,,A,7,,
'15010008,BREAD CRUMBS LOBO 350G.(1x3)/(163223),เกล็ดขนมปังป่นปรุงรสโลโบ 350ก.(1x3)/(163223),BAG,,,34.16,,,,A,7,,
'15010018,CHERRIES STEM MARASCHINO OLIVIA 737G.(823133),เชอร์รี่ก้านมาราสชิโนโอลิเวีย 737ก.(823133),BTL,,,580,,,,A,7,,
'15030001,PASTA-PENNE RIGATE AGNESI NO.19 500G.(142246),พาสต้า-เพนเน่ริกาเต้แอคเนซี่ NO.19 500ก.(142246),BAG,,,67,,,,A,7,,
'15030002,PASTA-SPAGHETTI AGNESI NO.02 500G.(142242),พาสต้า-เส้นสปาเก็ตตี้ #2 แอคเนซี่ 500ก.(142242),BAG,,,63,,,,A,7,,
'15030003,PASTA-CHIFFERI RIGATI AGNESI 500G.(756093),พาสต้า-ซิฟฟารีรีกาติแอคเนซี 500ก.(756093),BAG,,,67,,,,A,7,,
'15070001,MUESLI-BERRY GRANOLA FAMILIA 500G.,ซีเรียล-มูสลี่เบอร์รี่กลาโนล่าแฟมิเลีย 500ก.,BAG,,,210.5,,,,A,7,,
'15070002,CEREAL FROOT LOOPS KELLOGGS 150/160G.(197668),ซีเรียล-ฟรุ๊ตลูปส์เคลล็อกส์ 150/160ก.(197668),BOX,,,75.43,,,,A,7,,
'15070007,CEREAL KELLOGG'S ALL BRAN 315G.,ซีเรียล-ออลบรานเคลล็อกส์  315ก.,BOX,,,134.25,,,,A,7,,
'15070008,CEREAL KELLOGG'S CORN FLAKES 1.2G.(860771),ซีเรียล-คอร์นเฟลกส์เคลล็อกส์ 1.2ก.(860771),BAG,,,222.4,,,,A,7,,
'15070014,CEREAL KELLOGG 'S FROOT LOOPS 285G.,ซีเรียล-ฟรุตลูปส์เคลล็อกส์  285ก.,BOX,,,115.66,,,,A,7,,
'15070015,CEREAL KOKO POP KELLOGGS SIZE 350/400G.(197654),ซีเรียล-โกโก้ป๊อปเคลล็อกซ์ 350/400ก.(197654),BOX,,,115.66,,,,A,7,,
'15070016,CEREAL MUESLI CHOC X BITS FAMILIA 600G.,ซีเรียล-ช็อกเอ็กซ์บิตส์แฟมิเลีย 600 ก.,BOX,,,230.5,,,,A,7,,
'15070017,CEREAL MUESLI CHOCO BITS FAMILIA 375G.,ซีเรียล-สวิสช็อกโกบิตส์แฟมิเลีย 375ก.,BOX,,,197,,,,A,7,,
'15070019,CEREAL ORIGINAL NO SUGAR FAMILIA 500G.,ซีเรียล-มูสลีชนิดจืดแฟมิเลีย 500ก.,BAG,,,210.5,,,,A,7,,
'15070020,CEREAL RICE KRISPIES KELLOGG'S 130G.,ซีเรียล-ไรซ์คริสปีส์เคลล็อกส์ 130ก.,BOX,,,51.41,,,,A,7,,
'15080038,SNACK-CRACKER ORIGINAL HAITAI 172 G. (228079),ขนมขบเคี้ยว-แคร็กเกอร์รสดั้งเดิมไฮไท 172ก.(228079),PACK,,,54.81,,,,A,7,,
