SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'FD120177,APPLE GREEN,แอปเปิ้ลเขียว(6 ลูก/กก.),PCS,,,,,,,N,0,,
'FD120178,APPLE RED,แอปเปิ้ลแดง(6 ลูก/กก.),PCS,,,,,,,N,0,,
'FD120180,BANANA EGGS,กล้วยไข่,BUNCH,,,,,,,N,0,,
'FD120183,BANANA SWEET,กล้วยน้ำว้า,BUNCH,,,,,,,N,0,,
'FD120190,BLUEBERRY FRESH 125G.(103133),บลูเบอรี่สด 125ก.(103133),PACK,,,,,,,N,0,,
'FD120201,CHINESE ORANGE,ส้มจีน,KG,,,,,,,N,0,,
'FD120204,COCONUT MILK FRESH,น้ำกะทิสด,KG,,,,,,,N,0,,
'FD120209,DRAGON FRUIT,แก้วมังกรขาว,KG,,,,,,,N,0,,
'FD120217,GRAPE RED IMPORT 1KG.(112406),องุ่นแดงนอก 1 กก.(112406),KG,,,,,,,N,0,,
'FD120218,GRAPES GREEN (320775),องุ่นเขียว(320775),KG,,,,,,,N,0,,
'FD120219,GRATED COCONUT,มะพร้าวขูดขาว,KG,,,,,,,N,0,,
'FD120221,GUAVA FRUIT-แป้นทอง,ฝรั่งแป้นทอง,KG,,,,,,,N,0,,
'FD120222,GUAVA FRUIT-กิมจู,ฝรั่งกิมจู,KG,,,,,,,N,0,,
'FD120224,JACK FRUIT PEELED WITH SEED,ขนุนแกะ(มีเม็ด),KG,,,,,,,N,0,,
'FD120225,JINTARA WATERMELON,แตงโมจินตรา,KG,,,,,,,N,0,,
'FD120229,KIWI FRUIT (1x6)(192259),กีวี (1x6)(192259),PCS,,,,,,,N,0,,
'FD120232,LEMON FRUIT,มะนาวแป้น(ผิวสวยๆ),PCS,,,,,,,N,0,,
'FD120233,LEMON FRUIT BIG ( NO SEED ),มะนาวใหญ่ไร้เม็ด,KG,55,,,,,,N,0,,
'FD120241,MANGO,มะม่วงดิบ,KG,,,,,,,N,0,,
'FD120242,MANGO NAM DOK MAI YELLOE 1KG.(1x3)/(828271),มะม่วงน้ำดอกไม้สุกกล่อง 1 กก.(1x3)/(828271),KG,,,,,,,N,0,,
'FD120243,MANGO YELLOW (2-3 ลูก/กก.) (189501),มะม่วงน้ำดอกไม้สุก(2-3 ลูก/กก.)/(189501),KG,,,,,,,N,0,,
'FD120256,ORANGE SUNQUID KG,ส้มซันควิด,KG,,,,,,,N,0,,
'FD120258,PANDANUS LEAVES,เตยหอม,KG,,,,,,,N,0,,
'FD120259,PAPAYA HONLAND,มะละกอฮอลแลนด์,KG,,,,,,,N,0,,
'FD120260,PAPAYA RAW,มะละกอดิบ,KG,20,,,,,,N,0,,
'FD120261,PINEAPPLE LARGE,สับปะรดใหญ่,PCS,,,,,,,N,0,,
'FD120262,PINEAPPLE SRIRACHA (120101),สับปะรดศรีราชา/ปัตตาเวีย (120101),KG,,,,,,,N,0,,
'FD120272,ROSE APPLE RED (828275),ชมพู่แดง (828275),KG,,,,,,,N,0,,
'FD120289,YOUNG COCONUT(CUT) - GREEN,มะพร้าวอ่อนปอกเปลือกปาดเขียว(ปาดหัว/ท้าย),PCS,,,,,,,N,0,,
'FD120291,แตงโมกินรี,แตงโมกินรี,KG,,,,,,,N,0,,
'FD120296,องุ่นแดงไร้เมล็ด AUS 1 กก.,องุ่นแดงไร้เมล็ด AUS 1 กก.,KG,,,,,,,N,0,,
'FD120297,MANGO YELLOW,มะม่วงโชคอนันต์สุก,KG,,,,,,,N,0,,
'FD120298,SA LEE FRUIT,สาลี่ทอง,KG,,,,,,,N,0,,
'FD120300,YOUNG COCONUT(CUT) - WHITE,มะพร้าวอ่อนปาดขาว,PCS,,,,,,,N,0,,
'FD120303,CANTALOUP ORANGE,แคนตาลูปส้ม,KG,,,,,,,N,0,,
'FD120307,CHOKUN ORANGE,ส้มโชกุน(ใหญ่ 5 ลูก/เล็ก 9 ลูกสำหรับผลไม้ไหว้ศาล),KG,,,,,,,N,0,,
'FD120320,BANANA LARGE,กล้วยหอม,BUNCH,,,,,,,N,0,,
'FD120329,แห้วปอกเปลือก,แห้วปอกเปลือก,KG,,,,,,,N,0,,
'FD120330,LEMON YELLOW BIG,มะนาวเหลือง,KG,68,,,,,,N,0,,
'FD120333,AVOCADO(EACH),อโวคาโด(ลูก),PCS,65,,,,,,N,0,,
'FD120338,BANANA FINGER,กล้วยเล็บมือนาง,BUNCH,,,,,,,N,0,,
'FD120341,BLUEBERRIES JUMBO 125G. (861270),บลูเบอร์รี่จัมโบ้ 125ก.(861270),PACK,,,,,,,N,0,,
'FD120344,CANTALOUP MELON GREEN (160623),แคนตาลูปเมลอนเขียว(160623),KG,,,,,,,N,0,,
'FD120348,COCONUT CREAM FOR STICKY RICE,หัวกะทิ-สำหรับมูนข้าวเหนียว,KG,,,,,,,N,0,,
