SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'10020019,CHICKEN BLOOD(ก้อน),เลือดไก่(ก้อน),KG,,,50,,,,N,0,,
'16010011,WONTON SHEET 100 PCS,แผ่นเกี้ยว 100 แผ่น,KG,,,30,,,,N,0,,
'10050041,LOUK CHIN PLA,ลูกชิ้นปลากลม,PACK,,,48,,,,N,0,,
'10020002,CHICKEN BLOOD,เลือดไก่,KG,,,50,,,,N,0,,
'10020001,CHICKEN  CUTED,ไก่สับชิ้น(แกง),KG,,,65,,,,N,0,,
'10020011,CHICKEN TOP ROUND WITH SKIN SLICE (2KG.),สะโพกไก่ติดหนังสไลด์(2กก.),KG,,,67,,,,N,0,,
'10020020,CHICKEN BREAST WITH SKIN SLICE,อกไก่ติดหนังสไลด์,KG,,,67,,,,N,0,,
'10020008,CHICKEN MEAT GROUND,ไก่บด,KG,,,68,,,,N,0,,
'10020022,CHICKEN CUTED,ไก่สับชิ้น(ทอด),KG,,,69,,,,N,0,,
'10020023,CHICKEN WHOLE,ไก่ตัว,KG,,,70,,,,N,0,,
'10050003,BALLS FISH SHEET 500G.,ลูกชิ้นปลาแผ่น 500 กรัม,PACK,,,70,,,,N,0,,
'10020016,CHICKEN BREAST WITH SKIN 2KG.,อกไก่ติดหนัง 2 กก.,KG,,,72,,,,N,0,,
'10020005,CHICKEN DRUM STICKS 2KG.,น่องไก่ล้วน 2 กก.,KG,,,74,,,,N,0,,
'10020017,CHICKEN DRUM STICK WITH SIDE,น่องไก่ติดสะโพก,KG,,,75,,,,N,0,,
'10050006,CHICKEN MEAT BALL,ลูกชิ้นไก่,KG,,,75,,,,N,0,,
'14060008,QUAIL EGG PEEL(1x50),ไข่นกกระทาปอกเปลือก(1x50),PACK,,,75,,,,N,0,,
'10020004,CHICKEN BREAST PACK 2KG.,อกไก่ลอกหนัง 2 กก.,KG,,,82,,,,N,0,,
'10010007,PORK MEAT GROUND B,หมูบดเกรด B ปนมัน 20%,KG,,,85,,,,N,0,,
'10020006,CHICKEN FILLET,สันในไก่,KG,,,85,,,,N,0,,
'10020010,CHICKEN TOP ROUND  WITH SKIN 2 KG.,สะโพกไก่ติดหนังเลาะกระดูก 2 กก.,KG,,,85,,,,N,0,,
'10020018,CHICKEN WINGS UP (Halan) 2KG.(893188),ปีกไก่บนฮาลาล 2 กก.(893188),KG,,,85,,,,N,0,,
'10050013,KAI YO SIZE 1KG.,ไก่ยอแท่ง 1 กก.,KG,,,85,,,,N,0,,
'10050030,CHICKEN 'S TENDON BALLS,ลูกชิ้นเอ็นไก่,KG,,,85,,,,N,0,,
'10050031,CHICKEN SAUSAGE,ไส้กรอกไก่รมควัน(หนังกรอบ) 1000ก.,KG,,,89,,,,N,0,,
'14060009,ไข่แดงเค็ม(1x10ฟอง),ไข่แดงเค็ม(1x10 ฟอง),PACK,,,89,,,,N,0,,
'16010001,BUN WITH CHICKEN(1*20PCS),ซาลาเปาไส้ไก่ (1*20ชิ้น),PACK,,,89,,,,N,0,,
