SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'22080003,ABSOLUTE VODKA 70 CL. (176697),ABSOLUTE VODKA 70 CL. (176697),BTL,,,695,,,,A,7,,
'22020016,AMARETTO 75 CL,AMARETTO 75 CL,BTL,,,695,,,,A,7,,
'22000004,ANGOSTURA AROMATIC BITTERS 200 ML.,ANGOSTURA AROMATIC BITTERS 200 ML.,BTL,,,972,,,,A,7,,
'22000006,Aperol Aperitif 70 cl.,Aperol Aperitif 70 cl.,BTL,,,1029,,,,A,7,,
'22120003,BACARDI WHIITE RUM 75 CL. (933478),BACARDI WHIITE RUM 75 CL. (933478),BTL,,,755,,,,A,7,,
'22030001,BAILEY'S IRISH CREAM 70 CL,BAILEY'S IRISH CREAM 70 CL,BTL,,,1069,,,,A,7,,
'22150009,BALLANTINE'S FINEST 70 CL,BALLANTINE'S FINEST 70 CL,BTL,,,631,,,,A,7,,
'22150006,BALLENTINE'S FINEST 1 L. (151196),BALLENTINE'S FINEST 1 L. (151196),BTL,,,820,,,,A,7,,
'22100003,BOMBAY GIN 75 CL,BOMBAY GIN 75 CL,BTL,,,1060,,,,A,7,,
'22000001,CAMPARI BITTER 75 CL. (158697),CAMPARI BITTER 75 CL. (158697),BTL,,,1215,,,,A,7,,
'22150007,CANADIAN CLUB 75 CL,CANADIAN CLUB 75 CL,BTL,,,1066,,,,A,7,,
'22130001,CAPTAIN MORGAN BLACK 75 CL. (124117),CAPTAIN MORGAN BLACK 75 CL. (124117),BTL,,,693,,,,A,7,,
'22130007,CHALONG BAY 700 ML.,CHALONG BAY 700 ML.,BTL,,,655,,,,A,7,,
'22020017,CHERRY HERRING 70 CL,CHERRY HERRING 70 CL,BTL,,,1359,,,,A,7,,
'22150008,CHIVAS REGEL 70 CL,CHIVAS REGEL 70 CL,BTL,,,1253,,,,A,7,,
'22020014,COINTREAU 70 CL. (156848),COINTREAU 70 CL. (156848),BTL,,,1290,,,,A,7,,
'22020018,COPA DE ORO COFFEE LIQUEUR 70 CL,COPA DE ORO COFFEE LIQUEUR 70 CL,BTL,,,747,,,,A,7,,
'22020005,D.O.M BENEDICTINE LIQUEUR 70 CL,D.O.M BENEDICTINE LIQUEUR 70 CL,BTL,,,1669,,,,A,7,,
'22020019,DRUMBUIE 70 CL,DRUMBUIE 70 CL,BTL,,,1823,,,,A,7,,
'22010006,FINE CALVADOS PERE MAGLOT 70 CL,FINE CALVADOS PERE MAGLOT 70 CL,BTL,,,1390,,,,A,7,,
'22100001,GORDON'S DRY GIN 70 CL.(108848),GORDON'S DRY GIN 70 CL.(108848),BTL,,,759,,,,A,7,,
'22020006,H.W. CREAM DE BANANA 75 CL,H.W. CREAM DE BANANA 75 CL,BTL,,,555,,,,A,7,,
'22020007,H.W. CREAM DE CACAO WHITE 75 CL,H.W. CREAM DE CACAO WHITE 75 CL,BTL,,,555,,,,A,7,,
'22010007,H.W.APRICOT BRANDY 75 CL,H.W.APRICOT BRANDY 75 CL,BTL,,,588,,,,A,7,,
'22020008,H.W.BLUE CURACAO 75 CL,H.W.BLUE CURACAO 75 CL,BTL,,,555,,,,A,7,,
'22010004,H.W.CHERRY BRANDY 75 CL. (185902),H.W.CHERRY BRANDY 75 CL. (185902),BTL,,,588,,,,A,7,,
'22020020,H.W.CREME DE BANANA 75 CL,H.W.CREME DE BANANA 75 CL,BTL,,,555,,,,A,7,,
'22020021,H.W.CREME DE CACAO WHITE  75 CL,H.W.CREME DE CACAO WHITE  75 CL,BTL,,,555,,,,A,7,,
'22020015,H.W.CREME DE CLASSIC 75 CL,H.W.CREME DE CLASSIC 75 CL,BTL,,,538,,,,A,7,,
'22020022,H.W.CREME DE MENTHE GREEN 75 CL,H.W.CREME DE MENTHE GREEN 75 CL,BTL,,,538,,,,A,7,,
'22020009,H.W.ORANGE CURACAO 75 CL,H.W.ORANGE CURACAO 75 CL,BTL,,,555,,,,A,7,,
'22010001,H.W.PEACH BRANDY 75 CL,H.W.PEACH BRANDY 75 CL,BTL,,,588,,,,A,7,,
'22020023,H.W.SAMBUCA 75 CL,H.W.SAMBUCA 75 CL,BTL,,,674,,,,A,7,,
'22010002,HENNESSY V.S.O.P 70 CL. (132952),HENNESSY V.S.O.P 70 CL. (132952),BTL,,,2709.35,,,,A,7,,
'22150001,JACK DANIEL'S 70 CL. (184603),JACK DANIEL'S 70 CL. (184603),BTL,,,1149,,,,A,7,,
'22150002,JAMESON WHISKY 70 CL. (105149),JAMESON WHISKY 70 CL. (105149),BTL,,,1018,,,,A,7,,
'22150003,JIM BEAM 70 CL. (210498),JIM BEAM 70 CL. (210498),BTL,,,700,,,,A,7,,
'22150005,JOHNNIE BLACK LABLE 70 CL. (113087) ,JOHNNIE BLACK LABLE 70 CL. (113087),BTL,,,1300,,,,A,7,,
'22150004,JOHNNIE RED LABEL 70 CL. (113126),JOHNNIE RED LABEL 70 CL. (113126),BTL,,,646,,,,A,7,,
'22050001,KHALUA 70 CL.(64961),KHALUA 70 CL.(64961),BTL,,,1055,,,,A,7,,
'22130003,MALIBU 70 CL. (151225),MALIBU 70 CL. (151225),BTL,,,748,,,,A,7,,
'22000002,MARTINI BIANCO 100 CL. (184495),MARTINI BIANCO 100 CL. (184495),BTL,,,965,,,,A,7,,
'22000003,MARTINI EXTRA DRY 100 CL,MARTINI EXTRA DRY 100 CL,BTL,,,965,,,,A,7,,
'22000005,MARTINI ROSSO 100 CL.,MARTINI ROSSO 100 CL.,BTL,,,965,,,,A,7,,
'22140003,MEKHONG 70 CL,MEKHONG 70 CL,BTL,,,384,,,,A,7,,
'22020010,MIDORI MELON LIQUEUR 70 CL,MIDORI MELON LIQUEUR 70 CL,BTL,,,1288,,,,A,7,,
'22120001,PALM LEAF COCONUT 70 CL,PALM LEAF COCONUT 70 CL,BTL,,,414,,,,A,7,,
'22120002,PAMPERO WHITE RUM 75 CL,PAMPERO WHITE RUM 75 CL,BTL,,,546,,,,A,7,,
'22020012,PEACH SCHNAPP 70 CL.,PEACH SCHNAPP 70 CL.,BTL,,,555,,,,A,7,,
'22000010,PERNOD 75 CL,PERNOD 75 CL,BTL,,,927,,,,A,7,,
'22130004,PHOENIX COCONUT RUM 70 CL. (132304),PHOENIX COCONUT RUM 70 CL. (132304),BTL,,,401,,,,A,7,,
'22130005,PHOENIX PEACH 70 CL. (228344),PHOENIX PEACH 70 CL. (228344),BTL,,,385,,,,A,7,,
'20000015,RED BULL CAN 250 ML. (1x24) (227728),RED BULL CAN 250 ML. (1x24) (227728),TRAY,,,1502,,,,A,7,,
'22010003,REGENCY 70 CL. (153760),REGENCY 70 CL. (153760),BTL,,,560,,,,A,7,,
'22010005,REMY MARTIN V.S.O.P 70 CL,REMY MARTIN V.S.O.P 70 CL,BTL,,,2829,,,,A,7,,
'22000011,RICARD 75 CL.,RICARD 75 CL.,BTL,,,923,,,,A,7,,
'22130006,SAILOR JERRY RUM 700 ML.,SAILOR JERRY RUM 700 ML.,BTL,,,1040,,,,A,7,,
'21010013,SAN MIGUEL SMALL BTL 330 ML. (1x24),SAN MIGUEL SMALL BTL 330 ML. (1x24),CASE,,,965,,,,A,7,,
'22140001,SANG SOM 70 CL. (192995),SANG SOM 70 CL. (192995),BTL,,,279,,,,A,7,,
'20000006,SCHWEPPES GINGER ALE CAN 330 ML. (1x24) (146882),SCHWEPPES GINGER ALE CAN 330 ML. (1x24) (146882),TRAY,,,334,,,,A,7,,
'20000016,SCHWEPPES SODA WATER CAN 330 ML. (1x24) (146880),SCHWEPPES SODA WATER CAN 330 ML. (1x24) (146880),TRAY,,,334,,,,A,7,,
'20000007,SCHWEPPES TONIC WATER CAN 330 ML. (1x24) (146879),SCHWEPPES TONIC WATER CAN 330 ML. (1x24) (146879),TRAY,,,334,,,,A,7,,
'22090002,SIERRA TEQUILA SILVER 70 CL. (166613),SIERRA TEQUILA SILVER 70 CL. (166613),BTL,,,820,,,,A,7,,
'22080002,SMIRNOFF VODKA 70 CL. (107967),SMIRNOFF VODKA 70 CL. (107967),BTL,,,564,,,,A,7,,
'22020013,SOUTHERN COMFORT 75 CL,SOUTHERN COMFORT 75 CL,BTL,,,795,,,,A,7,,
'20000009,SPRITE CAN 325 ML. (1x24) (358839),SPRITE CAN 325 ML. (1x24) (358839),TRAY,,,341,,,,A,7,,
'20000010,SPRITE PLASTIC BTL 1.25 L. (1x12) (358930),SPRITE PLASTIC BTL 1.25 L. (1x12) (358930),PACK,,,307,,,,A,7,,
'22100004,TANQUERAY GIN 75 ML,TANQUERAY GIN 75 ML,BTL,,,1059,,,,A,7,,
'24010002,TIO PEPE DRY SHERRY 75 CL,TIO PEPE DRY SHERRY 75 CL,BTL,,,923,,,,A,7,,
'22140005,YEOW NGERN (เหยี่ยวเงิน) 70 CL,YEOW NGERN (เหยี่ยวเงิน) 70 CL,BTL,,,135,,,,A,7,,
'20000018,RED BULL BTL 150 ML  (1x10 PCS) (128499),กระทิงแดงขวด 150 มล. (1x10 ขวด) (128499),PACK,,,490,,,,A,7,,
'20000001,COKE CAN 325 ML.(1x24)/(358579),โค้ก(กระป๋อง) 325มล.(1x24)/(358579),TRAY,,,309,,,,A,7,,
'20000003,COKE PLASTIC BTL 1.25 L. (1x12)/(358891),โค้ก(ขวด) 1.25ล.(1x12)/(358891),PACK,,,324,,,,A,7,,
'20000013,COKE ZERO CAN 325 ML. (1x24) (100511),โค้กซีโร่(กระป๋อง) 325มล.(1x24)/(100511),TRAY,,,323,,,,A,7,,
'20000002,COKE LIGHT CAN 325 ML.(1x24)/(100512),โค้กไลท์(กระป๋อง) 325มล.(1x24)/(100512),TRAY,,,309,,,,A,7,,
'20000017,SODA WATER ROCK 325 ML.(1x24)/(810465),โซดาร๊อค 325มล. (1x24)/(810465),TRAY,,,184,,,,A,7,,
'20000008,SODA WATER ONE WAY SINGHA 325 ML.(1x24)/(160629),โซดาวันเวย์ สิงห์ 325มล.(1x24)/(160629),TRAY,,,193,,,,A,7,,
'20010006,WATER MINERE 500ML. (1x12)/(198281),นํ้าแร่มิเนเร่ 500 มล.(1x12)/(198281),PACK,,,76,,,,A,7,,
'20000004,ORANGE FANTA CAN 325 ML.(1x24)/(358657),น้ำส้มแฟนต้า(กระป๋อง) 325มล.(1x24)/(358657),TRAY,,,333,,,,A,7,,
'21000001,BEER CORONA EXTRA BTL 330 ML. (1x24),เบียร์โคโรน่าเอ็กซ์ตร้า(ขวด) 330มล.(1x24)/ลัง,CASE,,,1580,,,,A,7,,
'21010001,BEER CHANG CLASSIC CAN 320 ML.(1*24)/(250315),เบียร์ช้างคลาสสิค(กระป๋อง)320มล. (1*24)/(250315),TRAY,,,714,,,,A,7,,
'21010008,BEER CHANG CLASSIC SMALL BTL 320ML.(1x24)/(330603),เบียร์ช้างคลาสสิค(ขวด ) 320 ML.(1x24)/(330603),CASE,,,742,,,,A,7,,
'21010003,BEER CHANG LARGE 620 ML.(1x12)/(190814),เบียร์ช้างคลาสสิค(ขวด)620มล.(1x12)/(190814),CASE,,,602,,,,A,7,,
'21010002,BEER CHANG COLD BREW CAN 490 ML.(1x12)/(854716),เบียร์ช้างโคลด์บูรว์(กระป๋อง)490มล.(1x12)/(854716),TRAY,,,535,,,,A,7,,
'21010007,BEER CHANG COLD BREW BTL 620ML.(1x12)/(853030),เบียร์ช้างโคลด์บูรว์(ขวด )620มล.(1x12)/(853030),CASE,,,635,,,,A,7,,
'21010004,BEER CHANG(DRAUGHT) 30L./TANK,เบียร์ช้างสด 30 ลิตร/ถัง,TANK,,,2697,,,,A,7,,
'21010012,BEER LEO CAN  330 ML.(1x24)/(343824),เบียร์ลีโอ(กระป๋อง)330มล.(1x24)/(343824),TRAY,,,728,,,,A,7,,
'21010006,BEER SINGHA CAN 320 ML.(1x24)/(223275),เบียร์สิงห์(กระป๋อง) 320มล.(1x24)/(223275),TRAY,,,783,,,,A,7,,
'21010015,BEER SINGHA SMALL 320 ML.(1x24)/(190333),เบียร์สิงห์(ขวด) 320มล.(1x24)/(190333),CASE,,,797,,,,A,7,,
'21010014,BEER SINGHA 620 ML.(1x12)/(800080),เบียร์สิงห์(ขวด) 620มล.(1x12)/(800080),CASE,,,658,,,,A,7,,
'21010005,BEER HEINEKEN CAN 320 ML.(1x24)(805003),เบียร์ไฮเนเก้น 320มล.(1x24)/(805003),TRAY,,,966,,,,A,7,,
'21010011,BEER HEINEKEN SMALL BTL 330ML.(1x24)/(203866),เบียร์ไฮเนเก้น(ขวด )330มล.(1x24)/(203866),CASE,,,988,,,,A,7,,
'21010009,BEER HEINEKEN DRAUGHT 30L./TANK,เบียร์ไฮเนเก้นสด 30ล./ถัง,TANK,,,3616,,,,A,7,,
'22140002,REGENCY 350 ML. (153761),รีเจนซี(ขวดแบน) 350มล.(153761),BTL,,,440,,,,A,7,,
'24000001,WHITE WINE FOR COOKING GOSSIPS 3L.(836001),ไวท์ขาวปรุงอาหารกอสซิบ 3ล.(836001),BOX,,,745,,,,A,7,,
'24010001,RED WINE FOR COOKING GOSSIPS 3 L. (836004),ไวท์แดงปรุงอาหารกอสซิบ 3 ลิตร(836004),BOX,,,745,,,,A,7,,
