SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
,LEMON FRUIT BIG ( NO SEED ),มะนาวใหญ่ไร้เม็ด,KG,55,,,,,,N,0,,
,PAPAYA RAW,มะละกอดิบ,KG,20,,,,,,N,0,,
,LEMON YELLOW BIG,มะนาวเหลือง,KG,68,,,,,,N,0,,
,AVOCADO(EACH),อโวคาโด(ลูก),KG,65,,,,,,N,0,,
,BABY CORN,ข้าวโพดอ่อน,KG,38,,,,,,N,0,,
,BANANA FLOWER,หัวปลี,KG,15,,,,,,N,0,,
,BANANA LEAVE,ใบตอง,KG,25,,,,,,N,0,,
,BEANS WING,ถั่วพลู,KG,85,,,,,,N,0,,
,BEANSPROUTS CLEANED,ถั่วงอก,KG,15,,,,,,N,0,,
,BELL PEPPER GREEN,พริกยักษ์เขียว,KG,80,,,,,,N,0,,
,BELL PEPPER RED,พริกยักษ์แดง,KG,90,,,,,,N,0,,
,BELL PEPPER YELLOW,พริกยักษ์เหลือง,KG,100,,,,,,N,0,,
,BIRD CHILI (233298),พริกขี้หนูสวนไม่เด็ด(233298),KG,220,,,,,,N,0,,
,CARROT,แครอท,KG,20,,,,,,N,0,,
,CELERY IMPORT,คื่นช่ายฝรั่ง,KG,58,,,,,,N,0,,
,CHAPOO LEAVES,ใบชะพลู,KG,60,,,,,,N,0,,
,CHILI BRID RED,พริกขี้หนูแดง,KG,45,,,,,,N,0,,
,CHILI BRID RED (CUT),พริกขี้หนูแดงเด็ด,KG,70,,,,,,N,0,,
,CHILI DRY LARGE,พริกแห้งใหญ่,KG,150,,,,,,N,0,,
,CHILI DRY SMALL,พริกแห้งเล็ก,KG,200,,,,,,N,0,,
,CHILLI FINGER ( GREEN ),พริกชี้ฟ้าเขียว,KG,60,,,,,,N,0,,
,CHILLI FINGER ( RED ),พริกชี้ฟ้าแดง,KG,60,,,,,,N,0,,
,CHINESES CHIVES,กุ้ยฉ่ายเขียว(ต้น),KG,60,,,,,,N,0,,
,CHOA PRAYA EGGPLANT,มะเขือเปราะ,KG,25,,,,,,N,0,,
,CORN ON THE COB,ข้าวโพดฝัก(ปอกเปลือก),KG,28,,,,,,N,0,,
,CUCUMBER LARGE,แตงกวาใหญ่,KG,20,,,,,,N,0,,
,CUCUMBER SMALL,แตงกวาเล็ก,KG,30,,,,,,N,0,,
,DILL LEAVES,ผักชีลาว,KG,55,,,,,,N,0,,
,EGG PLANT GREEN LONG,มะเขือยาวเขียว,KG,35,,,,,,N,0,,
,FRENCH BEAN,ถั่วแขก,KG,38,,,,,,N,0,,
,PEPPER CORN,พริกไทยอ่อน,KG,130,,,,,,N,0,,
,GALANGA WHOLE YOUNG(323648),ข่าอ่อน(323648),KG,40,,,,,,N,0,,
,GINGER OLD,ขิงแก่,KG,60,,,,,,N,0,,
,GINGER SLICED,ขิงฝอย,KG,65,,,,,,N,0,,
,HOT BASIL,กระเพรา,KG,40,,,,,,N,0,,
,KAFFIR LIME LEAVE,ใบมะกรูด,KG,50,,,,,,N,0,,
,KALE,คะน้า,KG,33,,,,,,N,0,,
,KAMIN FRESH,ขมิ้นสด,KG,50,,,,,,N,0,,
,KWANG TUNG,กวางตุ้ง,KG,30,,,,,,N,0,,
,LEEK ( TON KRA THIAM ),ต้นกระเทียม,KG,85,,,,,,N,0,,
,LEMONGRASS,ตะไคร้,KG,1,,,,,,N,0,,
,LETTUCE ICEBERG,กาดแก้ว,KG,58,,,,,,N,0,,
,LOCAL PEPPER GREEN,พริกหยวก,KG,70,,,,,,N,0,,
