SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'15150001,BEAN CURD TUBE  EGG,เต้าหู้หลอดไข่,PCS,,,8,,,,N,0,,
'10020003,CHICKEN BONE ( RIBS ),ซี่โครงไก่,KG,,,28,,,,N,0,,
'16010011,WONTON SHEET 100 PCS,แผ่นเกี้ยว 100 แผ่น,KG,,,55,,,,N,0,,
'10020011,CHICKEN TOP ROUND WITH SKIN SLICE (2KG.),สะโพกไก่ติดหนังสไลด์(2กก.),KG,,,62,,,,N,0,,
'10020020,CHICKEN BREAST WITH SKIN SLICE,อกไก่ติดหนังสไลด์,KG,,,62,,,,N,0,,
'15150010,เต้าหู้ปลาแผ่น PFP (173275),เต้าหู้ปลาแผ่น PFP (173275),PACK,,,65,,,,A,7,,
'10050003,BALLS FISH SHEET 500G.,ลูกชิ้นปลาแผ่น 500 กรัม,PACK,,,65,,,,A,7,,
'10020008,CHICKEN MEAT GROUND,ไก่บด,KG,,,65,,,,N,0,,
'10020001,CHICKEN  CUTED,ไก่สับชิ้น(แกง),KG,,,65,,,,N,0,,
'10020022,CHICKEN CUTED,ไก่สับชิ้น(ทอด),KG,,,65,,,,N,0,,
'17060003,FROZEN MIXED VEGETABLE DX 103(125186),ผักรวมแช่แข็ง DX103(125186),KG,,,69,,,,N,0,,
'10020016,CHICKEN BREAST WITH SKIN 2KG.,อกไก่ติดหนัง 2 กก.,KG,,,69,,,,N,0,,
'10020023,CHICKEN WHOLE,ไก่ตัว,KG,,,70,,,,N,0,,
'17060001,SPINACH BALL  1KG. (110002),ผักโขมกลมแช่แข็ง 1 กก.(110002),KG,,,75,,,,A,7,,
'10050006,CHICKEN MEAT BALL,ลูกชิ้นไก่,KG,,,75,,,,A,7,,
'17060002,FROZEN GREEN PEAS 1KG.(134972),ถั่วลันเตาแช่แข็ง 1 กก.(134972),KG,,,79,,,,A,7,,
'14060008,QUAIL EGG PEEL(1x50),ไข่นกกระทาปอกเปลือก(1x50),PACK,,,79,,,,N,0,,
'10020004,CHICKEN BREAST PACK 2KG.,อกไก่ลอกหนัง 2 กก.,KG,,,82,,,,N,0,,
'10050013,KAI YO SIZE 1KG.,ไก่ยอแท่ง 1 กก.,KG,,,85,,,,A,7,,
'10050030,CHICKEN 'S TENDON BALLS,ลูกชิ้นเอ็นไก่,KG,,,85,,,,A,7,,
'14060009,ไข่แดงเค็ม(1x10ฟอง),ไข่แดงเค็ม(1x10 ฟอง),PACK,,,85,,,,N,0,,
'10010007,PORK MEAT GROUND B,หมูบดเกรด B ปนมัน 20%,KG,,,85,,,,N,0,,
'10050031,CHICKEN SAUSAGE,ไส้กรอกไก่รมควัน(หนังกรอบ) 1000ก.,KG,,,89,,,,A,7,,
'10010021,กระดูกเล้งหมู สับ,กระดูกเล้งหมู(สับ),KG,,,89,,,,N,0,,
'10020017,CHICKEN DRUM STICK WITH SIDE,น่องไก่ติดสะโพก,KG,,,89,,,,N,0,,
'10020005,CHICKEN DRUM STICKS 2KG.,น่องไก่ล้วน 2 กก.,KG,,,89,,,,N,0,,
'10020018,CHICKEN WINGS UP (Halan) 2KG.(893188),ปีกไก่บนฮาลาล 2 กก.(893188),KG,,,89,,,,N,0,,
'10020010,CHICKEN TOP ROUND  WITH SKIN 2 KG.,สะโพกไก่ติดหนังเลาะกระดูก 2 กก.,KG,,,89,,,,N,0,,
'10020006,CHICKEN FILLET,สันในไก่,KG,,,89,,,,N,0,,
'17080006,หมึกกล้วยบั้งตาสับปะรดแช่แข็ง 1 กก.(227491),หมึกกล้วยบั้งตาสับปะรดแช่แข็ง 1 กก.(227491),KG,,,90,,,,N,0,,
'17080002,FROZEN SQUID SLICE(PINEAPPLE),หมึกกล้วยหั่นบั้งสับปะรด  แช่แข็ง ,KG,,,90,,,,N,0,,
'17080003,FROZEN SQUID SLICED(RINGS),หมึกกล้วยหั่นวงแหวน  แช่แข็ง ,KG,,,90,,,,N,0,,
'15150005,เต้าหู้ปลาครึ่งวงกลมพีเอฟพี 480 ก.,เต้าหู้ปลาครึ่งวงกลม พีเอฟพี 480ก.,BAG,,,95,,,,A,7,,
'10050023,KANIKAMAOKO 500G./PACK,ปูอัด 500G./แพ็ค,PACK,,,95,,,,A,7,,
'10050041,LOUK CHIN PLA,ลูกชิ้นปลากลม,PACK,,,95,,,,A,7,,
'10050039,FISH MEAT BALL,ลูกชิ้นปลากลมธรรมดา,KG,,,95,,,,A,7,,
'10050038,FISH BALL - PFP 500G.,ลูกชิ้นปลายี่ห้อ PFP 500ก.,PACK,,,95,,,,A,7,,
'10050045,PORK MEAT BALL,ลูกชิ้นหมูธรรมดา,KG,,,95,,,,A,7,,
'17080008,FROZEN DORRY FISH FILLER,เนื้อปลาดอลลี่แช่แข็ง,KG,,,95,,,,N,0,,
'17020003,ปีกบนไก่แช่แข็งซีพี 2 กก.(830397),ปีกบนไก่แช่แข็งซีพี 2 กก.(830397),KG,,,95,,,,N,0,,
'10020009,CHICKEN TOP ROUND  WITH OUT BONE&SKIN,สะโพกไก่ลอกหนังเลาะกระดูก,KG,,,95,,,,N,0,,
'17070004,FROZEN SWEET CORN KERNEL ARO 1KG.(851335),ข้าวโพดแช่แข็ง เอโร่ 1 กก.(851335),KG,,,99,,,,A,7,,
'10020007,CHICKEN LRG,ตีนไก่(ตีนไก่ตัดเล็บ),KG,,,99,,,,N,0,,
'10010023,ขาหมู (ขาหน้า),ขาหมู (ขาหน้า),KG,,,100,,,,N,0,,
'10010018,PORK LEG,ขาหมู (ขาหลัง),KG,,,100,,,,N,0,,
'10020024,เล็บมือนาง(ตีนไก่),เล็บมือนาง(ตีนไก่),KG,,,100,,,,N,0,,
'11000003,CAT FISH FRESH SLICED,ปลาดุกหั่นเนื้อล้วน,KG,,,105,,,,N,0,,
'10020012,CHICKEN WINGS,ปีกไก่เต็ม,KG,,,105,,,,N,0,,
'10050054,ปลาเส้นทอดมหาชัย 700ก.(827687),ปลาเส้นทอดมหาชัย 70ก.(827687),BAG,,,115,,,,A,7,,
'10050032,"CHICKEN SAUSAGE 3"" GF",ไส้กรอกไก่(จีเอฟ),KG,,,115,,,,A,7,,
'10050029,CHICKEN HAM GSB 1KG.(150711),ไก่แผ่นรมควันจีเอสบี 1 กก.(150711),KG,,,125,,,,A,7,,
'16010018,CHICKEN NUGGET 1KG.,นัตเก็ตไก่ 1กก.,KG,,,125,,,,A,7,,
'11020004,JELLY FISH 1KG.(237450),แมงกะพรุน 1 กก.(237450),KG,,,125,,,,N,0,,
'10010005,PORK HIP SLICED,หมูเนื้อแดงหั่น,KG,,,125,,,,N,0,,
'10010011,PORK TOP ROUND,สะโพกหมู,KG,,,135,,,,N,0,,
'10010008,PORK MINCED A,หมูบดเกรด A,KG,,,135,,,,N,0,,
'10010019,PORK LOIN,หมูสันนอก,KG,,,135,,,,N,0,,
'11040003,MUSSEL,หอยแมลงภู่,KG,,,135,,,,N,0,,
'16000007,FROZEN CHICKEN POP 1KG.(853758),ไก่ป๊อปแช่แข็ง 1 กก.(853758),KG,,,140,,,,A,7,,
'10010010,PORK TENDERLOIN,สันในหมู,KG,,,145,,,,N,0,,
'10050007,"CHICKEN SAUSAGE FRESH 3.5"" 1KG.",ไส้กรอกไก่สด 3.5 นิ้ว 1 กก.,KG,,,155,,,,A,7,,
'10050022,HAM(PORK),หมูแฮม,KG,,,162,,,,A,7,,
'10010027,สันคอหมู,สันคอหมู,Kg,,,165,,,,N,0,,
'10010002,PORK BONE ( SPRIA ) SLICED,ซี่โครงหมูสับ,KG,,,175,,,,N,0,,
'10010001,PORK BELLY,หมูสามชั้น,KG,,,185,,,,N,0,,
'10010016,PORK BELLY SLICED,หมูสามชั้น(หั่น),KG,,,185,,,,N,0,,
'10010025,หมูสามชั่นหั่นเต๋า,หมูสามชั่นหั่นเต๋า,KG,,,185,,,,N,0,,
'10010026,หมูสามชั้นหั่นเส้นยาว,หมูสามชั้นหั่นเส้นยาว,KG,,,185,,,,N,0,,
'17070009,COCONUT FLESH NAM HOM 1KG.(829152),เนื้อมะพร้าวน้ำหอมแช่เยือกแข็งแบบเส้น1 กก.(829152),KG,,,189,,,,N,0,,
'17070001,COCONU CHUNKED NAM HOM ALL COCO 1KG.(813532),เนื้อมะพร้าวน้ำหอมแบบแผ่นแช่แข็ง 1 กก. (813532),KG,,,189,,,,N,0,,
'16010006,MIX VEGETABLE SPRING ROLL 25G.(1x40)/(118202),ปอเปี๊ยะผัก ลิตเติ้ลเชฟ 25ก.(1x40)/(118202),PACK,,,200,,,,A,7,,
'10050011,"POKR FRESH  SAUSAGE 3.5""",ไส้กรอกหมูสด 3.5 นิ้ว,KG,,,230,,,,A,7,,
'10010017,PORK CARILANG SLICED,ซี่โครงหมูอ่อนสับ,KG,,,235,,,,N,0,,
'10010009,PORK NECK,คอหมู,KG,,,260,,,,N,0,,
'10050004,BEEF MEAT BALLS CHAMP 1KG.,ลูกชิ้นเนื้อแชมป์ 1 กก.,KG,,,265,,,,A,7,,
'10050046,PORK MEAT BALLS(HAMPRANG),ลูกชิ้นหมูฮัมเพล้ง,KG,,,265,,,,A,7,,
'17030001,SKINED DUCK MEAT BB2 1 KG.,อกเป็ดเนื้อติดหนัง BB2 1 กก.,KG,,,265,,,,N,0,,
'10030001,SKINED DUCK MEAT BB1 1KG.,อกเป็ดเนื้อติดหนัง(BB1) 1 กก.,KG,,,265,,,,N,0,,
'10030002,SMOKED DUCK BREAST 1 กก.,อกเป็ดรมควัน 1 กก.,KG,,,355,,,,N,0,,
16010047,แผ่นแป้งโรตีแช่แข็งรสโฮลมีล 325 ก.ตราสปริงโฮม 1*5ชิ้น/แพ็ค(858644),แผ่นแป้งโรตีแช่แข็งรสโฮลมีล 325 ก.ตราสปริงโฮม 1*5ชิ้น/แพ็ค(858644),Pack,,,75,,,,A,7,,
