SKU#,Description,Local Description,Unit,Qty From,QtyTo, Quote Price ,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,,,,,
'10020013,MIXED OFFAL CHICKEN,เครื่องในไก่,KG,,, 25.00 ,,,,N,0,,,,,,,
11000038,ปลาทูนึ่งทั้งตัวขนาด(10-12 ตัว/กก.)3 ตัว/แพ็ค ตราวรา(174471) : ,ปลาทูนึ่งทั้งตัวขนาด(10-12 ตัว/กก.)3 ตัว/แพ็ค ตราวรา(174471),Pack,,, 45.00 ,,,,N,0,,,,,,,
'10050003,BALLS FISH SHEET 500G.,ลูกชิ้นปลาแผ่น 500 กรัม,PACK,,, 48.00 ,,,,N,0,,,,,,,
'11040005,OYSTER LOCAL,หอยนางรมไทยใหญ่,PCS,,, 50.00 ,,,,N,0,,,,,,,
'10020019,CHICKEN BLOOD(ก้อน),เลือดไก่(ก้อน),KG,,, 60.00 ,,,,N,0,,,,,,,
'10020002,CHICKEN BLOOD,เลือดไก่,KG,,, 60.00 ,,,,N,0,,,,,,,
'11040006,SWEET CLAM ( LOCAL ),หอยหวานไทย,KG,,, 63.00 ,,,,N,0,,,,,,,
'11040001,หอยตลับใหญ่,หอยตลับใหญ่,KG,,, 63.00 ,,,,N,0,,,,,,,
'11000030,เนื้อปลากรายบด 500 กรัม. (134603),เนื้อปลากรายบด 500ก.(134603),PACK,,, 70.00 ,,,,N,0,,,,,,,
'11000022,SABA FISH (108009),ปลาซาบะ(108009),KG,,, 72.00 ,,,,N,0,,,,,,,
'10050039,FISH MEAT BALL,ลูกชิ้นปลากลมธรรมดา,KG,,, 74.00 ,,,,N,0,,,,,,,
'10050041,LOUK CHIN PLA,ลูกชิ้นปลากลม,PACK,,, 74.00 ,,,,N,0,,,,,,,
'10050006,CHICKEN MEAT BALL,ลูกชิ้นไก่,KG,,, 75.00 ,,,,N,0,,,,,,,
'10020023,CHICKEN WHOLE,ไก่ตัว,KG,,, 75.00 ,,,,N,0,,,,,,,
'10020020,CHICKEN BREAST WITH SKIN SLICE,อกไก่ติดหนังสไลด์,KG,,, 78.00 ,,,,N,0,,,,,,,
'10020016,CHICKEN BREAST WITH SKIN 2KG.,อกไก่ติดหนัง 2 กก.,KG,,, 78.00 ,,,,N,0,,,,,,,
'11000017,FISH EGG,ไข่ปลา,KG,,, 78.00 ,,,,N,0,,,,,,,
'10020022,CHICKEN CUTED,ไก่สับชิ้น(ทอด),KG,,, 78.00 ,,,,N,0,,,,,,,
'10020001,CHICKEN  CUTED,ไก่สับชิ้น(แกง),KG,,, 78.00 ,,,,N,0,,,,,,,
'11040003,MUSSEL,หอยแมลงภู่,KG,,, 80.00 ,,,,N,0,,,,,,,
'10050027,BALL FISH SMALL,ลูกชิ้นปลากลมเล็ก(ลูกชิ้นปลาบัวลอย),KG,,, 80.00 ,,,,N,0,,,,,,,
'10010021,กระดูกเล้งหมู สับ,กระดูกเล้งหมู(สับ),KG,,, 80.00 ,,,,N,0,,,,,,,
'10020006,CHICKEN FILLET,สันในไก่,KG,,, 85.00 ,,,,N,0,,,,,,,
'10050030,CHICKEN 'S TENDON BALLS,ลูกชิ้นเอ็นไก่,KG,,, 85.00 ,,,,N,0,,,,,,,
'10020008,CHICKEN MEAT GROUND,ไก่บด,KG,,, 85.00 ,,,,N,0,,,,,,,
'10050023,KANIKAMAOKO 500G./PACK,ปูอัด 500G./แพ็ค,PACK,,, 90.00 ,,,,N,0,,,,,,,
'11000020,KIM SURE FISH FILLET,เนื้อปลากิมซั่วแล่,KG,,, 90.00 ,,,,N,0,,,,,,,
'11000025,TAMA FISH,ปลาตะมะ(สับรวมหัว),KG,,, 95.00 ,,,,N,0,,,,,,,
'11000009,TAJONG FISH(HEAD CUT),ปลาตาจง(ตัดหัว),KG,,, 100.00 ,,,,N,0,,,,,,,
'11000005,PLA DAENG FISH (HEAD CUT),ปลากล้วยแดง(ตัดหัว),KG,,, 100.00 ,,,,N,0,,,,,,,
'10020007,CHICKEN LRG,ตีนไก่(ตีนไก่ตัดเล็บ),KG,,, 100.00 ,,,,N,0,,,,,,,
'10020012,CHICKEN WINGS,ปีกไก่เต็ม,KG,,, 102.00 ,,,,N,0,,,,,,,
'11000002,CAT FISH FRESH,ปลาดุกตัว,KG,,, 105.00 ,,,,N,0,,,,,,,
'11000027,TUNA FISH ( THAI ) ( HEAD CUT ),ปลาลัง(ตัดหัว),KG,,, 110.00 ,,,,N,0,,,,,,,
'11000006,PLA TU (HEAD CUT),ปลาทูลัง(ตัดหัว),KG,,, 110.00 ,,,,N,0,,,,,,,
'10020009,CHICKEN TOP ROUND  WITH OUT BONE&SKIN,สะโพกไก่ลอกหนังเลาะกระดูก,KG,,, 112.00 ,,,,N,0,,,,,,,
'11000026,Tama Fish Cut  No Head,ปลาตะมะ(หั่นไม่หัว),KG,,, 115.00 ,,,,N,0,,,,,,,
'10010018,PORK LEG,ขาหมู (ขาหลัง),KG,,, 115.00 ,,,,N,0,,,,,,,
'10010023,ขาหมู (ขาหน้า),ขาหมู (ขาหน้า),KG,,, 115.00 ,,,,N,0,,,,,,,
17080002,FROZEN SQUID SLICE(PINEAPPLE) ,หมึกกล้วยหั่นบั้งสับปะรด แช่แข็ง,KG,,, 125.00 ,,,,N,0,,,,,,,
