SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'10020003,CHICKEN BONE ( RIBS ),ซี่โครงไก่,KG,,,35,,,,N,0,,
'10020001,CHICKEN  CUTED,ไก่สับชิ้น(แกง),KG,,,70,,,,N,0,,
'10020013,MIXED OFFAL CHICKEN,เครื่องในไก่,KG,,,72,,,,N,0,,
'10020008,CHICKEN MEAT GROUND,ไก่บด,KG,,,75,,,,N,0,,
'10020023,CHICKEN WHOLE,ไก่ตัว,KG,,,80,,,,N,0,,
'10020010,CHICKEN TOP ROUND  WITH SKIN 2 KG.,สะโพกไก่ติดหนังเลาะกระดูก 2 กก.,KG,,,88,,,,N,0,,
'10020012,CHICKEN WINGS,ปีกไก่เต็ม,KG,,,93,,,,N,0,,
'10020006,CHICKEN FILLET,สันในไก่,KG,,,95,,,,N,0,,
'10010018,PORK LEG,ขาหมู (ขาหลัง),KG,,,98,,,,N,0,,
'10020007,CHICKEN LRG,ตีนไก่(ตีนไก่ตัดเล็บ),KG,,,98,,,,N,0,,
'10010007,PORK MEAT GROUND B,หมูบดเกรด B ปนมัน 20%,KG,,,105,,,,N,0,,
'10010023,ขาหมู (ขาหน้า),ขาหมู (ขาหน้า),KG,,,105,,,,N,0,,
'16010029,VHINESE STEAMED DOUGHT (1x12/PACK),ซาลาเปาหมั่นโถว (1x12/PACK),PACK,,,110,,,,N,0,,
'10050031,CHICKEN SAUSAGE,ไส้กรอกไก่รมควัน(หนังกรอบ) 1000ก.,KG,,,130,,,,N,0,,
'10050020,CHICKEN HAM,ไก่แฮม,KG,,,139,,,,N,0,,
'16010008,SHRIMP SHAOMAI (1x40PCS.),ขนมจีบกุ้ง (1x40ชิ้น),PACK,,,140,,,,N,0,,
'10010005,PORK HIP SLICED,หมูเนื้อแดงหั่น,KG,,,162,,,,N,0,,
'10010010,PORK TENDERLOIN,สันในหมู,KG,,,162,,,,N,0,,
'10010011,PORK TOP ROUND,สะโพกหมู,KG,,,162,,,,N,0,,
'14030004,WHIPPING CREAM  MILLAC GOLD,วิปปิ้งครีมมิลล์แลกโก 1 ลิตร,BOX,,,165,,,,N,0,,
'16010010,VEGERTABLE SAMOZA (1x24 PCS),ซาโมซ่าผัก(1x24 ชิ้น),PACK,,,170,,,,N,0,,
'10010019,PORK LOIN,หมูสันนอก,KG,,,176,,,,N,0,,
'10010017,PORK CARILANG SLICED,ซี่โครงหมูอ่อนสับ,KG,,,180,,,,N,0,,
'10050005,CHICKEN CHILL BOLOGNA 1.5 KG.,โบโลญญ่าไก่พริก 1.5 กก.,KG,,,187,,,,N,0,,
'10050019,CHICKEN BOLOGNA 1.5 KG.,โบโลญญาไก่ 1.5KG.,KG,,,187,,,,N,0,,
'10010001,PORK BELLY,หมูสามชั้น,KG,,,193,,,,N,0,,
'10010014,PORK CHOP,หมูสันนอกติดกระดูก,KG,,,250,,,,N,0,,
'10000003,BEEF TOP ROUND,เนื้อสะโพกวัวไทย,KG,,,255,,,,N,0,,
'10000005,เนื้อน่องลาย,เนื้อน่องลาย,KG,,,285,,,,N,0,,
'10020015,อกไก่รมควัน,อกไก่รมควัน,KG,,,290,,,,N,0,,
'10000002,BEEF TENDERLOIN LOCAL,เนื้อสันในวัวไทย,KG,,,319,,,,N,0,,
'10000007,BEEF TENDERLOIN LOCAL (AAA),เนื้อสันในวัวโคขุนแต่ง,KG,,,319,,,,N,0,,
'11040002,GREEN SHELL MUSSEL NZ,หอยแมลงภู่นิวซีแลนด์,KG,,,390,,,,N,0,,
'10030002,SMOKED DUCK BREAST 1 กก.,อกเป็ดรมควัน 1 กก.,KG,,,610,,,,N,0,,
'11000028,TUNA SAKU A,ทูน่าซากุ เกรด A,KG,,,680,,,,N,0,,
'17000001,RIBEYE AUS EBONY CHOICE 5-8 KG.,เนื้อริบอายออสสเตรเลีย 5-8 กก.,KG,,,708,,,,N,0,,
'10050015,PEPPERONI,เปปเปอร์โรนี่,KG,,,770,,,,N,0,,
'10050036,DRIED SALAMI 0.7-1 KG.,ดรายซาลามี่ 0.7-1 กก.,KG,,,890,,,,N,0,,
