SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'12000001,APPLE GREEN,แอปเปิ้ลเขียว(6 ลูก/กก.),PCS,,,12.5,,,,N,0,,
'12000002,APPLE RED,แอปเปิ้ลแดง(6 ลูก/กก.),PCS,,,14,,,,N,0,,
'12000030,แตงโมกินรี,แตงโมกินรี,KG,,,16,,,,N,0,,
'12000016,KIWI FRUIT ,กีวี ,PCS,,,28,,,,N,0,,
12000091,มะพร้าวอ่อน(ทะลาย),มะพร้าวอ่อน(ทะลาย),EA,,,34,,,,,,,
'12000008,DRAGON FRUIT,แก้วมังกรขาว,KG,,,34,,,,N,0,,
'12000029,YOUNG COCONUT(CUT) - GREEN,มะพร้าวอ่อนปอกเปลือกปาดเขียว(ปาดหัว/ท้าย),PCS,,,36,,,,N,0,,
'12000047,DRAGON FRUIT 3 PCS,แก้วมังกรขาว(ขอ3ลูกผลไม้ไหว้ศาล),KG,,,36,,,,N,0,,
'12000035,CANTALOUP ORANGE,แคนตาลูปส้ม,KG,,,39,,,,N,0,,
'12000034,YOUNG COCONUT(CUT) - WHITE,มะพร้าวอ่อนปาดขาว,PCS,,,40,,,,N,0,,
'12000019,MANGO,มะม่วงดิบ,KG,,,42,,,,N,0,,
'12000053,LONGAN,ลำไย,KG,,,46,,,,N,0,,
12000061,RAMBUTAN,เงาะ,KG,,,60,,,,,,,
'12000012,GUAVA FRUIT-แป้นทอง,ฝรั่งแป้นทอง,KG,,,65,,,,N,0,,
12000083,PASSION FRUIT,เสาวรสสด,KG,,,65,,,,,,,
'12000013,GUAVA FRUIT-กิมจู,ฝรั่งกิมจู,KG,,,75,,,,N,0,,
'12000068,แก้วมังกรแดง,แก้วมังกรแดง,KG,,,75,,,,N,0,,
'12000044,CANTALOUP MELON GREEN,แคนตาลูปเมลอนเขียว,KG,,,89,,,,N,0,,
'12000005,BLUEBERRY FRESH 125G.,บลูเบอรี่สด 125ก.,PACK,,,99,,,,N,0,,
'12000064,STRABERRY FRESH 250G.,สตรอเบอร์รีสดนำเข้า 250ก.,PACK,,,259,,,,N,0,,
