SKU#,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,,,,,
'15090008,เกลือปรุงทิพย์  0.5 กก.(1x6)/(106960),BAG,,,7,,,,A,7,,,,,,,
'15090009,เกลือปรุงทิพย์ 1 กก.(1x24)/(106971),KG,,,14,,,,A,7,,,,,,,
'15010078,ปลากระป๋องในซอสมะเขือเทศ,CAN,,,20,,,,A,7,,,,,,,
'15010116,ผักกาดดอง(ฝาดึง)นกพิราบคู่ 140ก.(1x6)/(68666),CAN,,,20,,,,A,7,,,,,,,
'15010141,ผักผสมดองเค็มซีเซ็กฉ่ายนกพิราบ 140ก.(1x6)(65975),CAN,,,20,,,,A,7,,,,,,,
'15010156,เม็ดสาคูตราเจดีย์ 500G.นิวเกรด,BAG,,,23,,,,A,7,,,,,,,
'15120019,ซอสเปรี้ยวหัวกวาง 600 มล.(1x3)/(840159),BTL,,,25,,,,A,7,,,,,,,
14000007,นมข้นหวานคาร์เนชันพลัส 380ก.(1x6)/(829604),CAN,0,0,25,,,,A,7,,,,,,,
14000008,นมจืด 405ก.ตราคาเนชั่่น(1x6)/(24388),CAN,0,0,26,,,,A,7,,,,,,,
'15090019,น้ำตาลอ้อยธรรมชาติ(แดง)มิตรผล 500ก.(1x12)/(230445),BAG,,,27,,,,A,7,,,,,,,
'15130061,ผงหมูแดง,PACK,,,27,,,,A,7,,,,,,,
'15080002,เบคกิ้งโซดา แม็กกาแรต 300ก.(184247),BAG,,,28,,,,A,7,,,,,,,
'15120009,ซอสปรุงเหยาะจิ้ม แม็กกี้ 200มล.(1x6)/(108102),BTL,,,29,,,,A,7,,,,,,,
'15010050,ข้าวคั่วไร่ทิพย์ 500ก.(221067),BAG,,,30,,,,A,7,,,,,,,
'15120032,ซีอิ๋วดำ#5เด็กสมบูรณ์ 940มล.(1x3)/(147395),BTL,,,30,,,,A,7,,,,,,,
'15040008,หมี่อบแห้งไวไว 500ก.(1x3)/(154504),BAG,,,32,,,,A,7,,,,,,,
'15090005,น้ำตาลอ้อยธรรมชาติ(แดง)มิตรผล 1 กก.(1x5)/(900501),KG,,,32,,,,A,7,,,,,,,
'15010147,ถั่วเขียวเลาะเปลือกไร่ทิพย์ 500ก.(1x6)/(223244),BAG,,,35,,,,A,7,,,,,,,
'15120062,ซอสเย็นตาโฟ,BTL,,,35,,,,A,7,,,,,,,
'15010008,เกล็ดขนมปังป่นปรุงรสโลโบ 350ก.(1x3)/(163223),BAG,,,38,,,,A,7,,,,,,,
'15090010,น้ำเชื่อมมิตรผล 800ก.,BAG,,,38,,,,A,7,,,,,,,
'15120027,เต้าเจี้ยว เด็กสมบูรณ์ 800ก.(1x3)/(147573),BTL,,,38,,,,A,7,,,,,,,
'15090018,น้ำตาลไอซ์ซิ่งลิน 900ก.(202995),BAG,,,39,,,,A,7,,,,,,,
'15010080,เนื้อทูน่าสเต็กในน้ำมันถั่วเหลืองนอติลุส 170ก.,CAN,,,40,,,,A,7,,,,,,,
'15010136,ส้มแมนดารีนโดล 425ก.,CAN,,,43,,,,A,7,,,,,,,
'15010032,ถั่วแดงหลวง 500ก.(830331) ไร่ทิพย์,BAG,,,47,,,,A,7,,,,,,,
'15120040,ซอสพริกศรีราชาพาณิชย์ 570ก.(1x3)/(93548),BTL,,,47,,,,A,7,,,,,,,
'15010079,เมล็ดเดือย 1/2กก.ไร่ทิพย์,KG,,,47,,,,A,7,,,,,,,
'15090001,น้ำตาลทรายแดงละเอียดมิตรผล(เฉาก๊วย) 1 กก.,BAG,,,49,,,,A,7,,,,,,,
'15120055,ซีอิ๊วขาว#สูตร1 เด็กสมบูรณ์ 700มล.(1x3)/(146465),BTL,,,50,,,,A,7,,,,,,,
'15120035,ซอสพริก ศรีราชา 900ก.(237969),BAG,,,52,,,,A,7,,,,,,,
'15120049,ซอสปรุงรสฝาเขียว ภูเขาทอง 1 ลิตร(1x3)/43615,BTL,,,52,,,,A,7,,,,,,,
'15120028,ซีอิ๊วหวาน เด็กสมบูรณ์ 970CC.(1x3)/(840135),BTL,,,52,,,,A,7,,,,,,,
'15010042,ถั่วลิสงดิบเม็ด 500 กรัมไร่ทิพย์,KG,,,52,,,,A,7,,,,,,,
'15010044,ถั่วลิสงเลาะเปลือกไร่ทิพย์ 500ก.(1x6)/(185825),BAG,,,55,,,,A,7,,,,,,,
'15010043,ถั่วลิสงป่นไร่ทิพย์ 500ก.(829924),BAG,,,55,,,,A,7,,,,,,,
'15120004,น้ำกะทิ อร่อยดี 1ล.(1x2)/(171607),BOX,,,59,,,,A,7,,,,,,,
'15120041,น้ำกะทิชาวเกาะ 1ล.(1x2)/(164898),BOX,,,59,,,,A,7,,,,,,,
'15130062,ใบโรสแมรี่ เอลเอวิออน 100ก.(184444),BAG,,,60,,,,A,7,,,,,,,
26010069,น้ำผลไม้-แครนเบอร์รี่ทิปโก้ 1 ลิตร(1x3)/167690,Box,,,60,,,,A,7,,,,,,,
13000014,น้ำผลไม้-น้ำสับปะรดทิปโก้ 970 มล.(1x3)/(438100),BOX,,,60,,,,A,7,,,,,,,
26010072,น้ำหวานเข้มข้น-แกรนนาดีนสีแดง ตราจัมโบ้เอ 720 มล.,Btl,,,60,,,,A,7,,,,,,,
'15120039,ซีอิ๊วหวานง่วนเชียง 700ซีซี.(1x3)/(394251),BTL,,,62,,,,A,7,,,,,,,
'15010016,เห็ดแชมปิญองน้ำตาลยูเอฟซี 425ก.(1x3)/(142057),CAN,,,64,,,,A,7,,,,,,,
13000001,น้ำผลไม้-แอปเปิ้ลมาลี 1 ลิตร(1x3)/(757822),BOX,,,65,,,,A,7,,,,,,,
13000011,น้ำผลไม้-มะม่วงผสมผลไม้รวมมาลี 1 ลิตร,BOX,,,65,THB,0,0,A,7,0,,,,,,
26010074,น้ำผลไม้-ส้มเขียวหวาน ตรามาลี 1 ลิตร1*3(693134),Box,,,65,,,,A,7,,,,,,,
13000013,น้ำผลไม้-สับปะรดมาลี 1 ลิตร(757848),BOX,,,65,,,,A,7,,,,,,,
13000032,น้ำผลไม้-สับปะรดมาลี 1 ลิตร,BTL,,,65,,,,A,7,,,,,,,
'15000020,ชาเขียวนมสีเขียวตรามือ 200ก.(155848),BAG,,,68,,,,A,7,,,,,,,
'15000028,ชาตรามือฉลากแดง 400ก.(155655),BAG,,,68,,,,A,7,,,,,,,
'15120038,น้ำส้มสายชู ฉลากทอง 4500มล.,GAL,,,68,,,,A,7,,,,,,,
'15090012,น้ำผลไม้เข้มข้น-สตรอว์เบอรี่สควอช ติ่งฟง 760มล.(210439),BAG,,,73,,,,A,7,,,,,,,
'15090004,น้ำเชื่อมเมเบิ้ล อิมพีเรียล 730มล.(156302),BTL,,,74,,,,A,7,,,,,,,
'15010155,RUMBUTAN WHOLE IN SYSRUB UFC 565G.(1x6)/(116315),CAN,,,76,,,,A,7,,,,,,,
'15010038,เม็ดมัสตาร์ด 40ก.(6IP465038) เดอร์กี้,BAG,,,77,,,,A,7,,,,,,,
'15120020,ซอสพริกทาบาสโก้ 60มล.(1x3)/(10244),BTL,,,77,,,,A,7,,,,,,,
'15130028,ผงมะนาว คนอร์ 400ก.(201908),BAG,,,78,,,,A,7,,,,,,,
'15130004,ผงปรุงรสไก่ คนอร์อร่อยชัวร์ 800ก.1*10/(844335),BAG,,,79,,,,A,7,,,,,,,
'15000026,ชาจีนอู่หลงระมิงค์ 1.5ก.(1x25),BOX,,,80,,,,A,7,,,,,,,
'15010126,ผลไม้กระป๋อง-ลำใยกระป๋องยูเอฟซี 565ก.(1x3)/(142065),CAN,,,80,,,,A,7,,,,,,,
'15010131,ผลไม้กระป๋อง-ลิ้นจี่ในน้ำเชื่อมยูเอฟซี 565ก.(1x3)/(142063),CAN,,,80,,,,A,7,,,,,,,
'15120037,น้ำส้มสายชูภูเขาทอง 5 ลิตร(117817),GAL,,,80,,,,A,7,,,,,,,
'15010052,น้ำมันน้ำพริกเผาตราแม่ประนอม 750 มล.,BTL,,,82,,,,A,7,,,,,,,
'15080001,เบคกิ้งโซดา แม็กกาแรต 1 กก.(830864),BAG,,,83,,,,A,7,,,,,,,
'15010082,เกร็ดขนมปังโลโบ 1กก.(191684),BAG,,,84,,,,A,7,,,,,,,
'15090017,น้ำเชื่อมรสน้ำผึ้ง อิมพีเรียล 670มล.(119562),BTL,,,85,,,,A,7,,,,,,,
'15120060,ซอสมะเขือเทศ โรซ่า 10ก.(1x100)/(117002),PACK,,,88,,,,A,7,,,,,,,
'15090021,เกลือป่นตรามือ(มัด),BAG,,,90,,,,A,7,,,,,,,
'15010101,ถั่วจีนปอกเปลือก,KG,,,90,,,,A,7,,,,,,,
'15130023,ผงชูรส ตราช้อน 1000ก.(107726),KG,,,90,,,,A,7,,,,,,,
'15120017,น้ำจิ้มสุกี้กวางตุ้งพันท้าย 830ก.(1x3)/(115834),BTL,,,94,,,,A,7,,,,,,,
'15130036,ผงปรุงอาหารรสไก่ รสดี  800ก.(100113),BAG,,,95,,,,A,7,,,,,,,
'15020012,บ๊วยดอง 1800 กรัม  มี 900 กรัม,BTL,,,95,,,,A,7,,,,,,,
'15010072,กระเทียมเจียว 0.5 กก. ไร่ทิพย์,BAG,,,100,,,,A,7,,,,,,,
