SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,,,,,
'10020019,CHICKEN BLOOD(ก้อน),เลือดไก่(ก้อน),KG,,,33,,,,N,0,,,,,,,
11000038,ปลาทูนึ่งทั้งตัวขนาด(10-12 ตัว/กก.)3 ตัว/แพ็ค ตราวรา(174471) : ,ปลาทูนึ่งทั้งตัวขนาด(10-12 ตัว/กก.)3 ตัว/แพ็ค ตราวรา(174471),Pack,0,0,45,,,,,,,,,,,,
'10050003,BALLS FISH SHEET 500G.,ลูกชิ้นปลาแผ่น 500 กรัม,PACK,,,48,,,,,,,,,,,,
'11040005,OYSTER LOCAL,หอยนางรมไทยใหญ่,PCS,,,50,,,,,,,,,,,,
'10020002,CHICKEN BLOOD,เลือดไก่,KG,,,60,,,,N,0,,,,,,,
'11040006,SWEET CLAM ( LOCAL ),หอยหวานไทย,KG,,,65,,,,,,,,,,,,
'11040001,หอยตลับใหญ่,หอยตลับใหญ่,KG,,,65,,,,N,0,,,,,,,
'11000022,SABA FISH (108009),ปลาซาบะ(108009),KG,,,70,,,,,,,,,,,,
'10050039,FISH MEAT BALL,ลูกชิ้นปลากลมธรรมดา,KG,,,74,,,,,,,,,,,,
'10050041,LOUK CHIN PLA,ลูกชิ้นปลากลม,PACK,,,74,,,,,,,,,,,,
'10050006,CHICKEN MEAT BALL,ลูกชิ้นไก่,KG,,,75,,,,,,,,,,,,
'10020023,CHICKEN WHOLE,ไก่ตัว,KG,,,75,,,,N,0,,,,,,,
'10020020,CHICKEN BREAST WITH SKIN SLICE,อกไก่ติดหนังสไลด์,KG,,,78,,,,N,0,,,,,,,
'10020022,CHICKEN CUTED,ไก่สับชิ้น(ทอด),KG,,,78,,,,N,0,,,,,,,
'10020001,CHICKEN  CUTED,ไก่สับชิ้น(แกง),KG,,,78,,,,N,0,,,,,,,
'11040003,MUSSEL,หอยแมลงภู่,KG,,,80,,,,N,0,,,,,,,
'10050027,BALL FISH SMALL,ลูกชิ้นปลากลมเล็ก(ลูกชิ้นปลาบัวลอย),KG,,,80,,,,,,,,,,,,
'10010021,กระดูกเล้งหมู สับ,กระดูกเล้งหมู(สับ),KG,,,80,,,,N,0,,,,,,,
'10020013,MIXED OFFAL CHICKEN,เครื่องในไก่,KG,,,83,,,,N,0,,,,,,,
'10020006,CHICKEN FILLET,สันในไก่,KG,,,85,,,,N,0,,,,,,,
'10050030,CHICKEN 'S TENDON BALLS,ลูกชิ้นเอ็นไก่,KG,,,85,,,,,,,,,,,,
'10020008,CHICKEN MEAT GROUND,ไก่บด,KG,,,85,,,,N,0,,,,,,,
