SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'20000001,COKE CAN 325 ML.(1x24)/(358579),โค้ก(กระป๋อง) 325มล.(1x24)/(358579),TRAY,,,309,,,,A,7,,
'20000002,COKE LIGHT CAN 325 ML.(1x24)/(100512),โค้กไลท์(กระป๋อง) 325มล.(1x24)/(100512),TRAY,,,309,,,,A,7,,
'20000003,COKE PLASTIC BTL 1.25 L. (1x12)/(358891),โค้ก(ขวด) 1.25ล.(1x12)/(358891),PACK,,,324,,,,A,7,,
'20000004,ORANGE FANTA CAN 325 ML.(1x24)/(358657),น้ำส้มแฟนต้า(กระป๋อง) 325มล.(1x24)/(358657),TRAY,,,333,,,,A,7,,
'20000008,SODA WATER ONE WAY SINGHA 325 ML.(1x24)/(160629),โซดาวันเวย์ สิงห์ 325มล.(1x24)/(160629),TRAY,,,193,,,,A,7,,
'20000017,SODA WATER ROCK 325 ML.(1x24)/(810465),โซดาร๊อค 325มล. (1x24)/(810465),TRAY,,,184,,,,A,7,,
'21000001,BEER CORONA EXTRA BTL 330 ML. (1x24),เบียร์โคโรน่าเอ็กซ์ตร้า(ขวด) 330มล.(1x24)/ลัง,CASE,,,1580,,,,A,7,,
'21010001,BEER CHANG CLASSIC CAN 320 ML.(1*24)/(250315),เบียร์ช้างคลาสสิค(กระป๋อง)320มล. (1*24)/(250315),TRAY,,,714,,,,A,7,,
'21010002,BEER CHANG COLD BREW CAN 490 ML.(1x12)/(854716),เบียร์ช้างโคลด์บูรว์(กระป๋อง)490มล.(1x12)/(854716),TRAY,,,535,,,,A,7,,
'21010003,BEER CHANG LARGE 620 ML.(1x12)/(190814),เบียร์ช้างคลาสสิค(ขวด)620มล.(1x12)/(190814),CASE,,,602,,,,A,7,,
'21010004,BEER CHANG(DRAUGHT) 30L./TANK,เบียร์ช้างสด 30 ลิตร/ถัง,TANK,,,2697,,,,A,7,,
'21010005,BEER HEINEKEN CAN 320 ML.(1x24)(805003),เบียร์ไฮเนเก้น 320มล.(1x24)/(805003),TRAY,,,966,,,,A,7,,
'21010006,BEER SINGHA CAN 320 ML.(1x24)/(223275),เบียร์สิงห์(กระป๋อง) 320มล.(1x24)/(223275),TRAY,,,783,,,,A,7,,
'21010008,BEER CHANG CLASSIC SMALL BTL 320ML.(1x24)/(330603),เบียร์ช้างคลาสสิค(ขวด ) 320 ML.(1x24)/(330603),CASE,,,714,,,,A,7,,
'21010011,BEER HEINEKEN SMALL BTL 330ML.(1x24)/(203866),เบียร์ไฮเนเก้น(ขวด )330มล.(1x24)/(203866),CASE,,,988,,,,A,7,,
'21010012,BEER LEO CAN  330 ML.(1x24)/(343824),เบียร์ลีโอ(กระป๋อง)330มล.(1x24)/(343824),TRAY,,,728,,,,A,7,,
'21010015,BEER SINGHA SMALL 320 ML.(1x24)/(190333),เบียร์สิงห์(ขวด) 320มล.(1x24)/(190333),CASE,,,797,,,,A,7,,
'22020023,H.W.SAMBUCA 75 CL,H.W.SAMBUCA 75 CL,BTL,,,674,,,,A,7,,
'22030001,BAILEY'S IRISH CREAM 70 CL,BAILEY'S IRISH CREAM 70 CL,BTL,,,1069,,,,A,7,,
'22050001,KHALUA 70 CL.(64961),KHALUA 70 CL.(64961),BTL,,,1055,,,,A,7,,
'22120001,PALM LEAF COCONUT 70 CL,PALM LEAF COCONUT 70 CL,BTL,,,414,,,,A,7,,
'22130007,CHALONG BAY 700 ML.,CHALONG BAY 700 ML.,BTL,,,655,,,,A,7,,
'22150005,JOHNNIE BLACK LABLE 70 CL. (113087) ,JOHNNIE BLACK LABLE 70 CL. (113087),BTL,,,1300,,,,A,7,,
'24000001,WHITE WINE FOR COOKING GOSSIPS 3L.(836001),ไวท์ขาวปรุงอาหารกอสซิบ 3ล.(836001),BOX,,,745,,,,A,7,,
'22100001,GORDON'S DRY GIN 70 CL.(108848),GORDON'S DRY GIN 70 CL.(108848),BTL,,,759,,,,A,7,,
