SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'30000001,คลิปหนีบดำ 2 นิ้ว NO.108 HORSE (1*12)/กล่อง,คลิปหนีบดำ 2 นิ้ว NO.108 HORSE (1*12)/กล่อง,BOX,,,66,,,,I,7,,
'30000002,คลิปหนีบดำ 1 นิ้ว NO.111 HORSE (1*12)/กล่อง,คลิปหนีบดำ 1 นิ้ว NO.111 HORSE (1*12)/กล่อง,BOX,,,24,,,,I,7,,
'30000004,CALCULATOR PAPER ROLL - 2.1/4 '' (1*10)/PACK,"กระดาษเครื่องคิดเลข 2.1/4""(1*10)/แพ็ค",PACK,,,90,,,,I,7,,
'30000005,CARD PAPER COLORS RED A4 120G.(1*50),กระดาษการ์ดสีแดง A4120G.(1*50),PACK,,,65,,,,I,7,,
'30000006,CHEMICAL MARKER PEN BLACK (HORSE ),ปากกาเคมี 2 หัว สีดำ ตราม้า,PCS,,,13,,,,I,7,,
'30000007,CHEMICAL MARKER PEN BLUE (HORSE ),ปากกาเคมี 2 หัว สีน้ำเงิน ตราม้า,PCS,,,13,,,,I,7,,
'30000008,CHEMICAL MARKER PEN RED (HORSE ),ปากกาเคมี 2 หัว สีแดง ตราม้า,PCS,,,13,,,,I,7,,
'30000009,CUTTER BIG PLASATIC 18 mm.,คัตเตอร์ใหญ่ด้ามพลาสติกขนาด 18 มม.,PCS,,,22,,,,I,7,,
'30000010,CUTTER BLADES BIG 18mm. (1*6)/PACK,ใบมีดคัตเตอร์ใหญ่ 18 มม.30 องศา (1*6)/แพ็ค,PACK,,,15,,,,I,7,,
'30000011,CUTTER BLADES SMALL 9mm (1*10) /PACK,ใบมีดคัตเตอร์เล็ก 9 มม. 30 องศา (1*10)/แพ็ค,PACK,,,12,,,,I,7,,
'30000012,CUTTER SMALL SILVER 3MM. HORSE,คัตเตอร์เล็ก Silver ขนาด 9 มม.ตราม้า,PCS,,,32,,,,I,7,,
'30000014,DOUBLE-SIDED FOAM TAPE 21MM.x 5M. 3M,เทปโฟม 2 หน้า 21 มม. X 5 เมตร 3M,ROLL,,,195,,,,I,7,,
'30000015,ENVELOPE BROWN STRONG A4 (1*50)/PACK,ซองกระดาษสีน้ำตาล ขนาด A4 ( 1*50 ชิ้น ),PACK,,,150,,,,I,7,,
'30000017,FILE FASTENER 8 cm.,ลิ้นแฟ้มเหล็กสีเงิน 8 ซม. (ชุด50ชิ้น),BOX,,,80,,,,I,7,,
'30000018,FINGERTIP MOISTENER CREAM,ขี้ผึ้งนับธนบัตรยี่ห้อ elfen,PCS,,,29,,,,I,7,,
'30000019,GLUE STIC UHU 21 G.,กาวแท่ง UHU 40 กรัม,PCS,,,84,,,,I,7,,
'30000020,HANGING FILE ( 1*10 PCS ),แฟ้มแขวน ตราช้าง (1*10/แพ็ค) คละสี,PACK,,,130,,,,I,7,,
