รหัสสินค้า,รายละเอียด (อังกฤษ),รายละเอียด,หน่วย,จากจำนวน,เป็นจำนวน,ราคาเสนอ,แถม,ส่วนลด %,ส่วนลด,ประเภทภาษี,อัตราภาษี,รหัสสินค้าผู้ขาย,หมายเหตุ,หมายเหตุ
'14060007,QUAIL EGG 50 PCS(132312),ไข่นกกระทาดิบ 50 ฟอง(132312),PCS,,,3.68,,,,N,0,,,
'15010003,BAKED BEANS IN TOMOTO 425G.(1x24)/(230091),ถั่วขาวในน้ำมะเขือเทศ 425ก.(1x24)/(230091),CASE,,,5.52,,,,A,7,,,
'15090008,SALT PHUNG TIP  0.5KG.(1x6)/(106960),เกลือปรุงทิพย์  0.5 กก.(1x6)/(106960),BAG,,,6.541666667,,,,A,7,,,
'14040001,PLAN YOGHURT DUTCHIE 90G.(1x4)/(845279),โยเกิร์ตรสธรรมชาติดัชมิลล์ 90ก.(1x4)/(845279),CUP,,,9.5675,,,,A,7,,,
'14000003,MILK FALCON 368ML.(1x6)/(104517),นมข้นจืดนกเหยี่ยว 368มล.(1x6)/(104517),CAN,,,9.813333333,,,,A,7,,,
'15040009,WAI WAI NOODLE DRIED 180G.(1x12)/(990899),เส้นหมี่อบแห้งไวไว 180ก.(1x12)/(990899),BAG,,,11.53083333,,,,A,7,,,
'15090019,NATURAL SUGAR MITR PHOL 500G.(1x12)/(230445),น้ำตาลอ้อยธรรมชาติ(แดง)มิตรผล 500ก.(1x12)/(230445),BAG,,,13.73833333,,,,A,7,,,
'15010116,GREEN MUSTARD PIGEON DOUBLE 140G.(1x6)/(68666),ผักกาดดอง(ฝาดึง)นกพิราบคู่ 140ก.(1x6)/(68666),CAN,,,14.55666667,,,,A,7,,,
'12000016,KIWI FRUIT (1x6)(192259),กีวี (1x6)(192259),PCS,,,15.58333333,,,,N,0,,,
'15010083,GREEN MUSTARD PICKLE PIGEON 140G.(1x6)/(67886),ผักกาดดองนกพิราบคู่ 140ก.(1x6)/(67886),CAN,,,16.68333333,,,,A,7,,,
'15010135,MACKEREL IN TOMATO ROZA 155 G. (1x10) (142387),ปลาป๋องในซอสมะเขือเทศโรซ่า 155ก.(1x10)/(142387),CAN,,,17.075,,,,A,7,,,
'15010141,MIX PICKLED VEGETABLE PIGEON 140G.(1x6)/(65975),ผักผสมดองเค็มซีเซ็กฉ่ายนกพิราบ 140ก.(1x6)(65975),CAN,,,17.99,,,,A,7,,,
'15120005,COCONUT CREAM AROY-D 250ML.(1x6)/(147234),น้ำกะทิ อร่อยดี 250 มล.(1x6)/(147234),PACK,,,20.28,,,,A,7,,,
'15120006,COCONUT FRAGRANT AROY-D 250ML.(1x6)/(198580),น้ำกะทิอบควันเทียน อร่อยดี 250มล.(1x6)/(198580),PACK,,,20.935,,,,A,7,,,
'14000011,MILK FLAVOURED FALCON 375ML.(1x6)/(104517),นมข้นจืดนกเหยี่ยว 375 มล.(1x6)(104517),CAN,,,22.08,,,,A,7,,,
'14000022,ครีมพร่องไขมันคาร์เอ็กตร้า 385ก.(1x6)/23569,ครีมพร่องไขมันคาร์เอ็กตร้า 385ก.(1x6)/(23569),CAN,,,23.55166667,,,,A,7,,,
'14000009,SWEETENED CREAMER CARNATION 388G.(1x6)/(24700),ครีมเทียมข้นหวานคาร์เนชัน 388ก.(1x6)/(24700),CAN,,,23.715,,,,A,7,,,
'15120019,SOUR SAUCE DEER HEAD 600ML.(1x3)/840159,ซอสเปรี้ยวหัวกวาง 600 มล.(1x3)/(840159),BTL,,,23.87666667,,,,A,7,,,
'15120043,COCONUT FRAGRANT CHAOKOH 250ML.(1x6 BOX)/(180973),น้ำกะทิอบควันเทียนชาวเกาะ 250มล.(1x6)/(180973),BOX,,,23.87833333,,,,A,7,,,
'15120042,COCONUT CREAM CHAOKOH 250ML.(1x6)/(164908),น้ำกะทิชาวเกาะ 250มล.(1x6)/(164908),BOX,,,24.36833333,,,,A,7,,,
