SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'70000012,VR CHARDONNAY 750ML./AUS.,VR CHARDONNAY 750ML./AUS.,Btl,,,380,,,,A,7,,
'70010009,VR CABERNET SAUVIGNON 750ML./AUS.,VR CABERNET SAUVIGNON 750ML./AUS.,Btl,,,380,,,,A,7,,
'70010013,TARAPACA CABERNET SAUVIGNON 750ML./CHILE,TARAPACA CABERNET SAUVIGNON 750ML./CHILE,Btl,,,450,,,,A,7,,
'70000018,GATO NEGRO CHARDONNAY 750ML./CHILE,GATO NEGRO CHARDONNAY 750ML./CHILE,Btl,,,460,,,,A,7,,
'70000019,TARAPACA SAUVIGNON BLANC 750ML./CHILE,TARAPACA SAUVIGNON BLANC 750ML./CHILE,Btl,,,460,,,,A,7,,
'70010012,GATO NEGRO MERLOT 750ML./CHILE,GATO NEGRO MERLOT 750ML./CHILE,Btl,,,460,,,,A,7,,
'70000013,HARDYS NOTTAGE HILL CHARDONNAY 750ML./AUS.,HARDYS NOTTAGE HILL CHARDONNAY 750ML./AUS.,Btl,,,550,,,,A,7,,
'70010010,HARDYS NOTTAGE HILL SHIRAZ 750ML./AUS.,HARDYS NOTTAGE HILL SHIRAZ 750ML./AUS.,Btl,,,550,,,,A,7,,
'70040005,HARDYS CREST SPARKLING MOSCATO 750ML./AUS.,HARDYS CREST SPARKLING MOSCATO 750ML./AUS.,Btl,,,550,,,,A,7,,
'70040006,PICCINI PROSECCO DOC 750ML./ITALY,PICCINI PROSECCO DOC 750ML./ITALY,Btl,,,690,,,,A,7,,
'70000015,ROBERT MONDAVI WOODBRIDGE PINOT GRIGIO 750ML./USA.,ROBERT MONDAVI WOODBRIDGE PINOT GRIGIO 750ML./USA.,Btl,,,700,,,,A,7,,
'70010014,ROBERT MONDAVI WOODBRIDGE CABERNET SAUVIGNON 750ML./USA.,ROBERT MONDAVI WOODBRIDGE CABERNET SAUVIGNON 750ML./USA.,Btl,,,700,,,,A,7,,
'70000017,PICCINI VERMENTINO COSTA TOSCANA IGT 750ML./ITALY,PICCINI VERMENTINO COSTA TOSCANA IGT 750ML./ITALY,Btl,,,720,,,,A,7,,
'70010016,PICCINI ROSSO COSTA TOSCANA IGT 750ML./ITALY,PICCINI ROSSO COSTA TOSCANA IGT 750ML./ITALY,Btl,,,720,,,,A,7,,
'70000016,TWIN OAKS CHARDONNARY 750ML./USA.,TWIN OAKS CHARDONNARY 750ML./USA.,Btl,,,790,,,,A,7,,
'70010015,TWIN OAKS CABERNET SAUVIGNON 750ML./USA.,TWIN OAKS CABERNET SAUVIGNON 750ML./USA.,Btl,,,790,,,,A,7,,
'70000014,HOWARD PARK FLINT ROCK CHARDONNAY 750ML./AUS.,HOWARD PARK FLINT ROCK CHARDONNAY 750ML./AUS.,Btl,,,880,,,,A,7,,
'70010011,HOWARD PARK FLINT ROCK SHIRAZ 750ML./AUS.,HOWARD PARK FLINT ROCK SHIRAZ 750ML./AUS.,Btl,,,880,,,,A,7,,
