SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,
'10020019,CHICKEN BLOOD(ก้อน),เลือดไก่(ก้อน),KG,,,30,,,,N,0,,,
'10020002,CHICKEN BLOOD,เลือดไก่,KG,,,30,,,,N,0,,,
'10020003,CHICKEN BONE ( RIBS ),ซี่โครงไก่,KG,,,30,,,,N,0,,,
'10050003,BALLS FISH SHEET 500G.,ลูกชิ้นปลาแผ่น 500 กรัม,PACK,,,44,,,,N,0,,,
'10000008,BEEF BONE LOCAL,กระดูกวัว,KG,,,50,,,,N,0,,,
'10000001,BEEF BONE CUT,กระดูกวัวตัด,KG,,,55,,,,N,0,,,
'10020025,ข้อไก่,ข้อไก่,KG,,,60,,,,N,0,,,
'10020022,CHICKEN CUTED,ไก่สับชิ้น(ทอด),KG,,,64,,,,N,0,,,
'10020001,CHICKEN  CUTED,ไก่สับชิ้น(แกง),KG,,,64,,,,N,0,,,
'17080003,FROZEN SQUID SLICED(RINGS),หมึกกล้วยหั่นวงแหวน  แช่แข็ง ,KG,,,62,,,,N,0,,,
'17080002,FROZEN SQUID SLICE(PINEAPPLE),หมึกกล้วยหั่นบั้งสับปะรด  แช่แข็ง ,KG,,,62,,,,N,0,,,
'17080006,หมึกกล้วยบั้งตาสับปะรดแช่แข็ง 1 กก.(227491),หมึกกล้วยบั้งตาสับปะรดแช่แข็ง 1 กก.(227491),KG,,,62,,,,N,0,,,
'10010021,กระดูกเล้งหมู สับ,กระดูกเล้งหมู(สับ),KG,,,68,,,,N,0,,,
'17060003,FROZEN MIXED VEGETABLE DX 103(125186),ผักรวมแช่แข็ง DX103(125186),KG,,,68,,,,N,0,,,
'10020013,MIXED OFFAL CHICKEN,เครื่องในไก่,KG,,,75,,,,N,0,,,
'10020023,CHICKEN WHOLE,ไก่ตัว,KG,,,78,,,,N,0,,,
'10010023,ขาหมู (ขาหน้า),ขาหมู (ขาหน้า),KG,,,78,,,,N,0,,,
'10020008,CHICKEN MEAT GROUND,ไก่บด,KG,,,82,,,,N,0,,,
'10050039,FISH MEAT BALL,ลูกชิ้นปลากลมธรรมดา,KG,,,78,,,,N,0,,,
'10050027,BALL FISH SMALL,ลูกชิ้นปลากลมเล็ก(ลูกชิ้นปลาบัวลอย),KG,,,78,,,,N,0,,,
'10050041,LOUK CHIN PLA,ลูกชิ้นปลากลม,PACK,,,78,,,,N,0,,,
'10050006,CHICKEN MEAT BALL,ลูกชิ้นไก่,KG,,,75,,,,N,0,,,
'10020020,CHICKEN BREAST WITH SKIN SLICE,อกไก่ติดหนังสไลด์,KG,,,80,,,,N,0,,,
'10020017,CHICKEN DRUM STICK WITH SIDE,น่องไก่ติดสะโพก,KG,,,82,,,,N,0,,,
'17060001,SPINACH BALL  1KG. (110002),ผักโขมกลมแช่แข็ง 1 กก.(110002),KG,,,75,,,,N,0,,,
'17080008,FROZEN DORRY FISH FILLER,เนื้อปลาดอลลี่แช่แข็ง,KG,,,80,,,,N,0,,,
'10010004,PORK FAT,มันหมูแข็ง,KG,,,85,,,,N,0,,,
'17060002,FROZEN GREEN PEAS 1KG.(134972),ถั่วลันเตาแช่แข็ง 1 กก.(134972),KG,,,80,,,,N,0,,,
'10020016,CHICKEN BREAST WITH SKIN 2KG.,อกไก่ติดหนัง 2 กก.,KG,,,86,,,,N,0,,,
'10020005,CHICKEN DRUM STICKS 2KG.,น่องไก่ล้วน 2 กก.,KG,,,82,,,,N,0,,,
'10050013,KAI YO SIZE 1KG.,ไก่ยอแท่ง 1 กก.,KG,,,85,,,,N,0,,,
'10050030,CHICKEN 'S TENDON BALLS,ลูกชิ้นเอ็นไก่,KG,,,85,,,,N,0,,,
'11000003,CAT FISH FRESH SLICED,ปลาดุกหั่นเนื้อล้วน,KG,,,85,,,,N,0,,,
'10020018,CHICKEN WINGS UP (Halan) 2KG.(893188),ปีกไก่บนฮาลาล 2 กก.(893188),KG,,,84,,,,N,0,,,
'17020003,ปีกบนไก่แช่แข็งซีพี 2 กก.(830397),ปีกบนไก่แช่แข็งซีพี 2 กก.(830397),KG,,,86,,,,N,0,,,
'17020004,อกไก่ลอกหนังสไลด์ แช่แข็ง (เบทาโกร) ,อกไก่ลอกหนังสไลด์ แช่แข็ง (เบทาโกร) ,KG,,,90,,,,N,0,,,
'17020001,FROZEN  BROILER CHICKEN (0.8-1 กก.)/WHOLE,ไก่กระทง แช่แข็ง  (0.8-1 กก.)/ตัว  ,PCS,,,88,,,,N,0,,,
'10020011,CHICKEN TOP ROUND WITH SKIN SLICE (2KG.),สะโพกไก่ติดหนังสไลด์(2กก.),KG,,,92,,,,N,0,,,
'11000009,TAJONG FISH(HEAD CUT),ปลาตาจง(ตัดหัว),KG,,,88,,,,N,0,,,
'10020004,CHICKEN BREAST PACK 2KG.,อกไก่ลอกหนัง 2 กก.,KG,,,98,,,,N,0,,,
10010028,ขาหมู-ขาหลังสด(สับชิ้น),ขาหมู-ขาหลังสด(สับชิ้น),KG,,,95,,,,N,0,,,
'10010018,PORK LEG,ขาหมู (ขาหลัง),KG,,,95,,,,N,0,,,
'10020021,CHICKEN BREAST WITH WING,อกไก่ติดปีก,KG,,,95,,,,N,0,,,
'16010003,"FROZEN SPRING ROLL SHEET 6""(1x50PCS)(128502)","แผ่นปอเปี๊ยะแช่แข็ง สปริงโฮม 6""(1x50ชิ้น)/(128502)",BAG,,,95,,,,N,0,,,
'10050023,KANIKAMAOKO 500G./PACK,ปูอัด 500G./แพ็ค,PACK,,,95,,,,N,0,,,
'11000020,KIM SURE FISH FILLET,เนื้อปลากิมซั่วแล่,KG,,,95,,,,N,0,,,
'10020007,CHICKEN LRG,ตีนไก่(ตีนไก่ตัดเล็บ),KG,,,98,,,,N,0,,,
'10050031,CHICKEN SAUSAGE,ไส้กรอกไก่รมควัน(หนังกรอบ) 1000ก.,KG,,,100,,,,N,0,,,
'10020009,CHICKEN TOP ROUND  WITH OUT BONE&SKIN,สะโพกไก่ลอกหนังเลาะกระดูก,KG,,,98,,,,N,0,,,
'10020010,CHICKEN TOP ROUND  WITH SKIN 2 KG.,สะโพกไก่ติดหนังเลาะกระดูก 2 กก.,KG,,,98,,,,N,0,,,
'16010009,"TORTILLAS 8"" (1x10 PCS)/(110045)","แผ่นตอติญ่า 8"" (1x10 ชิ้น)/(110045)",PACK,,,98,,,,N,0,,,
'14010005,MAYONNAISE BESTFOOD 1KG.(1x9)/(184314),มายองเนสเบสฟู้ดส์ 1 กก.(1x9)/(184314),BAG,,,100,,,,N,0,,,
'10020012,CHICKEN WINGS,ปีกไก่เต็ม,KG,,,102,,,,N,0,,,
'10020006,CHICKEN FILLET,สันในไก่,KG,,,105,,,,N,0,,,
