SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'15010116,GREEN MUSTARD PIGEON DOUBLE 140G.(1x6)/(68666),ผักกาดดอง(ฝาดึง)นกพิราบคู่ 140ก.(1x6)/(68666),CAN,,,22,,,,A,7,,
'15010083,GREEN MUSTARD PICKLE PIGEON 140G.(1x6)/(67886),ผักกาดดองนกพิราบคู่ 140ก.(1x6)/(67886),CAN,,,22,,,,A,7,,
'15120042,COCONUT CREAM CHAOKOH 250ML.(1x6)/(164908),น้ำกะทิชาวเกาะ 250มล.(1x6)/(164908),BOX,,,27,,,,A,7,,
15120043,COCONUT FRAGRANT CHAOKOH 250ML.(1x6 BOX)/(180973),น้ำกะทิอบควันเทียนชาวเกาะ 250มล.(1x6)/(180973),BOX,,,27,,,,A,7,,
'15040006,NOODLE GLASS 400G.(1x12),เส้นหมี่หุ้นช้างสามเศียร 400ก.(1x12),BAG,,,28,,,,A,7,,
'15120019,SOUR SAUCE DEER HEAD 600ML.(1x3)/840159,ซอสเปรี้ยวหัวกวาง 600 มล.(1x3)/(840159),BTL,,,28,,,,A,7,,
'15010078,CANNED FISH IN TOMATO SAUCE,ปลากระป๋องในซอสมะเขือเทศ,CAN,,,28,,,,A,7,,
'15010135,MACKEREL IN TOMATO ROZA 155 G. (1x10) (142387),ปลาป๋องในซอสมะเขือเทศโรซ่า 155ก.(1x10)/(142387),CAN,,,28,,,,A,7,,
'15130061,RED PORK POWDER,ผงหมูแดง,PACK,,,30,,,,A,7,,
'15120009,MAGGI SAUCE 200ML.(1x6)/(108102),ซอสปรุงเหยาะจิ้ม แม็กกี้ 200มล.(1x6)/(108102),BTL,,,35,,,,A,7,,
'15120062,YEN TA FOUR SAUCE,ซอสเย็นตาโฟ,BTL,,,35,,,,A,7,,
'15120059,TOMATO SAUCE HEINZ  300 G. (1x3) (853136),ซอสมะเขือเทศ ไฮน์ 300ก.(1x3)/(853136),GAL,,,35,,,,A,7,,
'15090033,SUGAR WHITE LIN 1 KG. (1x5) (850514),น้ำตาลทรายขาว ลิน 1 กก.(1x5)/(850514),KG,,,35,,,,A,7,,
'15010028,GREEN BEAN,ถั่วเขียว,KG,,,36,,,,A,7,,
'15160002,CANDY STRAWBERRY FLAVOR HEARTBEAT (1x100) (139464),ลูกอมกลิ่นสตรอว์เบอร์รี ฮาร์ทบีท(1x100)/(139464),BAG,,,38,,,,A,7,,
'15050015,FLOUR GOGI POWDER 500G. (1x3)/(101079),แป้งโกกิ 500ก.(1x3)/(101079),BAG,,,45,,,,A,7,,
'15050006,แป้งมันสำปะหลังตราเจดีย์ 400ก.,แป้งมันสำปะหลัง ตราเจดีย์ 400ก.,BAG,,,45,,,,A,7,,
'15050003,FLOUR RICE ERAWAN 1KG.(183877),แป้งข้าวเจ้า ช้างสามเศียร 1 กก.(183877),KG,,,45,,,,A,7,,
'15050004,FLOUR TAPIOCA JADE LEAF 1 KG.(170111),แป้งมันสำปะหลัง ใบหยก 1 กก.(170111),KG,,,45,,,,A,7,,
'15050022,FLOUR STICKY RICE 1KG.,แป้งข้าวเหนียว ช้างสามเศียร 1 กก.,KG,,,49,,,,A,7,,
'15050002,FLOUR KITE 1KG.( 1x10 )/(184647),แป้งสาลี ตราว่าว 1 กก.( 1x10 )/(184647),KG,,,49,,,,A,7,,
'15120027,SOYBEAN SAUCE 800G.(1x3)/(147573),เต้าเจี้ยว เด็กสมบูรณ์ 800ก.(1x3)/(147573),BTL,,,50,,,,A,7,,
'15010008,BREAD CRUMBS LOBO 350G.(1x3)/(163223),เกล็ดขนมปังป่นปรุงรสโลโบ 350ก.(1x3)/(163223),BAG,,,53,,,,A,7,,
'15120051,SAUCE SOY LIGHT NGUAN CHIANG 700CC. (1x3)/(276458),ซีอิ๊วขาว ตราง่วนเชียง 700มล.(1x3)(276458),BTL,,,53,,,,A,7,,
'15140010,ข้าวเหนียวดิบเขี้ยวงูไร่ทิพย์ 1กก.(223239),ข้าวเหนียวดิบเขี้ยวงู ไร่ทิพย์ 1กก.(223239),KG,,,53,,,,A,7,,
'20010010,WATER DRINKING  BTL 330ML.(1x12)/(834640),น้ำดื่มเพียวไลท์ เนสเล่ 330 มล.(1x12)/(834640),PACK,,,54,,,,A,7,,
'15010147,PEELED SPLIT MUNG BEAN RAITIP 500G. (1x6)/(22324),ถั่วเขียวเลาะเปลือกไร่ทิพย์ 500ก.(1x6)/(223244),BAG,,,55,,,,A,7,,
'15010049,RAJMAH RED 500 G. (106384),ถั่วแดง 500ก.(106384),BAG,,,55,,,,A,7,,
'15010080,TUNA STEAK IN OIL NAUTILUS 170G.,เนื้อทูน่าสเต็กในน้ำมันถั่วเหลืองนอติลุส 170ก.,CAN,,,55,,,,A,7,,
'15010106,CORN SUGAR SURUB,แบะแซะใส,KG,,,55,,,,A,7,,
'15010044,PEELED PEANUTS RAITIP 500G.(1x6)/(185825),ถั่วลิสงเลาะเปลือกไร่ทิพย์ 500ก.(1x6)/(185825),Pack,,,55,,,,A,7,,
'15120040,CHILLI SAUCE SRIRACHA 570 G. (1x3) (93548),ซอสพริกศรีราชาพาณิชย์ 570ก.(1x3)/(93548),BTL,,,58,,,,A,7,,
'15050024,FLOUR WHEAT UFM RED LOTUS 1 KG. (1x10) (184651),แป้งเค้ก ตราบัวแดง 1 กก.(1x10)/(184651),KG,,,58,,,,A,7,,
'15120020,TABASCO SAUCE 60ML.(1x3)/(10244),ซอสพริกทาบาสโก้ 60มล.(1x3)/(10244),BTL,,,60,,,,A,7,,
'15120055,SOYBEAN SAUCE #1 HEALTHY BOY 700ML.(1x3)/(146465),ซีอิ๊วขาว#สูตร1 เด็กสมบูรณ์ 700มล.(1x3)/(146465),BTL,,,63,,,,A,7,,
'15120004,COCONUT CREAM A-ROI-DEE 1L.(1x2)/(171607),น้ำกะทิ อร่อยดี 1ล.(1x2)/(171607),BOX,,,65,,,,A,7,,
'15120041,COCONUT CREAM CHAOKOH 1L.(1x2)/(164898),น้ำกะทิชาวเกาะ 1ล.(1x2)/(164898),BOX,,,65,,,,A,7,,
'20010001,WATER DRINKING CHANG 1500 ML.(1x6)/PACK,น้ำดื่มช้าง 1500 มล.(1x6)/แพ็ค,PACK,,,65,,,,A,7,,
'20010002,WATER DRINKING  CHANG 600 ML.(1x12)/(110140),น้ำดื่มช้าง 600 มล.(1x12)/แพ็ค(110140),PACK,,,65,,,,A,7,,
'15160001,CANDY MIX FRUIT MENTOS (1x100) (916084),ลูกอมผลไม้รวม เมนทอส(1x100)/(916084),BAG,,,68,,,,A,7,,
'15160004,SOFT CANDY MILK COUGAR(1x100)/(256958),ลูกอมรสนม คูก้า(1x100)/(256958),BAG,,,68,,,,A,7,,
'15160005,YOGHURT CANDY COUGAR(1x100)/(198363),ลูกอมรสนมเปรี้ยวโยเกิร์ต คูก้า(1x100)/(198363),BAG,,,68,,,,A,7,,
'15160003,SOFT CANDY FRUIT MENTOS(1x100)/(916084),ลูกอมรสผลไม้ เมนทอส(1x100)/(916084),BAG,,,68,,,,A,7,,
'15010043,PEANUT GROUND RAITIP 500G.(829924),ถั่วลิสงป่นไร่ทิพย์ 500ก.(829924),BAG,,,70,,,,A,7,,
'15070007,CEREAL KELLOGG'S ALL BRAN 315G.,ซีเรียล-ออลบรานเคลล็อกส์  315ก.,BOX,,,70,,,,A,7,,
'15120028,SWEET SOYA SAUCE  970CC.(1x3)/(840135),ซีอิ๊วหวาน เด็กสมบูรณ์ 970CC.(1x3)/(840135),BTL,,,75,,,,A,7,,
'26010013,SYRUP CONCENTRATED-HULBLUEBOY SA-LA 710ML.,ไซรับเข้มข้น-กลิ่นสละสีแดงเฮลซ์บลูบอย 710 มล.,BTL,,,75,,,,A,7,,
'26010035,SYRUP CONCENTRATED-CREAM SODA HELBLUEBOY 710 ML.,น้ำหวานเข้มข้น-กลิ่นครีมโซดาเฮลซ์บลูบอย 710มล.,BTL,,,75,,,,A,7,,
'26010006,JUICE CONCENTRATED-GRENADINE RED JUMBO A 730 ML.,น้ำหวานเข้มข้น-แกรนนาดีนสีแดงตราจัมโบ้เอ 730 มล.,BTL,,,75,,,,A,7,,
'15120063,กะทิอบควันเทียน อร่อยดี 1 ล. (860117),กะทิอบควันเทียน อร่อยดี 1ล.(860117),BOX,,,80,,,,A,7,,
'15120039,BLACK SOYA SAUCE 700CC.(1x3)/(394251),ซีอิ๊วหวานง่วนเชียง 700ซีซี.(1x3)/(394251),BTL,,,80,,,,A,7,,
'15010074,SESAMI WHITE SEED RAITIP,เม็ดงาขาวไร่ทิพย์,KG,,,80,,,,A,7,,
'26010002,JUICE CRANBERRY TIPCO 1 L.(1x3)/(167690),น้ำผลไม้-แครนเบอร์รี่ทิปโก้ 1ลิตร(1x3)/(167690),BOX,,,83,,,,A,7,,
'13000014,JUICE  PINEAPPLE TIPCO 970ML.(1x3)/(438100),น้ำผลไม้-น้ำสับปะรดทิปโก้ 970 มล.(1x3)/(438100),BOX,,,83,,,,A,7,,
'13000011,JUICE MANGO MALEE 1L.,น้ำผลไม้-มะม่วงผสมผลไม้รวมมาลี 1 ลิตร,BOX,,,85,,,,A,7,,
'26010009,JUICE ORANGE MALEE 1 L (693134),น้ำผลไม้-ส้มเขียวหวานมาลี 1 ลิตร(693134),BOX,,,85,,,,A,7,,
'13000013,JUICE PINEAPPLE MALEE 1L.(757848),น้ำผลไม้-สับประรดมาลี 1 ลิตร(757848),BOX,,,85,,,,A,7,,
'13000002,JUICE APPLE TIPCO 1L.(1x3)/(438113),น้ำผลไม้-แอปเปิ้ลทิปโก้ 1 ลิตร(1x3)/(438113),BOX,,,85,,,,A,7,,
'13000001,JUICE APPLE MALEE 1L.(1x3)/(757822),น้ำผลไม้-แอปเปิ้ลมาลี 1 ลิตร(1x3)/(757822),BOX,,,85,,,,A,7,,
'15120058,TABASCO SAUCE 150 ML. (142293),ซอสพริกทาบาสโก้ 150มล.(142293),BTL,,,85,,,,A,7,,
'13000032,JUICE PINEAPPLE MALEE 1L,น้ำผลไม้-สับปะรดมาลี 1 ลิตร,BTL,,,85,,,,A,7,,
'15010016,CHAMPIGNON MUSHROOM UFC 425G. (1x3)/(142057),เห็ดแชมปิญองน้ำตาลยูเอฟซี 425ก.(1x3)/(142057),CAN,,,85,,,,A,7,,
'15010073,SESAMI BLACK SEED RAITIP,เม็ดงาดำไร่ทิพย์,KG,,,85,,,,A,7,,
'26010019,JUICE CONCENTRATED-MANGO SQUASH DING FONG 760ML.(823948),น้ำผลไม้เข้มข้น-มะม่วงสควอชติ่งฟง 760มล.(823948),BTL,,,90,,,,A,7,,
