SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'15090009,SALT PHUNG TIP 1KG.(1x24)/(106971),เกลือปรุงทิพย์ 1 กก.(1x24)/(106971),KG,,,13.73,,,,N,0,,
'15080002,BAKING SODA MCGARRETT 300G.(184247),เบคกิ้งโซดา แม็กกาแรต 300ก.(184247),BAG,,,27.48,,,,N,0,,
'15010050,RICE ROASTED RAITIP 500G. (221067),ข้าวคั่วไร่ทิพย์ 500ก.(221067),BAG,,,31.41,,,,N,0,,
'15010174,เมล็ดมัสตาร์ดดำ 200 ก. (175476),เมล็ดมัสตาร์ดดำ 200ก.(175476),BAG,,,31.5,,,,N,0,,
'15010024,FERMENTED FISH SAUCE TUM-MUA 350ML.(841206),น้ำปลาร้าปรุงรสตราตำมั่ว 500มล.(841206),BTL,,,32.38,,,,A,7,,
'15010059,YELLOW MUSTARD SEEDS 200G.(175477),เมล็ดมัสตาร์ดเหลือง 200ก.(175477),BAG,,,33.5,,,,N,0,,
'15050026,แป้งกวนไส้ ตราดาว 500 กรัม. (847900),แป้งกวนไส้ ตราดาว 500ก.(847900),BAG,,,34.35,,,,A,7,,
'15050003,FLOUR RICE ERAWAN 1KG.(183877),แป้งข้าวเจ้า ช้างสามเศียร 1 กก.(183877),KG,,,35.33,,,,N,0,,
'15130069,ชุดบักกุ๊ดเต๋ 55 กรัม(151987),ชุดบักกุ๊ดเต๋ 55 กรัม(151987),BAG,,,35.75,,,,N,0,,
'15050004,FLOUR TAPIOCA JADE LEAF 1 KG.(170111),แป้งมันสำปะหลัง ใบหยก 1 กก.(170111),KG,,,36.31,,,,N,0,,
'15160002,CANDY STRAWBERRY FLAVOR HEARTBEAT (1x100) (139464),ลูกอมกลิ่นสตรอว์เบอร์รี ฮาร์ทบีท(1x100)/(139464),BAG,,,36.31,,,,N,0,,
'15160004,SOFT CANDY MILK COUGAR(1x100)/(256958),ลูกอมรสนม คูก้า(1x100)/(256958),BAG,,,36.31,,,,N,0,,
'15160005,YOGHURT CANDY COUGAR(1x100)/(198363),ลูกอมรสนมเปรี้ยวโยเกิร์ต คูก้า(1x100)/(198363),BAG,,,36.31,,,,N,0,,
'15010032,KIDNEY BEANS 500G.(830331),ถั่วแดงหลวง 500ก.(830331),BAG,,,36.75,,,,N,0,,
'15160001,CANDY MIX FRUIT MENTOS (1x100) (916084),ลูกอมผลไม้รวม เมนทอส(1x100)/(916084),BAG,,,37.29,,,,N,0,,
'15160003,SOFT CANDY FRUIT MENTOS(1x100)/(916084),ลูกอมรสผลไม้ เมนทอส(1x100)/(916084),BAG,,,37.29,,,,N,0,,
'15090018,ICING SUGAR LIN 900 G. (202995),น้ำตาลไอซ์ซิ่งลิน 900ก.(202995),BAG,,,38.27,,,,N,0,,
'12000027,PINEAPPLE SRIRACHA (120101),สับปะรดศรีราชา/ปัตตาเวีย (120101),KG,,,41,,,,N,0,,
'14030008,FILLING STRAWBERRY BESTFOOD 900G. (1x9)/(183443),ฟิลลิ่งสตรอเบอร์รี่เบสท์ฟู้ด 900ก.(1x9)(183443),Case,,,42.2,,,,A,7,,
'14030006,FILLING BLUEBERRY BESTFOOD 900G.(1x9)/(183452),ฟิลลิ่งบลูเบอรี่เบสท์ฟู๊ดส์ 900ก.(1x9)/(183452),Case,,,43.18,,,,A,7,,
'14030007,FILLING ORANGE BESTFOOD 900G. (1*9)/(195761),ฟิลลิ่งส้มเบสท์ฟู๊ดส์ 900ก.(1*9)(195761),Case,,,43.18,,,,A,7,,
'20010010,WATER DRINKING  BTL 330ML.(1x12)/(834640),น้ำดื่มเพียวไลท์ เนสเล่ 330 มล.(1x12)/(834640),PACK,,,44.16,,,,N,0,,
'15080036,SNACK-CRACKER CHOCOLATE BALL TIVOLI 18G.(1x12)/(148765),ขนมขบเคี้ยว-แคร็กเกอร์ช็อกโกแลตทิวลี่บอล 18ก.(1x12)/(148765),PACK,,,45.63,,,,N,0,,
'15080059,SALTED PEANUTS KOH-KAE 20G.(1x12)/(129446),ถั่วลิสงอบเกลือโก๋แก่ 20ก.(1x12)/(129446),PACK,,,46.13,,,,N,0,,
'14000015,MILK CHOCOLATE FLAVOURED MEIJI 830ML.(298142),นมพาสเจอร์ไรซ์รสช็อกโกแลตเมจิ 830 มล. (298142),BTL,,,46.86,,,,N,0,,
'15080060,SANDWICH COOKIES OREO 137G.(1x2)/(120274),คุกกี้ช็อกโกแลตครีมโอรีโอ้ 137ก.(1x2)/(120274),PACK,,,47,,,,N,0,,
