รหัสสินค้า,รายละเอียด (อังกฤษ),รายละเอียด,หน่วย,จากจำนวน,เป็นจำนวน,ราคาเสนอ,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'12000001,APPLE GREEN,แอปเปิ้ลเขียว(6 ลูก/กก.),PCS,,,14,,,,N,0,,
'12000002,APPLE RED,แอปเปิ้ลแดง(6 ลูก/กก.),PCS,,,14,,,,N,0,,
'12000003,BANANA EGGS,กล้วยไข่,BUNCH,,,45,,,,N,0,,
'12000004,BANANA SWEET,กล้วยน้ำว้า,BUNCH,,,45,,,,N,0,,
'12000005,BLUEBERRY FRESH 125G.(103133),บลูเบอรี่สด 125ก.(103133),PACK,,,85,,,,N,0,,
'12000006,CHINESE ORANGE,ส้มจีน,KG,,,98,,,,N,0,,
'12000008,DRAGON FRUIT,แก้วมังกรขาว,KG,,,55,,,,N,0,,
'12000009,GRAPE RED IMPORT 1KG.(112406),องุ่นแดงนอก 1 กก.(112406),KG,,,120,,,,N,0,,
'12000010,GRAPES GREEN (320775),องุ่นเขียว(320775),KG,,,230,,,,N,0,,
'12000013,GUAVA FRUIT-กิมจู,ฝรั่งกิมจู,KG,,,38,,,,N,0,,
'12000014,JACK FRUIT PEELED WITH SEED,ขนุนแกะ(มีเม็ด),KG,,,85,,,,N,0,,
'12000015,JINTARA WATERMELON,แตงโมจินตรา,KG,,,22,,,,N,0,,
'12000016,KIWI FRUIT (1x6)(192259),กีวี (1x6)(192259),PCS,,,22,,,,N,0,,
'12000019,MANGO,มะม่วงดิบ,KG,,,40,,,,N,0,,
'12000021,MANGO YELLOW (2-3 ลูก/กก.) (189501),มะม่วงน้ำดอกไม้สุก(2-3 ลูก/กก.)/(189501),KG,,,115,,,,N,0,,
'12000022,ORANGE SUNQUID KG,ส้มซันควิด,KG,,,75,,,,N,0,,
'12000024,PAPAYA HONLAND,มะละกอฮอลแลนด์,KG,,,58,,,,N,0,,
'12000025,PAPAYA RAW,มะละกอดิบ,KG,,,28,,,,N,0,,
'12000026,PINEAPPLE LARGE,สับปะรดใหญ่,PCS,,,33,,,,N,0,,
'12000029,YOUNG COCONUT(CUT) - GREEN,มะพร้าวอ่อนปอกเปลือกปาดเขียว(ปาดหัว/ท้าย),PCS,,,20,,,,N,0,,
'12000030,แตงโมกินรี,แตงโมกินรี,KG,,,22,,,,N,0,,
'12000034,YOUNG COCONUT(CUT) - WHITE,มะพร้าวอ่อนปาดขาว,PCS,,,22,,,,N,0,,
'12000035,CANTALOUP ORANGE,แคนตาลูปส้ม,KG,,,50,,,,N,0,,
'12000036,CHOKUN ORANGE,ส้มโชกุน(ใหญ่ 5 ลูก/เล็ก 9 ลูกสำหรับผลไม้ไหว้ศาล),KG,,,55,,,,N,0,,
'12000037,BANANA LARGE,กล้วยหอม,BUNCH,,,85,,,,N,0,,
'12000040,AVOCADO(EACH),อโวคาโด(ลูก),PCS,,,65,,,,N,0,,
'12000041,BANANA FINGER,กล้วยเล็บมือนาง,BUNCH,,,40,,,,N,0,,
'12000043,BLUEBERRIES JUMBO 125G. (861270),บลูเบอร์รี่จัมโบ้ 125ก.(861270),PACK,,,85,,,,N,0,,
'12000044,CANTALOUP MELON GREEN (160623),แคนตาลูปเมลอนเขียว(160623),KG,,,169,,,,N,0,,
'12000047,DRAGON FRUIT 3 PCS,แก้วมังกรขาว(ขอ3ลูกผลไม้ไหว้ศาล),KG,,,55,,,,N,0,,
'12000048,GRAPES RED,องุ่นแดง,KG,,,120,,,,N,0,,
'12000049,JACK FRUIT PEELED WITH OUT SEED,ขนุนแกะ(เม็ด),KG,,,85,,,,N,0,,
'12000053,LONGAN,ลำไย,KG,,,63,,,,N,0,,
'12000054,MANDARIN ORANGE,ส้มแมนดาริน,KG,,,125,,,,N,0,,
'12000056,ORANGE LOCAL,ส้มสายน้ำผึ้ง,KG,,,40,,,,N,0,,
'12000057,ORANGE LOCAL NO.1,ส้มเขียวหวาน เบอร์ 1,KG,,,38,,,,N,0,,
'12000058,ORANGE LOCAL NO.O,ส้มเขียวหวาน เบอร์ 0,KG,,,45,,,,N,0,,
'12000063,SA LEE FRUIT B 5 / S 5 PCS,สาลี่น้ำผึ้งถ้าใหญ่ 3 / เล็ก 5 ลูก(ผลไม้ไหว้ศาล),KG,,,70,,,,N,0,,
'12000064,STRABERRY FRESH 250G.(169955),สตรอเบอร์รีสดนำเข้า 250ก.(169955),PACK,,,269,,,,N,0,,
'12000067,TONGDEE POMELO 1 PCS. 120244,ส้มโอทองดี 1 ลูก.(120244),PCS,,,68,,,,N,0,,
'12000068,แก้วมังกรแดง,แก้วมังกรแดง,KG,,,68,,,,N,0,,
'12000069,แตงโม ตอปิโด,แตงโม-ตอปิโด,KG,,,38,,,,N,0,,
'12000073,มะพร้าวทึนทึก,มะพร้าวทึนทึก,PCS,,,35,,,,N,0,,
'12000075,ส้มโชกุนลูกใหญ่,ส้มโชกุนลูกใหญ่,KG,,,55,,,,N,0,,
