SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'30000013,DOCUMENT BOX  SIZE 32 x40 x27 CM. ( 1 x 2 ),กล่องใส่เอกสารขนาดมาตรฐาน 32*40*27 ซม (1*2),SET,,,,,,,I,7,,
'30000042,PAPERMATE DEYLING GRIP TAPE,เทปลบคำผิดแบบแห้ง ยี่ห้อเปเปอร์เมท,PCS,,,45,,,,I,7,,
'30000054,SCOTCH CLOTH TAP 48MM. 8YAED BLCK 3M,เทปผ้ามันเงาสีดำ 48 มม.8 หลา ยี่ห้อ 3 เอ็ม,ROLL,,,,,,,I,7,,
'30000099,PEN MARKER EDDING780-WHITE 0.8MM.,ปากกาเพ้นท์ EDDING780-สีขาวขนาด 0.8 มิล,PCS,,,80,,,,I,7,,
'30000110,RIBBON INK CALCULATOR CANNON/CASIO M/DR-210TM,ผ้าหมึกเครื่องคิดเลข CANNON/CASIOรุ่น DR-210TM,PCS,,,,,,,I,7,,
'30000125,เชือกขาวแดง,เชือกขาวแดง,ROLL,,,48,,,,I,7,,
'30000173,ซองเอกสารสีน้ำตาลซิลิคอน 6 3/8*9(1*50)/แพ็ค ,ซองเอกสารสีน้ำตาลซิลิคอน 6 3/8*9(1*50)/แพ็ค ,Pack,,,95,,,,I,7,,
'30000174,ตรายางหมึกในตัววันที่อังกฤษ รุ่น S-300E,ตรายางหมึกในตัววันที่อังกฤษ รุ่น S-300E,EA,,,135,,,,I,7,,
,,,,,,,,,,,,,
,,,,,,,,,,,,, 
