Vendor A003               Name  คุณอนันต์ผักสดฟาร์ม บจก.,,,Date From,,01/10/2023,Date To,15/10/2023      Reference #,
SKU #       Description                                            Unit,,,Rank,,Qty From,To,Price    Currency        Market Price Foc Co,
12000018,LEMON FRUIT BIG ( NO SEED ) : มะนา  KG,,1,,0.00,0.00,55.00 THB,0.00 0.00
12000025,PAPAYA RAW : มะละกอดิบ                     KG,,1,,0.00,0.00,20.00 THB,0.00 0.00
12000040,AVOCADO(EACH) : อโวคาโด(ลูก)            PCS,,1,,0.00,0.00,65.00 THB,0.00 0.00
12010001,BABY CORN : ขา้ วโพดอ่อน                    KG,,1,,0.00,0.00,38.00 THB,0.00 0.00
12010002,BANANA FLOWER : หัวปลี                     EA,,1,,0.00,0.00,15.00 THB,0.00 0.00
12010003,BANANA LEAVE : ใบตอง                       KG,,1,,0.00,0.00,25.00 THB,0.00 0.00
12010004,BEANS WING : ถั วพลู                            KG,,1,,0.00,0.00,85.00 THB,0.00 0.00
12010005,BEANSPROUTS CLEANED : ถั วงอก       KG,,1,,0.00,0.00,15.00 THB,0.00 0.00
12010006,BELL PEPPER GREEN : พริกยักษ์เขียว    KG,,1,,0.00,0.00,80.00 THB,0.00 0.00
12010007,BELL PEPPER RED : พริกยักษ์แดง          KG,,1,,0.00,0.00,90.00 THB,0.00 0.00
12010008,BELL PEPPER YELLOW : พริกยักษ์เหลือ KG,,1,,0.00,0.00,100.00 THB,0.00 0.00
12010009,BIRD CHILI (233298) : พริกขี หนูสวนไม่เด็  KG,,1,,0.00,0.00,220.00 THB,0.00 0.00
12010010,CARROT : แครอท                                 KG,,1,,0.00,0.00,20.00 THB,0.00 0.00
12010011,CELERY IMPORT : คื นช่ายฝรั ง                SET,,1,,0.00,0.00,58.00 THB,0.00 0.00
12010012,CHAPOO LEAVES : ใบชะพลู                  KG,,1,,0.00,0.00,60.00 THB,0.00 0.00
12010013,CHILI BRID RED : พริกขี หนูแดง              KG,,1,,0.00,0.00,45.00 THB,0.00 0.00
12010014,CHILI BRID RED (CUT) : พริกขี หนูแดงเด็  KG,,1,,0.00,0.00,70.00 THB,0.00 0.00
12010015,CHILI DRY LARGE : พริกแหง้ ใหญ่           KG,,1,,0.00,0.00,150.00 THB,0.00 0.00
12010016,CHILI DRY SMALL : พริกแหง้ เล็ก             KG,,1,,0.00,0.00,200.00 THB,0.00 0.00
12010017,CHILLI FINGER ( GREEN ) : พริกชี ฟ้าเขีย KG,,1,,0.00,0.00,60.00 THB,0.00 0.00
12010018,CHILLI FINGER ( RED ) : พริกชี ฟ้าแดง     KG,,1,,0.00,0.00,60.00 THB,0.00 0.00
12010019,CHINESE MORNING GLORY : ผักบุง้ จีน  KG,,1,,0.00,0.00,25.00 THB,0.00 0.00
12010020,CHINESES CHIVES : กุย้ ฉ่ายเขียว(ตน้ )      KG,,1,,0.00,0.00,60.00 THB,0.00 0.00
12010021,CHOA PRAYA EGGPLANT : มะเขือเปราะ  KG,,1,,0.00,0.00,25.00 THB,0.00 0.00
12010022,CORN ON THE COB : ขา้ วโพดฝัก(ปอกเป KG,,1,,0.00,0.00,28.00 THB,0.00 0.00
12010023,CUCUMBER LARGE : แตงกวาใหญ่         KG,,1,,0.00,0.00,20.00 THB,0.00 0.00
12010024,CUCUMBER SMALL : แตงกวาเล็ก           KG,,1,,0.00,0.00,30.00 THB,0.00 0.00
12010025,DILL LEAVES : ผักชีลาว                         KG,,1,,0.00,0.00,55.00 THB,0.00 0.00
12010026,EGG PLANT GREEN LONG : มะเขือยาวเ KG,,1,,0.00,0.00,35.00 THB,0.00 0.00
12010027,FRENCH BEAN : ถั วแขก                        KG,,1,,0.00,0.00,38.00 THB,0.00 0.00
12010028,PEPPER CORN : พริกไทยอ่อน               KG,,1,,0.00,0.00,130.00 THB,0.00 0.00
12010029,ROSEMARY LEAF (31538) : ใบโรสแมรี ส KG,,1,,0.00,0.00,500.00 THB,0.00 0.00
12010030,GALANGA WHOLE YOUNG(323648) : ข KG,,1,,0.00,0.00,40.00 THB,0.00 0.00
12010031,GINGER OLD : ขิงแก่                            KG,,1,,0.00,0.00,60.00 THB,0.00 0.00
12010032,GINGER SLICED : ขิงฝอย                     KG,,1,,0.00,0.00,65.00 THB,0.00 0.00
12010033,GREEN OAK 0.5 KG. : กรีนโอ๊ด 0.5 กก.    KG,,1,,0.00,0.00,110.00 THB,0.00 0.00
12010034,HOT BASIL : กระเพรา                            KG,,1,,0.00,0.00,40.00 THB,0.00 0.00
12010035,KAFFIR LIME LEAVE : ใบมะกรูด             KG,,1,,0.00,0.00,50.00 THB,0.00 0.00
12010036,KALE : คะนา้                                          KG,,1,,0.00,0.00,33.00 THB,0.00 0.00
12010037,KAMIN FRESH : ขมิ นสด                        KG,,1,,0.00,0.00,50.00 THB,0.00 0.00
12010038,KWANG TUNG : กวางตุง้                         KG,,1,,0.00,0.00,30.00 THB,0.00 0.00
12010039,LEEK ( TON KRA THIAM ) : ตน้ กระเทียม  KG,,1,,0.00,0.00,85.00 THB,0.00 0.00
12010040,LEMONGRASS : ตะไคร ้                        PCS,,1,,0.00,0.00,1.00 THB,0.00 0.00
12010041,LETTUCE GREEN : กาดหอมสีเขียว         KG,,1,,0.00,0.00,58.00 THB,0.00 0.00
12010042,LETTUCE ICEBERG : กาดแกว้                KG,,,1,0.00,0.00,70.00 THB,0.00 0.00
12010043,LOCAL PEPPER GREEN : พริกหยวก      KG,,,1,0.00,0.00,60.00 THB,0.00 0.00
12010044,LONG PARSLES : ชีใบเลื อย                   KG,,,1,0.00,0.00,28.00 THB,0.00 0.00
12010045,LUFFA : บวบเหลี ยม                                KG,,,1,0.00,0.00,28.00 THB,0.00 0.00
12010046,MANGLUK LEAVE : ใบแมงลัก                KG,,,1,0.00,0.00,60.00 THB,0.00 0.00
12010047,MARROW VAGETABLE : ฟักเขียว           KG,,,1,0.00,0.00,15.00 THB,0.00 0.00
12010048,MINT LEAF : สาระแหน่                           KG,,,1,0.00,0.00,105.00 THB,0.00 0.00
12010049,MORNING GLORY : ผักบุง้ ไทย               KG,,,1,0.00,0.00,25.00 THB,0.00 0.00
12010051,MUSHROOM JELLY : เห็ดหูหนูสด           KG,,,1,0.00,0.00,55.00 THB,0.00 0.00
12010052,MUSHROOM OYSTER : เห็ดนางฟ้า        KG,,,1,0.00,0.00,80.00 THB,0.00 0.00
12010053,MUSHROOM SHIMEJI BLACK : เห็ดชิเม PACK,,,1,0.00,0.00,15.00 THB,0.00 0.00
12010054,MUSHROOM SHIMEJI WHITE : เห็ดชิเม  PACK,,,1,0.00,0.00,15.00 THB,0.00 0.00
