SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'12000005,BLUEBERRY FRESH 125G.(103133),บลูเบอรี่สด 125ก.(103133),PACK,,,115,,,,N,0,,
'12000017,LEMON FRUIT,มะนาวแป้น(ผิวสวยๆ),PCS,,,4,,,,N,0,,
'12000018,LEMON FRUIT BIG ( NO SEED ),มะนาวใหญ่ไร้เม็ด,KG,,,60,,,,N,0,,
'12000022,ORANGE SUNQUID KG,ส้มซันควิด,KG,,,89,,,,N,0,,
'12000039,LEMON YELLOW BIG,มะนาวเหลือง,KG,,,82,,,,N,0,,
'12000040,AVOCADO(EACH),อโวคาโด(ลูก),PCS,,,58,,,,N,0,,
'12010003,BANANA LEAVE,ใบตอง,KG,,,28,,,,N,0,,
'12010006,BELL PEPPER GREEN,พริกยักษ์เขียว,KG,,,95,,,,N,0,,
'12010007,BELL PEPPER RED,พริกยักษ์แดง,KG,,,105,,,,N,0,,
'12010008,BELL PEPPER YELLOW,พริกยักษ์เหลือง,KG,,,105,,,,N,0,,
'12010010,CARROT,แครอท,KG,,,20,,,,N,0,,
'12010011,CELERY IMPORT,คื่นช่ายฝรั่ง,SET,,,59,,,,N,0,,
'12010023,CUCUMBER LARGE,แตงกวาใหญ่,KG,,,28,,,,N,0,,
'12010029,ROSEMARY LEAF (31538),ใบโรสแมรี่สด(31538),KG,,,500,,,,N,0,,
'12010033,GREEN OAK 0.5 KG.,กรีนโอ๊ด 0.5 กก.,KG,,,120,,,,N,0,,
'12010039,LEEK ( TON KRA THIAM ),ต้นกระเทียม,KG,,,85,,,,N,0,,
'12010041,LETTUCE GREEN,กาดหอมสีเขียว,KG,,,75,,,,N,0,,
'12010042,LETTUCE ICEBERG,กาดแก้ว,KG,,,75,,,,N,0,,
'12010050,MUSHROOM ERYNJI 1KG.,เห็ดเออรินจิ 1 กก.,KG,,,72,,,,N,0,,
'12010053,MUSHROOM SHIMEJI BLACK,เห็ดชิเมจิดำ,PACK,,,13,,,,N,0,,
'12010054,MUSHROOM SHIMEJI WHITE,เห็ดชิเมจิขาว,PACK,,,13,,,,N,0,,
'12010057,ONION LARGE,หอมใหญ่,KG,,,31,,,,N,0,,
'12010060,POTATO LARGE,มันฝรั่งใหญ่,KG,,,34,,,,N,0,,
'12010064,RADICHIO,เรดิชิโอ้,KG,,,165,,,,N,0,,
'12010065,RED CORAL,เรดโครอล,KG,,,130,,,,N,0,,
'12010066,RED OAK 0.5 KG.,เรดโอ๊ด 0.5 กก.,KG,,,120,,,,N,0,,
'12010068,ROMAIN COS CHINESE,โรแมนคอส,KG,,,75,,,,N,0,,
'12010072,SWEET PEA /KG,ถั่วลันเตาหวาน/กก.,KG,,,150,,,,N,0,,
'12010076,TOMATO QUEEN,มะเขือเทศราชินี,KG,,,85,,,,N,0,,
'12010077,TOMATO RED,มะเขือเทศท้อ,KG,,,60,,,,N,0,,
'12010081,TURNIP WHITE,หัวไชเท้า,KG,,,28,,,,N,0,,
'12010082,WHITE LETTUCE,กาดขาว,KG,,,36,,,,N,0,,
'12010085,ZUCHINI,ซูกินีเขียว,KG,,,85,,,,N,0,,
'12010087,กระเทียมจีนหัว(829336),กระเทียมจีนหัว(829336),KG,,,80,,,,N,0,,
'12010088,คะน้าฮ่องกง,คะน้าฮ่องกง,KG,,,120,,,,N,0,,
'12010091,ASPARAGUS GREEN 1KG.,หน่อไม้ฝรั่งสด 1 กก.,KG,,,205,,,,N,0,,
'12010092,BROCCOLI,บล็อคโคลี่,KG,,,65,,,,N,0,,
'12010093,CAULIFIOWER EXPORT,ดอกกะหล่ำนอก,KG,,,69,,,,N,0,,
'12010094,CAULIFLOWER,ดอกกะหล่ำใน,KG,,,69,,,,N,0,,
'12010096,EGGPLANT PURPLE,มะเขือม่วงกลม,KG,,,72,,,,N,0,,
'12010097,FRILLICE ICEBERG,ฟิลเลย์ไอซ์เบิร์ก,KG,,,120,,,,N,0,,
'12010098,GARLIC LARGE & TO LEVER OUT,กระเทียมใหญ่(แกะ),KG,,,98,,,,N,0,,
'12010099,ITALIAN BASIL,โหระพาอิตาเลียน,KG,,,210,,,,N,0,,
'12010102,PARSLEY FRENCH,ผักชีฝรั่ง/พาสเลย์,KG,,,110,,,,N,0,,
'12010103,RED CABBAGE,กะหล่ำม่วง,KG,,,35,,,,N,0,,
'12010105,SHALLOT (CUT),หอมแดงพม่า(แกะ),KG,,,45,,,,N,0,,
'12010109,TOMATO BIG BEEF,มะเขือเทศเนื้อ,KG,,,95,,,,N,0,,
'12010114,CABBAGE  WHITE,กะหล่ำปลีขาว,KG,,,39,,,,N,0,,
'12010115,CUCUMBER JAPANESE,แตงกวาญี่ปุ่น,KG,,,72,,,,N,0,,
'12010117,ALFALFA SPROUTS 50G.,ต้นอ่อนอัลฟาฟ่า 50ก.,PACK,,,60,,,,N,0,,
'12010118,BABY CARROT,เบบี้เเครอท,KG,,,110,,,,N,0,,
'12010119,BABY COS,เบบี้คอส,KG,,,130,,,,N,0,,
'12010120,BABY POTATO,เบบี้โปเต้โต้,KG,,,55,,,,N,0,,
'12010122,BEETROOT,บีทรูท,KG,,,52,,,,N,0,,
'12010124,BUTTER HEAD,บัตเตอร์เฮด,KG,,,120,,,,N,0,,
'12010129,CORN ON THE NO COB,ข้าวโพดฝัก(ไม่ปอกเปลือก),KG,,,25,,,,N,0,,
'12010130,FRESH THYME LEAF (26260),ใบไทม์สด(26260),KG,,,500,,,,N,0,,
'12010132,GARLIC LARGE,กระเทียมใหญ่,KG,,,80,,,,N,0,,
'12010136,JAPANESE PUMPKIN,ฟักทองญี่ปุ่น,KG,,,69,,,,N,0,,
'12010143,MUSHROOM ENOKI(KHEM THONG)(200G./PACK ),เห็ดเข็มทอง(200G./PACK ),PACK,,,50,,,,N,0,,
'12010144,MUSHROOM FRESH SHITAKE 1KG.,เห็ดหอมสด 1 กก.,KG,,,160,,,,N,0,,
'12010151,RED RADISH,เรดิช,KG,,,80,,,,N,0,,
'12010152,ROCKET,ร็อกเก็ต,KG,,,230,,,,N,0,,
