SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'35070004,UNIFORM SHIRT POLO TRAINEE 30/50+LOGO-FEMALE SIZE(S),เสื้อโปโลนักศึกษาฝึกงานสีกรมท่า30/59+ปักโลโก้-หญิง(S),EA,,,330,,,,A,7,,
'35070005,UNIFORM SHIRT POLO TRAINEE 30/50+LOGO-FEMALE SIZE(M),เสื้อโปโลนักศึกษาฝึกงานสีกรมท่า30/59+ปักโลโก้-หญิง(M),EA,,,330,,,,A,7,,
'35070006,UNIFORM SHIRT POLO TRAINEE 30/50+LOGO-FEMALE SIZE(L),เสื้อโปโลนักศึกษาฝึกงานสีกรมท่า30/59+ปักโลโก้-หญิง(L),EA,,,330,,,,A,7,,
'35070007,UNIFORM SHIRT POLO TRAINEE 30/50+LOGO-FEMALE SIZE(XL),เสื้อโปโลนักศึกษาฝึกงานสีกรมท่า30/59+ปักโลโก้-หญิง(XL),EA,,,330,,,,A,7,,
'35070008,UNIFORM SHIRT POLO TRAINEE 30/50+LOGO-FEMALE SIZE(2XL),เสื้อโปโลนักศึกษาฝึกงานสีกรมท่า30/59+ปักโลโก้-หญิง(2XL),EA,,,330,,,,A,7,,
'35070009,UNIFORM SHIRT POLO TRAINEE 30/50+LOGO-FEMALE SIZE(3XL),เสื้อโปโลนักศึกษาฝึกงานสีกรมท่า30/59+ปักโลโก้-หญิง(3XL),EA,,,330,,,,A,7,,
'35070010,UNIFORM SHIRT POLO TRAINEE 30/50+LOGO-MALE SIZE(S),เสื้อโปโลนักศึกษาฝึกงานสีกรมท่า30/59+ปักโลโก้-ชาย(S),EA,,,330,,,,A,7,,
'35070011,UNIFORM SHIRT POLO TRAINEE 30/50+LOGO-MALE SIZE(M),เสื้อโปโลนักศึกษาฝึกงานสีกรมท่า30/59+ปักโลโก้-ชาย(M),EA,,,330,,,,A,7,,
'35070012,UNIFORM SHIRT POLO TRAINEE 30/50+LOGO-MALE SIZE(L),เสื้อโปโลนักศึกษาฝึกงานสีกรมท่า30/59+ปักโลโก้-ชาย(L),EA,,,330,,,,A,7,,
'35070013,UNIFORM SHIRT POLO TRAINEE 30/50+LOGO-MALE SIZE(XL),เสื้อโปโลนักศึกษาฝึกงานสีกรมท่า30/59+ปักโลโก้-ชาย(XL),EA,,,330,,,,A,7,,
'35070014,UNIFORM SHIRT POLO TRAINEE 30/50+LOGO-MALE SIZE(2XL),เสื้อโปโลนักศึกษาฝึกงานสีกรมท่า30/59+ปักโลโก้-ชาย(2XL),EA,,,330,,,,A,7,,
'35070015,UNIFORM SHIRT POLO TRAINEE 30/50+LOGO-MALE SIZE(3XL),เสื้อโปโลนักศึกษาฝึกงานสีกรมท่า30/59+ปักโลโก้-ชาย(3XL),EA,,,330,,,,A,7,,
