SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'10020003,CHICKEN BONE ( RIBS ),ซี่โครงไก่,KG,,,28,,,,N,0,,
'11000018,FISH HEAD IS CHOPPED,หัวปลามง(สับ),KG,,,30,,,,N,0,,
'10020022,CHICKEN CUTED,ไก่สับชิ้น(ทอด),KG,,,60,,,,N,0,,
'10020001,CHICKEN  CUTED,ไก่สับชิ้น(แกง),KG,,,63,,,,N,0,,
'10020006,CHICKEN FILLET,สันในไก่,KG,,,70,,,,N,0,,
'10050027,BALL FISH SMALL,ลูกชิ้นปลากลมเล็ก(ลูกชิ้นปลาบัวลอย),KG,,,70,,,,N,0,,
'10050039,FISH MEAT BALL,ลูกชิ้นปลากลมธรรมดา,KG,,,70,,,,N,0,,
'10050041,LOUK CHIN PLA,ลูกชิ้นปลากลม,PACK,,,70,,,,N,0,,
'10050006,CHICKEN MEAT BALL,ลูกชิ้นไก่,KG,,,75,,,,N,0,,
'10050030,CHICKEN 'S TENDON BALLS,ลูกชิ้นเอ็นไก่,KG,,,75,,,,N,0,,
'10050045,PORK MEAT BALL,ลูกชิ้นหมูธรรมดา,KG,,,75,,,,N,0,,
'11000022,SABA FISH (108009),ปลาซาบะ(108009),KG,,,75,,,,N,0,,
'11000009,TAJONG FISH(HEAD CUT),ปลาตาจง(ตัดหัว),KG,,,77,,,,N,0,,
'10020011,CHICKEN TOP ROUND WITH SKIN SLICE (2KG.),สะโพกไก่ติดหนังสไลด์(2กก.),KG,,,78,,,,N,0,,
'10010008,PORK MINCED A,หมูบดเกรด A,KG,,,80,,,,N,0,,
'10020016,CHICKEN BREAST WITH SKIN 2KG.,อกไก่ติดหนัง 2 กก.,KG,,,80,,,,N,0,,
'10020008,CHICKEN MEAT GROUND,ไก่บด,KG,,,85,,,,N,0,,
'11000003,CAT FISH FRESH SLICED,ปลาดุกหั่นเนื้อล้วน,KG,,,85,,,,N,0,,
'11000006,PLA TU (HEAD CUT),ปลาทูลัง(ตัดหัว),KG,,,95,,,,N,0,,
'11000027,TUNA FISH ( THAI ) ( HEAD CUT ),ปลาลัง(ตัดหัว),KG,,,95,,,,N,0,,
'11040004,MUSSEL MEAT WITH STEAM,เนื้อหอยแมลงภู่ลวก,KG,,,95,,,,N,0,,
'11020004,JELLY FISH 1KG.(237450),แมงกะพรุน 1 กก.(237450),KG,,,100,,,,N,0,,
'11040007,UNDULATED SURF CLAM MEAT,เนื้อหอยลาย,KG,,,117,,,,N,0,,
'11000020,KIM SURE FISH FILLET,เนื้อปลากิมซั่วแล่,KG,,,120,,,,N,0,,
'11000011,ปลามงตัวสับ(เฉพาะเนื้อ),ปลามงตัวสับ(เฉพาะเนื้อ),KG,,,130,,,,N,0,,
