SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'10020003,CHICKEN BONE ( RIBS ),ซี่โครงไก่,KG,,,30,,,,N,0,,
'10020013,MIXED OFFAL CHICKEN,เครื่องในไก่,KG,,,66,,,,N,0,,
'10010004,PORK FAT,มันหมูแข็ง,KG,,,70,,,,N,0,,
'10010021,กระดูกเล้งหมู สับ,กระดูกเล้งหมู(สับ),KG,,,75,,,,N,0,,
'10050030,CHICKEN 'S TENDON BALLS,ลูกชิ้นเอ็นไก่,KG,,,75,,,,N,0,,
10020014,ไก่ตอน,ไก่ตอน,KG,,,76,,,,N,0,,
'10020023,CHICKEN WHOLE,ไก่ตัว,KG,,,76,,,,N,0,,
'10020001,CHICKEN  CUTED,ไก่สับชิ้น(แกง),KG,,,76,,,,N,0,,
'10020022,CHICKEN CUTED,ไก่สับชิ้น(ทอด),KG,,,76,,,,N,0,,
'10020017,CHICKEN DRUM STICK WITH SIDE,น่องไก่ติดสะโพก,KG,,,76,,,,N,0,,
'10010006,PORK LIVER,ตับหมู,KG,,,78,,,,N,0,,
'10020005,CHICKEN DRUM STICKS 2KG.,น่องไก่ล้วน 2 กก.,KG,,,78,,,,N,0,,
'10010023,ขาหมู (ขาหน้า),ขาหมู (ขาหน้า),KG,,,80,,,,N,0,,
'10020016,CHICKEN BREAST WITH SKIN 2KG.,อกไก่ติดหนัง 2 กก.,KG,,,82,,,,N,0,,
17020001,FROZEN BROILER CHICKEN (0.8-1 กก.)/WHOLE,ไก่กระทง แช่แข็ง (0.8-1 กก.)/ตัว,PCS,,,84,,,,N,0,,
17020002,FROZEN BROILER CHICKEN (600-800G.)/WHOLE,ไก่กระทง แช่แข็ง (600-800 ก.)/ตัว,PCS,,,84,,,,N,0,,
'10020008,CHICKEN MEAT GROUND,ไก่บด,KG,,,85,,,,N,0,,
'11000003,CAT FISH FRESH SLICED,ปลาดุกหั่นเนื้อล้วน,KG,,,85,,,,N,0,,
'10020006,CHICKEN FILLET,สันในไก่,KG,,,85,,,,N,0,,
'10010018,PORK LEG,ขาหมู (ขาหลัง),KG,,,88,,,,N,0,,
'10020018,CHICKEN WINGS UP (Halan) 2KG.(893188),ปีกไก่บนฮาลาล 2 กก.(893188),KG,,,88,,,,N,0,,
17020011,ปีกบนไก่ แช่เเข็ง(เบทาโกร),ปีกบนไก่ แช่เเข็ง(เบทาโกร),KG,,,88,,,,N,0,,
10010028,ขาหมู-ขาหลังสด(สับชิ้น),ขาหมู-ขาหลังสด(สับชิ้น),Kg,,,95,,,,N,0,,
'10020007,CHICKEN LRG,ตีนไก่(ตีนไก่ตัดเล็บ),KG,,,99,,,,N,0,,
