รหัสสินค้า,รายละเอียด (อังกฤษ),รายละเอียด,หน่วย,จากจำนวน,เป็นจำนวน,ราคาเสนอ,แถม,ส่วนลด %,ส่วนลด,ประเภทภาษี,อัตราภาษี,รหัสสินค้าผู้ขาย
'10020002,CHICKEN BLOOD,เลือดไก่,KG,,,30,,,,N,0,
'10020003,CHICKEN BONE ( RIBS ),ซี่โครงไก่,KG,,,30,,,,N,0,
'10020019,CHICKEN BLOOD(ก้อน),เลือดไก่(ก้อน),KG,,,30,,,,N,0,
'10020025,ข้อไก่,ข้อไก่,KG,,,30,,,,N,0,
'10000001,BEEF BONE CUT,กระดูกวัวตัด,KG,,,50,,,,N,0,
'10000008,BEEF BONE LOCAL,กระดูกวัว,KG,,,50,,,,N,0,
'10020001,CHICKEN  CUTED,ไก่สับชิ้น(แกง),KG,,,58,,,,N,0,
'10020022,CHICKEN CUTED,ไก่สับชิ้น(ทอด),KG,,,60,,,,N,0,
'10010021,กระดูกเล้งหมู สับ,กระดูกเล้งหมู(สับ),KG,,,68,,,,N,0,
'10020013,MIXED OFFAL CHICKEN,เครื่องในไก่,KG,,,68,,,,N,0,
'10020008,CHICKEN MEAT GROUND,ไก่บด,KG,,,70,,,,N,0,
'10020017,CHICKEN DRUM STICK WITH SIDE,น่องไก่ติดสะโพก,KG,,,74,,,,N,0,
'10020020,CHICKEN BREAST WITH SKIN SLICE,อกไก่ติดหนังสไลด์,KG,,,74,,,,N,0,
'10020023,CHICKEN WHOLE,ไก่ตัว,KG,,,74,,,,N,0,
'10020016,CHICKEN BREAST WITH SKIN 2KG.,อกไก่ติดหนัง 2 กก.,KG,,,75,,,,N,0,
'10010023,ขาหมู (ขาหน้า),ขาหมู (ขาหน้า),KG,,,78,,,,N,0,
'10020004,CHICKEN BREAST PACK 2KG.,อกไก่ลอกหนัง 2 กก.,KG,,,78,,,,N,0,
'10010004,PORK FAT,มันหมูแข็ง,KG,,,80,,,,N,0,
'10020005,CHICKEN DRUM STICKS 2KG.,น่องไก่ล้วน 2 กก.,KG,,,80,,,,N,0,
'10050006,CHICKEN MEAT BALL,ลูกชิ้นไก่,KG,,,80,,,,N,0,
'10050010,FISH BALL ARO 800G.(100920),ลูกชิ้นปลากลมขนาดใหญ่เอโร่ 800ก.(100920),BAG,,,80,,,,N,0,
'10050027,BALL FISH SMALL,ลูกชิ้นปลากลมเล็ก(ลูกชิ้นปลาบัวลอย),KG,,,80,,,,N,0,
'10050039,FISH MEAT BALL,ลูกชิ้นปลากลมธรรมดา,KG,,,80,,,,N,0,
'10050041,LOUK CHIN PLA,ลูกชิ้นปลากลม,PACK,,,80,,,,N,0,
'10020018,CHICKEN WINGS UP (Halan) 2KG.(893188),ปีกไก่บนฮาลาล 2 กก.(893188),KG,,,84,,,,N,0,
'17020003,ปีกบนไก่แช่แข็งซีพี 2 กก.(830397),ปีกบนไก่แช่แข็งซีพี 2 กก.(830397),KG,,,84,,,,N,0,
'10020021,CHICKEN BREAST WITH WING,อกไก่ติดปีก,KG,,,85,,,,N,0,
'10050013,KAI YO SIZE 1KG.,ไก่ยอแท่ง 1 กก.,KG,,,85,,,,N,0,
'10050030,CHICKEN 'S TENDON BALLS,ลูกชิ้นเอ็นไก่,KG,,,85,,,,N,0,
'10020007,CHICKEN LRG,ตีนไก่(ตีนไก่ตัดเล็บ),KG,,,88,,,,N,0,
'10020012,CHICKEN WINGS,ปีกไก่เต็ม,KG,,,88,,,,N,0,
'10010018,PORK LEG,ขาหมู (ขาหลัง),KG,,,90,,,,N,0,
'10020011,CHICKEN TOP ROUND WITH SKIN SLICE (2KG.),สะโพกไก่ติดหนังสไลด์(2กก.),KG,,,90,,,,N,0,
'10020010,CHICKEN TOP ROUND  WITH SKIN 2 KG.,สะโพกไก่ติดหนังเลาะกระดูก 2 กก.,KG,,,94,,,,N,0,
'10050031,CHICKEN SAUSAGE,ไส้กรอกไก่รมควัน(หนังกรอบ) 1000ก.,KG,,,94,,,,N,0,
'10050023,KANIKAMAOKO 500G./PACK,ปูอัด 500G./แพ็ค,PACK,,,95,,,,N,0,
'16010003,"FROZEN SPRING ROLL SHEET 6""(1x50PCS)(128502)","แผ่นปอเปี๊ยะแช่แข็ง สปริงโฮม 6""(1x50ชิ้น)/(128502)",BAG,,,95,,,,N,0,
'11000003,CAT FISH FRESH SLICED,ปลาดุกหั่นเนื้อล้วน,KG,,,98,,,,N,0,
'11000020,KIM SURE FISH FILLET,เนื้อปลากิมซั่วแล่,KG,,,98,,,,N,0,
'16010009,"TORTILLAS 8"" (1x10 PCS)/(110045)","แผ่นตอติญ่า 8"" (1x10 ชิ้น)/(110045)",PACK,,,100,,,,N,0,
'16010013,"FROZEN FLOUR TORTILLAS 8"" 250G.",แผ่นปอเปี๊ยะแป้งตอติญ่า 8 นิ้ว 250ก.1*24ชิ้น,PACK,,,100,,,,N,0,
'10020006,CHICKEN FILLET,สันในไก่,KG,,,105,,,,N,0,
'10020009,CHICKEN TOP ROUND  WITH OUT BONE&SKIN,สะโพกไก่ลอกหนังเลาะกระดูก,KG,,,105,,,,N,0,
'10010006,PORK LIVER,ตับหมู,KG,,,110,,,,N,0,
'10010011,PORK TOP ROUND,สะโพกหมู,KG,,,110,,,,N,0,
'10010005,PORK HIP SLICED,หมูเนื้อแดงหั่น,KG,,,115,,,,N,0,
'10010007,PORK MEAT GROUND B,หมูบดเกรด B ปนมัน 20%,KG,,,115,,,,N,0,
