SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'12010087,กระเทียมจีนหัว(829336),กระเทียมจีนหัว(829336),KG,,,85,,,,N,0,,
'12010086,กระเทียมไทยกลีบ,กระเทียมไทยกลีบ,KG,,,185,,,,N,0,,
'12010098,GARLIC LARGE & TO LEVER OUT,กระเทียมใหญ่(แกะ),KG,,,98,,,,N,0,,
'12010033,GREEN OAK 0.5 KG.,กรีนโอ๊ด 0.5 กก.,KG,,,120,,,,N,0,,
'12010114,CABBAGE  WHITE,กะหล่ำปลีขาว,KG,,,38,,,,N,0,,
'12010103,RED CABBAGE,กะหล่ำม่วง,KG,,,35,,,,N,0,,
'12010042,LETTUCE ICEBERG,กาดแก้ว,KG,,,69,,,,N,0,,
'12010082,WHITE LETTUCE,กาดขาว,KG,,,35,,,,N,0,,
'12010041,LETTUCE GREEN,กาดหอมสีเขียว,KG,,,120,,,,N,0,,
'12010129,CORN ON THE NO COB,ข้าวโพดฝัก(ไม่ปอกเปลือก),KG,,,25,,,,N,0,,
'12010088,คะน้าฮ่องกง,คะน้าฮ่องกง,KG,,,140,,,,N,0,,
'12010011,CELERY IMPORT,คื่นช่ายฝรั่ง,SET,,,58,,,,N,0,,
'12010010,CARROT,แครอท,KG,,,25,,,,N,0,,
'12010085,ZUCHINI,ซูกินีเขียว,KG,,,79,,,,N,0,,
'12010093,CAULIFIOWER EXPORT,ดอกกะหล่ำนอก,KG,,,75,,,,N,0,,
'12010039,LEEK ( TON KRA THIAM ),ต้นกระเทียม,KG,,,95,,,,N,0,,
'12010157,TOU MEAU 200 G.,ต้นอ่อนโต้วเหมี่ยว 200ก.,PACK,,,50,,,,N,0,,
'12010154,SUNFLOWER SPROUTS 500 G. (208299),ต้นอ่อนทานตะวัน 500ก.(208299),KG,,,235,,,,N,0,,
'12010117,ALFALFA SPROUTS 50G.,ต้นอ่อนอัลฟาฟ่า 50ก.,PACK,,,65,,,,N,0,,
'12010115,CUCUMBER JAPANESE,แตงกวาญี่ปุ่น,KG,,,85,,,,N,0,,
'12010023,CUCUMBER LARGE,แตงกวาใหญ่,KG,,,45,,,,N,0,,
'12010072,SWEET PEA /KG,ถั่วลันเตาหวาน/กก.,KG,,,130,,,,N,0,,
'12010092,BROCCOLI,บล็อคโคลี่,KG,,,75,,,,N,0,,
'12000005,BLUEBERRY FRESH 125G.(103133),บลูเบอรี่สด 125ก.(103133),PACK,,,125,,,,N,0,,
'12010124,BUTTER HEAD,บัตเตอร์เฮด,KG,,,130,,,,N,0,,
'12010122,BEETROOT,บีทรูท,KG,,,49,,,,N,0,,
'12010118,BABY CARROT,เบบี้เเครอท,KG,,,175,,,,N,0,,
'12010119,BABY COS,เบบี้คอส,KG,,,130,,,,N,0,,
'12010120,BABY POTATO,เบบี้โปเต้โต้,KG,,,55,,,,N,0,,
'12020001,BANANA LEAVE,ใบตอง,Kg,,,28,,,,N,0,,
'12010130,FRESH THYME LEAF (26260),ใบไทม์สด(26260),KG,,,550,,,,N,0,,
'12010029,ROSEMARY LEAF (31538),ใบโรสแมรี่สด(31538),KG,,,550,,,,N,0,,
'12010102,PARSLEY FRENCH,ผักชีฝรั่ง/พาสเลย์,KG,,,125,,,,N,0,,
'12010006,BELL PEPPER GREEN,พริกยักษ์เขียว,KG,,,90,,,,N,0,,
'12010007,BELL PEPPER RED,พริกยักษ์แดง,KG,,,120,,,,N,0,,
'12010008,BELL PEPPER YELLOW,พริกยักษ์เหลือง,KG,,,135,,,,N,0,,
'12010136,JAPANESE PUMPKIN,ฟักทองญี่ปุ่น,KG,,,75,,,,N,0,,
'12010097,FRILLICE ICEBERG,ฟิลเลย์ไอซ์เบิร์ก,KG,,,130,,,,N,0,,
'12010156,TOMATO RED CHERRY,มะเขือเทศเชอรี่สีแดง,KG,,,140,,,,N,0,,
'12010077,TOMATO RED,มะเขือเทศท้อ,KG,,,75,,,,N,0,,
'12010109,TOMATO BIG BEEF,มะเขือเทศเนื้อ,KG,,,105,,,,N,0,,
'12010076,TOMATO QUEEN,มะเขือเทศราชินี,KG,,,140,,,,N,0,,
'12010096,EGGPLANT PURPLE,มะเขือม่วงกลม,KG,,,95,,,,N,0,,
'12000039,LEMON YELLOW BIG,มะนาวเหลือง,KG,,,69,,,,N,0,,
'12010060,POTATO LARGE,มันฝรั่งใหญ่,KG,,,34,,,,N,0,,
'12010152,ROCKET,ร็อกเก็ต,KG,,,230,,,,N,0,,
'12010065,RED CORAL,เรดโครอล,KG,,,130,,,,N,0,,
'12010066,RED OAK 0.5 KG.,เรดโอ๊ด 0.5 กก.,KG,,,120,,,,N,0,,
'12010151,RED RADISH,เรดิช,KG,,,79,,,,N,0,,
'12010064,RADICHIO,เรดิชิโอ้,KG,,,169,,,,N,0,,
'12010068,ROMAIN COS CHINESE,โรแมนคอส,KG,,,72,,,,N,0,,
'12000022,ORANGE SUNQUID KG,ส้มซันควิด,KG,,,85,,,,N,0,,
'12010134,GREEN COS LETTUCE HYDROPONIC 500G.(193982),สลัดกรีนคอส(ไฮโดรโปนิค)500ก.(193982),PACK,,,72,,,,N,0,,
'12010091,ASPARAGUS GREEN 1KG.,หน่อไม้ฝรั่งสด 1 กก.,KG,,,350,,,,N,0,,
'12010090,SHALLOT,หอมแดงไทย,KG,,,130,,,,N,0,,
'12010105,SHALLOT (CUT),หอมแดงพม่า(แกะ),KG,,,52,,,,N,0,,
'12010057,ONION LARGE,หอมใหญ่,KG,,,36,,,,N,0,,
'12010081,TURNIP WHITE,หัวไชเท้า,KG,,,26,,,,N,0,,
'12010054,MUSHROOM SHIMEJI WHITE,เห็ดชิเมจิขาว,PACK,,,14,,,,N,0,,
'12010053,MUSHROOM SHIMEJI BLACK,เห็ดชิเมจิดำ,PACK,,,18,,,,N,0,,
'12010144,MUSHROOM FRESH SHITAKE 1KG.,เห็ดหอมสด 1 กก.,KG,,,169,,,,N,0,,
'12010050,MUSHROOM ERYNJI 1KG.,เห็ดเออรินจิ 1 กก.,KG,,,75,,,,N,0,,
'12010099,ITALIAN BASIL,โหระพาอิตาเลียน,KG,,,220,,,,N,0,,
'12000040,AVOCADO(EACH),อโวคาโด(ลูก),PCS,,,55,,,,N,0,,
