SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'12010100,KAFFIRLIME,ลูกมะกรูด,PCS,,,5,,,,N,0,,
'14060003,BOILED EGG SALTED,ไข่เค็มสุก,PCS,,,8,,,,N,0,,
'14060004,CENTURY EGG,ไข่เยี่ยวม้า,PCS,,,9,,,,N,0,,
'16020017,ขนมสอดไส้,ขนมสอดไส้,PCS,,,9,,,,N,0,,
'15150001,BEAN CURD TUBE  EGG,เต้าหู้หลอดไข่,PCS,,,10,,,,N,0,,
'15150002,BEAN CURD WHITE,เต้าหู้ขาวแผ่น,PCS,,,10,,,,N,0,,
'12010047,MARROW VAGETABLE,ฟักเขียว,KG,,,15,,,,N,0,,
'12010084,YOD MUN POO,ยอดมันปู,BUNDLE,,,15,,,,N,0,,
'12010141,MANGO CREST,ยอดมะม่วงหิมพานต์,BUNDLE,,,15,,,,N,0,,
'12010143,MUSHROOM ENOKI(KHEM THONG)(200G./PACK ),เห็ดเข็มทอง(200G./PACK ),PACK,,,15,,,,N,0,,
'12010147,PAK GROOD ( EDIBIE FERN ),ผักกูด,BUNDLE,,,15,,,,N,0,,
'12010166,ยอดกระถิน,ยอดกระถิน,BUNDLE,,,15,,,,N,0,,
'15060020,เคยปลา,เคยปลา,PACK,,,15,,,,N,0,,
'15090021,SALT,เกลือป่นตรามือ(มัด),BAG,,,15,,,,N,0,,
'15130056,NOODLE HERB,เครื่องตุ๋นก๋วยเตี๋ยว(ห่อเล็ก),BAG,,,15,,,,N,0,,
'12000025,PAPAYA RAW,มะละกอดิบ,KG,,,16,,,,N,0,,
'12010005,BEANSPROUTS CLEANED,ถั่วงอก,KG,,,16,,,,N,0,,
'12010053,MUSHROOM SHIMEJI BLACK,เห็ดชิเมจิดำ,PACK,,,16,,,,N,0,,
'12010054,MUSHROOM SHIMEJI WHITE,เห็ดชิเมจิขาว,PACK,,,16,,,,N,0,,
'15010175,ไตปลายาคูล,ไตปลายาคูล,BTL,,,18,,,,N,0,,
'12010010,CARROT,แครอท,KG,,,20,,,,N,0,,
'12010023,CUCUMBER LARGE,แตงกวาใหญ่,KG,,,20,,,,N,0,,
'12010129,CORN ON THE NO COB,ข้าวโพดฝัก(ไม่ปอกเปลือก),KG,,,20,,,,N,0,,
'12010049,MORNING GLORY,ผักบุ้งไทย,KG,,,22,,,,N,0,,
