SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'10020019,CHICKEN BLOOD(ก้อน),เลือดไก่(ก้อน),KG,,,30,,,,N,0,,
'10020002,CHICKEN BLOOD,เลือดไก่,KG,,,30,,,,N,0,,
'10020003,CHICKEN BONE ( RIBS ),ซี่โครงไก่,KG,,,35,,,,N,0,,
'10050003,BALLS FISH SHEET 500G.,ลูกชิ้นปลาแผ่น 500 กรัม,PACK,,,55,,,,N,0,,
'10000008,BEEF BONE LOCAL,กระดูกวัว,KG,,,60,,,,N,0,,
'11040001,หอยตลับใหญ่,หอยตลับใหญ่,KG,,,65,,,,N,0,,
'10010021,กระดูกเล้งหมู สับ,กระดูกเล้งหมู(สับ),KG,,,75,,,,N,0,,
'10020001,CHICKEN  CUTED,ไก่สับชิ้น(แกง),KG,,,75,,,,N,0,,
'10020022,CHICKEN CUTED,ไก่สับชิ้น(ทอด),KG,,,75,,,,N,0,,
'10020023,CHICKEN WHOLE,ไก่ตัว,KG,,,75,,,,N,0,,
'10020013,MIXED OFFAL CHICKEN,เครื่องในไก่,KG,,,78,,,,N,0,,
'11040003,MUSSEL,หอยแมลงภู่,KG,,,80,,,,N,0,,
'10020020,CHICKEN BREAST WITH SKIN SLICE,อกไก่ติดหนังสไลด์,KG,,,82,,,,N,0,,
'10020008,CHICKEN MEAT GROUND,ไก่บด,KG,,,85,,,,N,0,,
'10020007,CHICKEN LRG,ตีนไก่(ตีนไก่ตัดเล็บ),KG,,,87,,,,N,0,,
'10020009,CHICKEN TOP ROUND  WITH OUT BONE&SKIN,สะโพกไก่ลอกหนังเลาะกระดูก,KG,,,95,,,,N,0,,
'10020017,CHICKEN DRUM STICK WITH SIDE,น่องไก่ติดสะโพก,KG,,,95,,,,N,0,,
'11000002,CAT FISH FRESH,ปลาดุกตัว,KG,,,95,,,,N,0,,
'10020012,CHICKEN WINGS,ปีกไก่เต็ม,KG,,,98,,,,N,0,,
'11000020,KIM SURE FISH FILLET,เนื้อปลากิมซั่วแล่,KG,,,100,,,,N,0,,
'10020006,CHICKEN FILLET,สันในไก่,KG,,,105,,,,N,0,,
'11000025,TAMA FISH,ปลาตะมะ(สับรวมหัว),KG,,,105,,,,N,0,,
'10010018,PORK LEG,ขาหมู (ขาหลัง),KG,,,110,,,,N,0,,
'10010023,ขาหมู (ขาหน้า),ขาหมู (ขาหน้า),KG,,,110,,,,N,0,,
'11000003,CAT FISH FRESH SLICED,ปลาดุกหั่นเนื้อล้วน,KG,,,115,,,,N,0,,
'11000012,SEA BASS 700-800G.,ปลากระพงขาว 700-800 ก.,KG,,,125,,,,N,0,,
'11000026,Tama Fish Cut  No Head,ปลาตะมะ(หั่นไม่หัว),KG,,,135,,,,N,0,,
'11000008,SEA BASS CUT,ปลากระพงขาว(หั่นรวมหัว),KG,,,150,,,,N,0,,
'11000024,SEA BASS SIZE 700-800G.(803572),ปลากระพงขาวแบบทำ 700-800ก.(803572),KG,,,150,,,,N,0,,
'11000007,ROASTED FISH,ปลาย่าง,KG,,,170,,,,N,0,,
'10010007,PORK MEAT GROUND B,หมูบดเกรด B ปนมัน 20%,KG,,,175,,,,N,0,,
'10010005,PORK HIP SLICED,หมูเนื้อแดงหั่น,KG,,,180,,,,N,0,,
'10010008,PORK MINCED A,หมูบดเกรด A,KG,,,180,,,,N,0,,
'10010022,ขั้วตับหมู,ขั้วตับหมู,KG,,,180,,,,N,0,,
'11010006,PRAWN WHITE  MEDIUM 60-65 PCS/KG.,กุ้งขาวกลาง 60-65 ตัว/กก.,KG,,,185,,,,N,0,,
'10010009,PORK NECK,คอหมู,KG,,,190,,,,N,0,,
'10010002,PORK BONE ( SPRIA ) SLICED,ซี่โครงหมูสับ,KG,,,195,,,,N,0,,
'10010017,PORK CARILANG SLICED,ซี่โครงหมูอ่อนสับ,KG,,,195,,,,N,0,,
'10010019,PORK LOIN,หมูสันนอก,KG,,,195,,,,N,0,,
'10010001,PORK BELLY,หมูสามชั้น,KG,,,200,,,,N,0,,
'10010016,PORK BELLY SLICED,หมูสามชั้น(หั่น),KG,,,200,,,,N,0,,
'11010014,PRAWN WHITE  MEDIUM 45-50 PCS,กุ้งขาวกลาง 45-50 ตัว/กก.,KG,,,200,,,,N,0,,
'11010013,PRAWN WHITE  FARM 40-45 PCS/KG.,กุ้งขาวเลี้ยงกลาง 40-45 ตัว/กก.,KG,,,210,,,,N,0,,
'10000006,BEEF MEAT GROUND,เนื้อไทยบด,KG,,,220,,,,N,0,,
'11010005,PRAWN WHITE  BIG 30-35 PCS(ขอสดๆ),กุ้งขาวใหญ่เลี้ยงสดๆ 30-35 ตัว/กก.,KG,,,230,,,,N,0,,
'11020009,SQUID SMALL 21 ตัวขึ้นไป,ปลาหมึกกล้วยเล็กไม่ลอก 21 ตัวขึ้นไป,KG,,,230,,,,N,0,,
'11020005,FROZEN SQUID ( NOODLE ),หมึกกรอบแช่(สำหรับทำเย็นตาโฟ),KG,,,250,,,,N,0,,
'11020008,SQUID SLICED,หมึกกล้วยหั่น,KG,,,250,,,,N,0,,
'10000003,BEEF TOP ROUND,เนื้อสะโพกวัวไทย,KG,,,280,,,,N,0,,
'10000009,BEEF STRIPLON LOCAL,เนื้อสันนอกวัวไทย,KG,,,310,,,,N,0,,
'11020001,CUTTLE FISH LARGE W 3-4 PCS/KG.,หมึกหอมใหญ่ลอก 3-4 ตัว/กก.,KG,,,310,,,,N,0,,
'11020007,SQUID MIDDLE 13-15 ตัว/กก.,หมึกกล้วยกลางไม่ลอก 13-15 ตัว/กก.,KG,,,320,,,,N,0,,
'11020006,SQUID LARGE 7-8 ตัว/กก.,หมึกกล้วยใหญ่ไม่ลอก 7-8 ตัว/กก.,KG,,,330,,,,N,0,,
'10000002,BEEF TENDERLOIN LOCAL,เนื้อสันในวัวไทย,KG,,,340,,,,N,0,,
'11020002,SQUID LOLIGO  M & S 3-5 ตัว/กก.,หมึกศอกไม่ลอก 3-5 ตัว/กก.,KG,,,350,,,,N,0,,
'11000032,ปลากระพงขาวใหญ่แล่,ปลากระพงขาวใหญ่แล่,KG,,,360,,,,N,0,,
'11010017,กุ้งขาวเล็กแกะเปลือก,กุ้งขาวเล็กแกะเปลือก,KG,,,360,,,,N,0,,
'11010012,ROCK LOBSTER 6-8 PCS,กั้งกระดาน 6-8 ตัว/กก.,KG,,,500,,,,N,0,,
'11010011,ROCK LOBSTER 4-5 PCS/KG.,กั้งหินใหญ่ 4-5 ตัว/กก.,KG,,,550,,,,N,0,,
'11030003,CRAB MEAT AA,เนื้อปูเกรด AA,KG,,,1100,,,,N,0,,
'11010001,PHUKET LOBSTER 400-700G.,กุ้งมังกร 400-700 กรัม,KG,,,1200,,,,N,0,,
