SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,
'14000012,MILK FRESH 2L.(107753),นมสด 2 ลิตร(107753),GAL,,,89,,,,A,7,,,
'20010006,WATER MINERE 500ML. (1x12)/(198281),นํ้าแร่มิเนเร่ 500 มล.(1x12)/(198281),PACK,,,90,,,,A,7,,,
'14040005,YOGHURT PLAIN GALLON 2KG.,โยเกิร์ตธรรมชาติ 2 กก.,GAL,,,105,,,,A,7,,,
'10010019,PORK LOIN,หมูสันนอก,KG,,,160,,,,N,0,,,
'10050016,PORK CHILL BOLOGNA 1.5KG.,โบโลญญ่าหมูพริก 1.5 กก.,KG,,,165,,,,A,7,,,
'10050021,PORK BOLOGNA 1.5KG.,โบโลญญ่าหมู 1.5KG.,KG,,,165,,,,A,7,,,
'10050005,CHICKEN CHILL BOLOGNA 1.5 KG.,โบโลญญ่าไก่พริก 1.5 กก.,KG,,,165,,,,A,7,,,
'10050020,CHICKEN HAM,ไก่แฮม,KG,,,170,,,,A,7,,,
'10050019,CHICKEN BOLOGNA 1.5 KG.,โบโลญญาไก่ 1.5KG.,KG,,,175,,,,A,7,,,
'10050022,HAM(PORK),หมูแฮม,KG,,,220,,,,A,7,,,
'10050012,"PORK FRESH SAUSAGE 4""","ไส้กรอกหมูสด 4""",KG,,,285,,,,A,7,,,
'10050047,PORK VIENNA SAUSAGE,ไส้กรอกเวียนนา,KG,,,315,,,,A,7,,,
'10050028,BEER HAM,เบียร์แฮม,KG,,,330,,,,A,7,,,
10050064,ไส้กรอกโซริโซ่ 1 กก.(12ชิ้น/กก.)ตราทีจีเอ็ม,ไส้กรอกโซริโซ่ 1 กก.(12ชิ้น/กก.)ตราทีจีเอ็ม,Kg,0,,335,,,,A,7,,,
'15100003,JAM PINEAPPLE IMPERIAL 4.5 KG.,แยมสัปปะรด อิมพิเรียล 4.5 กก.,TANK,,,350,,,,A,7,,,
'15100002,JAM ORANGE IMPERIAL 4.5 KG.,แยมส้ม อิมพีเรียล 4.5 กก.,TANK,,,350,,,,A,7,,,
'15100004,JAM STRAWBERRY IMPERIAL  4.5 KG.,แยมสตรอเบอรรี่ อิมพีเรียล 4.5 กก.,TANK,,,350,,,,A,7,,,
'10050040,KOCHSCHINKEN 3.5-4 KG.,คุ๊กชิงเก้นแท่ง 3.5-4 กก.,KG,,,390,,,,A,7,,,
'10050044,PARIS HAM 2 KG,แฮมปารีส 2 KG.,KG,,,415,,,,A,7,,,
10050057,แฮม(เยอรมันโทสต์) 3กก./แท่ง,แฮม(เยอรมันโทสต์) 3กก./แท่ง,Kg,,,435,,,,A,7,,,
'10000010,SRIPLOPN AUS EBONY PRIME MB4-5 GRAINFED 5-7.5KG/PCS,เนื้อสันนอกออสเตรเลียเกรด MB4-5/5-7.5กก./ชิ้น,KG,,,580,,,,A,7,,,
'10030002,SMOKED DUCK BREAST 1 กก.,อกเป็ดรมควัน 1 กก.,KG,,,610,,,,A,7,,,
'10050034,CHORIZO 1.5-1.8 KG.,CHORIZO 1.5-1.8 KG.,KG,,,610,,,,A,7,,,
'10050015,PEPPERONI,เปปเปอร์โรนี่,KG,,,620,,,,A,7,,,
'10050036,DRIED SALAMI 0.7-1 KG.,ดรายซาลามี่ 0.7-1 กก.,KG,,,650,,,,A,7,,,
'14010011,BUTTER COOKING ALLOWRIE UN-SALT 5 KG.,เนยจืดอลาวรี่ 5 กก./แท่ง,BOX,,,690,,,,A,7,,,
