SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment
'31000002,EDIBLE FLOWERS M/50-60 กรัม (MIX),ดอกไม้ทานได้ M/50-60 กรัม(คละสี),PACK,,,185,,,,N,0,,
'31000282,MIXED MINT LEAVES SIZE M(50-60G.),รวมมิ้นท์ต่างๆ SIZE M(50-60ก.),Box,,,135,,,,N,0,,
'31000283,CHOCOLATE MINT LEAVES SIZE M(50-60G.),ช็อคโกแลตมิ้นต์ SIZE M(50-60ก.),Box,,,185,,,,N,0,,
'31000284,SORREL  70 LEAVES/BOX,ซอเรล 70 ใบ/กล่อง,Box,,,185,,,,N,0,,
'31000285,WOOD SORREL SIZE M(50-60G.),ออกซาลิส SIZE M(50-60ก.),Box,,,135,,,,N,0,,
'31000286,TARRAGON SIZE M(50-60G.),ทารากอน SIZE M(50-60ก.),Box,,,185,,,,N,0,,
'31000287,CRANBERRY HIBISCUS SIZE M(50-60G.),ชบาเมเปิ้ล SIZE M(50-60ก.),Box,,,185,,,,N,0,,
'31000288,OXALIS PURPURREA SIZE M(50-60G.),ใบผีเสื้อราตรี SIZE M(50-60ก.),Box,,,185,,,,N,0,,
'31000289,WATER PENNYWORT SIZE M(50-60G.),ใบแว่นแก้ว SIZE M(50-60ก.),Box,,,135,,,,N,0,,
'31000290,YARROW LEAVES SIZE M(50-60G.),ใบดอกแยร์โรว์ SIZE M(50-60ก.),Box,,,185,,,,N,0,,
'31000291,MIXED LEAVES FOR CHEF SIZE M(50-60G.),MIXED LEAVES FOR CHEF SIZE M(50-60G.),Box,,,185,,,,N,0,,
'31000292,MIXED LEAVES FOR CHEF SIZE L(90-100G.),MIXED LEAVES FOR CHEF SIZE L(90-100G.),Box,,,335,,,,N,0,,
'31000293,MIXED LEAVES FOR FINE DINING SIZE M(50-60G.),MIXED LEAVES FOR FINE DINING SIZE M(50-60G.),Box,,,185,,,,N,0,,
'31000294,MIXED LEAVES FOR FINE DINING SIZE L(90-100G.),MIXED LEAVES FOR FINE DINING SIZE L(90-100G.),Box,,,335,,,,N,0,,
'31000295,EDIBLE FLOWERS SPECFIC RED/PINK SIZE M(40-50G.),EDIBLE FLOWERS SPECFIC RED/PINK SIZE M(40-50G.),Box,,,170,,,,N,0,,
'31000296,EDIBLE FLOWERS SPECFIC PURPLE/VIOLET/BLUE/PINK/WHITE SIZE M(40-50G.),EDIBLE FLOWERS SPECFIC PURPLE/VIOLET/BLUE/PINK/WHITE SIZE M(40-50G.),Box,,,170,,,,N,0,,
'31000297,EDIBLE FLOWERS SPECFIC ORANGE/RED/YELLOW/PINK/WHITE SIZE M(40-50G.),EDIBLE FLOWERS SPECFIC ORANGE/RED/YELLOW/PINK/WHITE SIZE M(40-50G.),Box,,,170,,,,N,0,,
45010004,TRANSPORTATION FEE(NONE-VAT),ค่าขนส่ง(ไม่มีภาษี),JIB,,,80,,,,N,0,,
